#,Unknown0,Unknown1,Unknown2,Unknown3
0,,0,0,0
1,PvP-Team „“ gegründet.,0,1,0
2,Du trittst dem Team bei.,2,0,0
3,Du verlässt das Team.,2,0,0
4,Du verlässt das Team.,2,0,0
5,,2,0,0
6,,2,0,0
7,Teamname zu „“ geändert.,0,1,0
8,Das Wappen wurde geändert.,0,0,0
9,Das Team wurde auf den Rang „“ befördert.,0,3,0
10,Das Team wurde auf den Rang „“ zurückgesetzt.,0,3,0
11,Eine neue Saison hat begonnen.,0,0,0
12,"Du bist nun Anführer, da der vorige Anführer eine bestimmte Zeit abwesend war.",2,0,0
13,Du bist nun Zweiter Anführer.,2,0,0
14,Du wurdest zum Anführer ernannt.,2,0,0
