#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
0,,,,,0,1,1
1,Sagen,LogChatBubbleSayShowType,LogChatBubbleSayFontColor,LogChatBubbleSayWindowColor,0,1,1
2,Rufen,LogChatBubbleYellShowType,LogChatBubbleYellFontColor,LogChatBubbleYellWindowColor,1,1,2
3,Schreien,LogChatBubbleShoutShowType,LogChatBubbleShoutFontColor,LogChatBubbleShoutWindowColor,2,1,3
4,Flüstern,LogChatBubbleTellShowType,LogChatBubbleTellFontColor,LogChatBubbleTellWindowColor,3,1,4
5,Gruppe,LogChatBubblePartyShowType,LogChatBubblePartyFontColor,LogChatBubblePartyWindowColor,4,1,5
6,Allianz,LogChatBubbleAllianceShowType,LogChatBubbleAllianceFontColor,LogChatBubbleAllianceWindowColor,5,1,6
7,Freie Gesellschaft,LogChatBubbleFcShowType,LogChatBubbleFcFontColor,LogChatBubbleFcWindowColor,6,1,7
8,Neulinge,LogChatBubbleBeginnerShowType,LogChatBubbleBeginnerFontColor,LogChatBubbleBeginnerWindowColor,24,1,8
9,PvP-Team,LogChatBubblePvpteamShowType,LogChatBubblePvpteamFontColor,LogChatBubblePvpteamWindowColor,7,1,7
10,Kontaktkreis 1,LogChatBubbleLs1ShowType,LogChatBubbleLs1FontColor,LogChatBubbleLs1WindowColor,16,1,8
11,Kontaktkreis 2,LogChatBubbleLs2ShowType,LogChatBubbleLs2FontColor,LogChatBubbleLs2WindowColor,17,1,8
12,Kontaktkreis 3,LogChatBubbleLs3ShowType,LogChatBubbleLs3FontColor,LogChatBubbleLs3WindowColor,18,1,8
13,Kontaktkreis 4,LogChatBubbleLs4ShowType,LogChatBubbleLs4FontColor,LogChatBubbleLs4WindowColor,19,1,8
14,Kontaktkreis 5,LogChatBubbleLs5ShowType,LogChatBubbleLs5FontColor,LogChatBubbleLs5WindowColor,20,1,8
15,Kontaktkreis 6,LogChatBubbleLs6ShowType,LogChatBubbleLs6FontColor,LogChatBubbleLs6WindowColor,21,1,8
16,Kontaktkreis 7,LogChatBubbleLs7ShowType,LogChatBubbleLs7FontColor,LogChatBubbleLs7WindowColor,22,1,8
17,Kontaktkreis 8,LogChatBubbleLs8ShowType,LogChatBubbleLs8FontColor,LogChatBubbleLs8WindowColor,23,1,8
18,Welten-Kontaktkreis [1],LogChatBubbleCwls1ShowType,LogChatBubbleCwls1FontColor,LogChatBubbleCwls1WindowColor,8,1,8
19,Welten-Kontaktkreis [2],LogChatBubbleCwls2ShowType,LogChatBubbleCwls2FontColor,LogChatBubbleCwls2WindowColor,9,1,8
20,Welten-Kontaktkreis [3],LogChatBubbleCwls3ShowType,LogChatBubbleCwls3FontColor,LogChatBubbleCwls3WindowColor,10,1,8
21,Welten-Kontaktkreis [4],LogChatBubbleCwls4ShowType,LogChatBubbleCwls4FontColor,LogChatBubbleCwls4WindowColor,11,1,8
22,Welten-Kontaktkreis [5],LogChatBubbleCwls5ShowType,LogChatBubbleCwls5FontColor,LogChatBubbleCwls5WindowColor,12,1,8
23,Welten-Kontaktkreis [6],LogChatBubbleCwls6ShowType,LogChatBubbleCwls6FontColor,LogChatBubbleCwls6WindowColor,13,1,8
24,Welten-Kontaktkreis [7],LogChatBubbleCwls7ShowType,LogChatBubbleCwls7FontColor,LogChatBubbleCwls7WindowColor,14,1,8
25,Welten-Kontaktkreis [8],LogChatBubbleCwls8ShowType,LogChatBubbleCwls8FontColor,LogChatBubbleCwls8WindowColor,15,1,8
