#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article
0,,,0,0,0,1,0,0
1,Lagerstätte,Lagerstätten,3,1,0,1,1,0
2,Steinbruch,Steinbrüche,4,2,0,1,0,0
3,Nutzbaum,Nutzbäume,4,2,0,1,0,0
4,üppig[a] Vegetation,üppig[a] Vegetationen,3,1,0,1,1,0
5,unbekannt[a] Lagerstätte,unbekannt[a] Lagerstätten,3,1,0,1,1,0
6,unbekannt[a] Steinbruch,unbekannt[a] Steinbrüche,4,2,0,1,0,0
7,unbekannt[a] Nutzbaum,unbekannt[a] Nutzbäume,4,2,0,1,0,0
8,unbekannt[a] Vegetation,unbekannt[a] Vegetationen,3,1,0,1,1,0
9,vergänglich[a] Lagerstätte,vergänglich[a] Lagerstätten,3,1,0,1,1,0
10,vergänglich[a] Steinbruch,vergänglich[a] Steinbrüche,4,2,0,1,0,0
11,vergänglich[a] Nutzbaum,vergänglich[a] Nutzbäume,4,2,0,1,0,0
12,vergänglich[a] Vegetation,vergänglich[a] Vegetationen,3,1,0,1,1,0
13,legendär[a] Lagerstätte,legendär[a] Lagerstätten,3,1,0,1,1,0
14,legendär[a] Steinbruch,legendär[a] Steinbrüche,4,2,0,1,0,0
15,legendär[a] Nutzbaum,legendär[a] Nutzbäume,4,2,0,1,0,0
16,legendär[a] Vegetation,legendär[a] Vegetationen,3,1,0,1,1,0
17,verborgen[a] Lagerstätte,verborgen[a] Lagerstätten,3,1,0,1,1,0
18,verborgen[a] Steinbruch,verborgen[a] Steinbrüche,4,2,0,1,0,0
19,verborgen[a] Nutzbaum,verborgen[a] Nutzbäume,4,2,0,1,0,0
20,verborgen[a] Vegetation,verborgen[a] Vegetationen,3,1,0,1,1,0
21,Speerfischgrund,Speerfischgründe,4,2,0,1,0,0
22,Wasserwirbel,Wasserwirbel,4,2,0,1,0,0
23,verhüllt[a] Lagerstätte,verhüllt[a] Lagerstätten,3,1,0,1,1,0
24,verhüllt[a] Steinbruch,verhüllt[a] Steinbrüche,4,2,0,1,0,0
25,verhüllt[a] Nutzbaum,verhüllt[a] Nutzbäume,4,2,0,1,0,0
26,verhüllt[a] Vegetation,verhüllt[a] Vegetationen,3,1,0,1,1,0
