#,Quest,RequiredQuest,RequiredLevel,RequiredExpansion,Unknown0,Unknown1
0.0,0,0,0,0,False,False
1.0,65713,0,1,0,False,True
1.1,65821,0,1,0,False,True
1.2,65789,0,1,0,True,False
1.3,65822,0,1,0,False,True
1.4,65792,0,5,0,False,False
1.5,65797,0,10,0,True,False
1.6,65824,0,10,0,False,True
1.7,65798,0,15,0,False,False
1.8,65799,0,20,0,False,False
1.9,65800,0,25,0,False,False
1.10,65801,0,30,0,False,False
1.11,66591,66049,30,0,False,False
1.12,0,0,0,0,False,False
2.0,65714,0,1,0,False,True
2.1,66068,0,1,0,False,True
2.2,66069,0,1,0,True,False
2.3,66089,0,1,0,False,True
2.4,66090,0,5,0,False,False
2.5,66091,0,10,0,True,False
2.6,66234,0,10,0,False,True
2.7,66094,0,15,0,False,False
2.8,66098,0,20,0,False,False
2.9,66102,0,25,0,False,False
2.10,66103,0,30,0,False,False
2.11,66597,66049,30,0,False,False
2.12,0,0,0,0,False,False
3.0,65715,0,1,0,False,True
3.1,65846,0,1,0,False,True
3.2,65847,0,1,0,True,False
3.3,65848,0,1,0,False,True
3.4,65849,0,5,0,False,False
3.5,65850,0,10,0,True,False
3.6,65851,0,10,0,False,True
3.7,65852,0,15,0,False,False
3.8,65853,0,20,0,False,False
3.9,65854,0,25,0,False,False
3.10,65855,0,30,0,False,False
3.11,66585,66049,30,0,False,False
3.12,0,0,0,0,False,False
4.0,65716,0,1,0,False,True
4.1,65668,0,1,0,False,True
4.2,65559,0,1,0,True,False
4.3,65754,0,1,0,False,True
4.4,65583,0,5,0,False,False
4.5,65571,0,10,0,True,False
4.6,65679,0,10,0,False,True
4.7,65591,0,15,0,False,False
4.8,65592,0,20,0,False,False
4.9,65974,0,25,0,False,False
4.10,65975,0,30,0,False,False
4.11,66603,66049,30,0,False,False
4.12,0,0,0,0,False,False
5.0,65717,0,1,0,False,True
5.1,65667,0,1,0,False,True
5.2,65557,0,1,0,True,False
5.3,65755,0,1,0,False,True
5.4,65582,0,5,0,False,False
5.5,65603,0,10,0,True,False
5.6,65670,0,10,0,False,True
5.7,65604,0,15,0,False,False
5.8,65606,0,20,0,False,False
5.9,65607,0,25,0,False,False
5.10,65612,0,30,0,False,False
5.11,66621,66049,30,0,False,False
5.12,0,0,0,0,False,False
6.0,65718,0,1,0,False,True
6.1,65669,0,1,0,False,True
6.2,65558,0,1,0,True,False
6.3,65747,0,1,0,False,True
6.4,65584,0,5,0,False,False
6.5,65627,0,10,0,True,False
6.6,65683,0,10,0,False,True
6.7,65628,0,15,0,False,False
6.8,65629,0,20,0,False,False
6.9,65976,0,25,0,False,False
6.10,65977,0,30,0,False,False
6.11,66615,66049,30,0,False,False
6.12,0,0,0,0,False,False
7.0,65719,0,1,0,False,True
7.1,65880,0,1,0,False,True
7.2,65881,0,1,0,True,False
7.3,65882,0,1,0,False,True
7.4,65883,0,5,0,False,False
7.5,65884,0,10,0,True,False
7.6,65885,0,10,0,False,True
7.7,65886,0,15,0,False,False
7.8,65887,0,20,0,False,False
7.9,65888,0,25,0,False,False
7.10,65889,0,30,0,False,False
7.11,66609,66049,30,0,False,False
7.12,0,0,0,0,False,False
8.0,65720,0,1,0,False,True
8.1,65674,0,1,0,False,False
8.2,65741,0,1,0,False,False
8.3,65675,0,5,0,False,False
8.4,65676,0,10,0,False,False
8.5,65677,0,15,0,False,False
8.6,65678,0,20,0,False,False
8.7,65704,0,25,0,False,False
8.8,65705,0,30,0,False,False
8.9,66072,0,35,0,False,False
8.10,66073,0,40,0,False,False
8.11,66074,0,45,0,False,False
8.12,66075,0,50,0,False,False
8.13,67533,65964,50,1,False,False
8.14,67534,0,53,1,False,False
8.15,67535,0,55,1,False,False
8.16,67536,0,58,1,False,False
8.17,67537,0,60,1,False,False
8.18,67977,67895,60,2,False,False
8.19,67978,0,63,2,False,False
8.20,67979,0,65,2,False,False
8.21,67980,0,68,2,False,False
8.22,67981,0,70,2,False,False
8.23,0,0,0,0,False,False
9.0,65721,0,1,0,False,True
9.1,65827,0,1,0,False,False
9.2,65828,0,1,0,False,False
9.3,65829,0,5,0,False,False
9.4,65830,0,10,0,False,False
9.5,65831,0,15,0,False,False
9.6,65832,0,20,0,False,False
9.7,65833,0,25,0,False,False
9.8,65834,0,30,0,False,False
9.9,65835,0,35,0,False,False
9.10,65836,0,40,0,False,False
9.11,65837,0,45,0,False,False
