#,Acquisition,Location,Quest,Unknown0,SaleValue,Order,Top,Bottom,Left,Right,TripleTriadCardRarity,TripleTriadCardType,SortKey,UIPriority,AcquisitionType,Unknown1
0,0,0,0,65535,0,0,0,0,0,0,1,0,0,0,0,False
1,0,0,65973,0,0,1,4,3,4,2,1,0,1,0,1,True
2,1005249,4273866,65973,1,100,2,2,7,2,2,1,0,1,0,6,True
3,0,0,65973,2,0,3,4,3,3,3,1,0,1,0,1,True
4,1011060,5581206,65973,3,100,4,2,4,4,3,1,0,1,0,6,True
5,10128,0,65973,4,100,5,2,3,5,4,1,0,1,0,8,True
6,0,0,65973,5,0,6,3,3,3,4,1,0,1,0,1,True
7,0,0,65973,6,0,7,4,5,3,2,1,0,1,0,1,True
8,10128,0,65973,7,100,8,3,3,4,3,1,0,1,0,8,True
9,5,0,66550,8,100,9,5,5,2,2,1,0,1,0,3,True
10,0,0,65973,9,0,10,2,2,5,5,1,0,1,0,1,True
11,10128,0,65973,10,100,11,5,2,2,5,1,0,1,0,8,True
12,1011056,5581196,65973,11,100,12,2,5,2,5,1,0,1,0,6,True
13,1011059,5581204,65973,12,100,13,3,2,1,7,1,0,2,0,6,True
14,10129,0,65973,13,100,14,1,7,1,4,1,3,3,0,8,True
15,1011058,5581202,65973,14,100,15,6,3,4,1,1,3,3,0,6,True
16,10129,0,65973,15,100,16,2,5,4,4,1,3,3,0,8,True
17,10129,0,65973,16,100,17,2,4,6,2,1,3,3,0,8,True
18,4,0,65781,17,100,18,4,3,3,5,1,3,3,0,3,True
19,10129,0,65973,18,100,19,7,3,2,2,1,2,5,0,8,True
20,1011058,5581202,65973,19,100,20,2,3,7,1,1,3,3,0,6,True
21,10129,0,65973,20,300,21,3,7,2,6,2,0,8,0,8,True
22,1006209,4250584,65973,21,300,22,2,6,7,3,2,0,8,0,6,True
23,1000590,1146551,66050,22,300,23,6,2,3,7,2,0,8,0,6,True
24,10128,0,65973,23,300,24,7,2,6,3,2,0,8,0,8,True
25,10128,0,65973,24,300,25,7,2,2,7,2,0,8,0,8,True
26,10128,0,65973,25,300,26,2,7,7,2,2,0,8,0,8,True
27,1011059,5581204,65973,26,300,27,6,2,6,6,2,3,10,0,6,True
28,10130,0,65973,27,300,28,7,5,3,5,2,0,13,0,8,True
29,10130,0,65973,28,300,29,3,5,5,7,2,0,13,0,8,True
30,10130,0,65973,29,300,30,5,3,7,5,2,0,13,0,8,True
31,1011789,5663701,65973,30,300,31,3,7,1,7,2,4,11,0,6,True
32,1011789,5663701,65973,31,300,32,7,3,7,1,2,4,11,0,6,True
33,1002236,3766212,66503,32,300,33,5,7,5,3,2,0,15,0,6,True
34,10130,0,65973,33,300,34,1,3,7,7,2,0,14,0,8,True
35,1006189,4249634,65973,34,300,35,6,6,6,2,2,3,10,0,6,True
36,1001427,2465084,65973,35,300,36,2,6,6,6,2,3,10,0,6,True
37,1005249,4273866,65973,36,300,37,6,6,2,6,2,3,10,0,6,True
38,10128,0,65973,37,500,38,7,4,2,8,3,0,17,0,8,True
39,13380,0,65973,38,500,39,8,7,3,3,3,0,28,0,8,True
40,10129,0,65973,39,500,40,7,6,7,1,3,1,25,0,8,True
41,10129,0,65973,40,500,41,1,7,6,7,3,1,25,0,8,True
42,1006261,4257902,65973,41,500,42,7,1,7,6,3,1,25,0,6,True
43,10129,0,65973,42,500,43,7,7,1,6,3,1,25,0,8,True
44,1010478,5581330,65973,43,500,44,5,6,6,6,3,0,28,0,10,True
45,1011057,5581197,65973,44,500,45,6,5,6,6,3,0,28,0,6,True
46,1002058,3629823,66046,45,500,46,2,8,7,3,3,2,27,0,6,True
47,1011789,5663701,65973,46,500,47,4,8,7,1,3,4,26,0,6,True
48,1000590,1146551,66050,47,500,48,3,8,2,7,3,2,27,0,6,True
49,1006273,4258385,66053,48,500,49,7,1,4,8,3,2,27,0,6,True
50,1011057,5581197,65973,49,500,50,8,4,7,1,3,2,27,0,6,True
51,10130,0,65973,50,800,51,7,9,1,8,4,4,36,0,8,True
52,13380,0,65973,51,800,52,8,1,8,8,4,1,35,0,8,True
53,10130,0,65973,52,800,53,8,8,8,1,4,1,35,0,8,True
54,10130,0,65973,53,800,54,8,8,1,8,4,1,35,0,8,True
55,10130,0,65973,54,800,55,1,8,8,8,4,1,35,0,8,True
56,10129,0,65973,55,800,56,9,3,5,8,4,2,37,0,8,True
57,10129,0,65973,56,800,57,4,4,8,9,4,0,38,0,8,True
58,10130,0,65973,57,800,58,5,9,2,9,4,0,38,0,8,True
59,10077,0,65973,58,800,59,9,3,9,3,4,2,37,0,8,True
60,10077,0,65973,59,800,60,9,9,3,4,4,2,37,0,8,True
61,1011055,5581186,65973,60,1500,61,9,9,6,5,5,1,42,0,6,True
62,1004914,4127303,66558,61,1500,62,1,10,8,8,5,0,45,0,6,True
63,1010478,5581330,65973,62,1500,63,10,4,8,6,5,0,46,0,10,True
64,1011789,5663701,65973,63,1500,64,4,5,9,10,5,4,43,0,6,True
65,10130,0,65973,64,1500,65,5,10,3,9,5,0,45,0,8,True
66,10130,0,65973,65,1500,66,9,1,7,10,5,0,45,0,8,True
67,10130,0,65973,66,1500,67,6,9,10,2,5,0,45,0,8,True
68,10130,0,65973,67,1500,1,10,5,10,2,5,0,48,5,8,True
69,3,0,65973,68,1500,2,10,10,1,5,5,0,48,5,7,True
70,13380,0,65973,69,1500,3,8,8,10,2,5,0,48,5,8,True
71,2,0,65973,70,1500,4,4,4,10,10,5,0,48,5,7,True
72,13380,0,65973,71,1500,5,4,10,10,4,5,0,48,5,8,True
73,13380,0,65973,72,1500,6,10,2,5,10,5,0,48,5,8,True
74,1010478,5581330,65973,73,1500,7,9,9,8,3,5,0,48,5,10,True
75,1104,0,65973,74,0,8,6,10,1,10,5,0,48,5,11,True
76,10130,0,65973,75,1500,9,5,6,8,10,5,0,48,5,8,True
77,4,0,65973,76,1500,10,10,1,9,7,5,0,48,5,7,True
78,1113,0,65973,77,0,11,4,7,9,9,5,0,48,5,11,True
79,1109,0,65973,78,0,12,1,10,9,7,5,0,48,5,11,True
80,1,0,65973,79,1500,13,9,7,10,1,5,0,48,5,7,True
81,1000282,1143516,65973,80,100,68,4,1,7,1,1,0,1,0,6,True
82,1012085,5814720,67376,81,300,69,2,4,7,6,2,3,10,0,6,True
83,1012085,5814720,67376,82,300,70,6,7,3,3,2,3,10,0,6,True
84,1001691,2682191,65973,83,300,71,7,1,3,7,2,0,15,0,6,True
85,838,398,67145,84,300,72,5,5,5,5,2,0,9,0,5,True
86,36,0,67647,85,500,73,5,7,8,1,3,0,19,0,3,True
87,37,0,67153,86,500,74,1,8,7,5,3,0,19,0,3,True
88,1011192,5581899,67118,87,500,75,8,2,3,8,3,0,29,0,6,True
89,1000856,1673577,65973,88,500,76,8,3,8,2,3,0,29,0,6,True
90,1011916,5796581,67148,89,500,77,4,8,1,8,3,0,29,0,6,True
91,1015021,5927813,67199,90,500,78,1,8,8,4,3,0,29,0,6,True
92,1012133,5864096,67501,91,500,79,8,8,1,3,3,0,29,0,6,True
93,1012060,5814139,67132,92,500,80,1,3,8,8,3,0,29,0,6,True
94,31,0,67196,93,500,81,8,1,7,4,3,0,19,0,3,True
95,1373,0,65973,94,0,82,7,5,8,1,3,0,29,0,11,True
96,1002279,3642535,65973,95,800,83,1,9,9,5,4,0,39,0,6,True
97,86,0,67152,96,800,84,9,8,1,7,4,1,35,0,3,True
98,88,0,67183,97,800,85,1,7,8,9,4,1,35,0,3,True
