#,StartTime,EndTime,Image,Unknown0
0,1000,0,0,0
1,53,57.5,71451,1
2,62.4,66.9,71452,1
3,75.8,80.3,71453,1
4,86.4,90.9,71454,1
5,101,105.5,71455,1
6,115,119.5,71456,1
7,123,127.5,71457,1
8,138.4,142.9,71458,1
9,151.5,156,71459,1
10,165,169.5,71460,1
11,178.8,183.3,71461,1
12,189.4,193.9,71462,1
13,200,204.5,71463,1
14,212,216.5,71464,1
15,239.6,244.1,71465,1
16,255.5,260,71466,1
17,276.5,281,71467,1
18,284.6,289.1,71468,1
19,301,305.5,71469,1
20,309.5,314,71470,1
21,317.3,321.8,71471,1
22,331.5,336,71472,1
23,1000,1000,0,1
24,17.5,22,71473,1
25,27.3,31.8,71474,1
26,51.2,55.7,71475,1
27,57.8,62.3,71476,1
28,68.1,72.6,71477,1
29,75,79.5,71478,1
30,84.4,88.9,71479,1
31,97.3,101.8,71480,1
32,110.7,115.2,71481,1
33,124.7,129.2,71482,1
34,132.7,137.2,71483,1
35,143.2,147.7,71484,1
36,156.6,161.1,71485,1
37,161.9,166.4,71486,1
38,176.9,181.4,71487,1
39,187.4,191.9,71488,1
40,213.1,217.6,71489,1
41,234.5,239,71490,1
42,244.6,249.1,71491,1
43,250.5,255,71492,1
44,263.7,268.2,71493,1
45,276.7,281.2,71494,1
46,286,290.5,71495,1
47,297.2,301.7,71496,1
48,307.5,312,71497,1
49,317.1,321.6,71498,1
50,1000,1000,0,1
