#,Name,AchievementKind,Order,ShowComplete,HideCategory
0,,0,0,True,False
1,Kampferfolge,1,1,True,False
2,Dungeons,1,2,True,False
3,Prüfungen,1,3,True,False
4,Raids,1,4,True,False
5,Hohe Jagd,1,5,True,False
6,Schatzsuche,1,6,True,False
7,Allgemein,2,1,True,False
8,PvP-Ranglisten,2,2,True,True
9,Wolfshöhle,2,3,True,False
10,Front,2,4,True,False
11,Stahlschwingen,2,5,True,False
12,Charakter,3,1,True,False
13,Krieger,3,2,True,False
14,Magier,3,3,True,False
15,Handwerker,3,4,True,False
16,Sammler,3,5,True,False
17,Ehrungen,3,6,True,False
18,Gold Saucer,3,7,True,False
19,Gegenstände,4,1,True,False
20,Vermögen,4,2,True,False
21,Verwertung,4,3,True,False
22,Sammlerstücke,4,4,True,False
23,Materia,4,5,True,False
24,Zimmerer,5,2,True,False
25,Grobschmied,5,3,True,False
26,Plattner,5,4,True,False
27,Goldschmied,5,5,True,False
28,Gerber,5,6,True,False
29,Weber,5,7,True,False
30,Alchemist,5,8,True,False
31,Gourmet,5,9,True,False
32,Minenarbeiter,5,10,True,False
33,Gärtner,5,11,True,False
34,Fischer,5,12,True,False
35,Aufträge,8,1,True,False
36,Freibriefe,8,4,True,False
37,Freundesvölker,8,5,True,False
38,Saisonale Ereignisse,8,99,True,True
39,Eorzea Incognita,11,1,True,False
40,La Noscea,11,2,True,False
41,Finsterwald,11,3,True,False
42,Thanalan,11,4,True,False
43,Coerthas,11,5,True,False
44,Mor Dhona,11,6,True,False
45,Abalathia,11,7,True,False
46,Dravania,11,8,True,False
47,Gyr Abania,11,9,True,False
48,Othard,11,10,True,False
49,Inhalte,11,100,True,False
50,Staatliche Gesellschaften,12,1,True,False
51,Mahlstrom,12,2,True,False
52,Bruderschaft,12,3,True,False
53,Legion,12,4,True,False
54,Kampferfolge,13,1,True,False
55,Vermögen,13,2,True,False
56,Sammeln,13,3,True,False
57,Aufträge,13,4,True,False
58,Saisonale Ereignisse,13,5,True,False
59,Dungeons,13,6,True,False
60,Erkundungen,13,7,True,False
61,Staatliche Gesellschaften,13,8,True,False
62,Zenit-Waffen,4,6,True,False
63,Zeta-Waffen,4,7,True,False
64,Anima-Waffen,4,8,True,False
65,Tiefe Gewölbe-Waffen,4,9,True,False
66,Eureka-Ausrüstung,4,10,True,False
67,Norvrandt,11,11,True,False
68,Waffen des Widerstands,4,11,True,False
69,Klassenübergreifend,5,1,True,False
70,Himmelsstahl-Werkzeuge,4,51,True,False
71,Feldexkursionen,1,7,True,False
72,Die nördlichen Meere,11,12,True,False
73,Ilsabard,11,13,True,False
74,Sonstige,11,99,True,False
75,Manderville-Waffen,4,12,True,False
76,Hauptszenario,8,2,True,False
77,Job- und Rollenaufträge,8,3,True,False
78,Mowen-Werkzeuge,4,52,True,False
79,Yok Tural,11,14,True,False
80,Xak Tural,11,15,True,False
81,Phantomwaffen,4,13,True,False
82,Kosmo-Werkzeuge,4,53,True,False
