#,Description,DescriptionEnhanced,Tooltip
0,,,
1,Ruf deinen von deiner Staatlichen Ge­sell­schaft ausgegebenen Kampf-Chocobo herbei.,"Diese Tiere wachsen im Stadt­staat von Ishgard auf und eignen sich sowohl zum Reiten als auch für die Schlacht. Um dem Körperbau von Roegadyn und Lalafell gerecht zu werden, werden auch besonders kräftige und sehr kleine Varianten gezüchtet.","Schlafende Chocobos soll man nicht wecken. Warum? Weil
sie einen noch strengeren Körpergeruch entwickeln, wenn
sie nicht ausgeschlafen sind.
*Volksmund*"
2,,,
3,,,
4,"Benutz dein Goobbue-Horn, das dir der Fahrende Sänger gab, um dein moosiges Reittier herbeizurufen.","Wie diese wilde Kreaturen zu zähmen sind, war lange Zeit ein Mysterium. Bis ein sagenumwobener fahrender Sänger in den letzten Tagen vor der Katastrophe durch Eorzea wanderte und es dessen Bewohnern näherbrachte.","Mmmm, was für Delikatessen! Wenn ich
doch nur den Magen einer Goobbue hätte,
dann könnte ich noch mehr essen.
*Nanamo*"
5,"Fünf Jahre und eine erschütternde Katastrophe konnten die Bande zwischen euch nicht sprengen: Ein Pfiff, und dein treuer Chocobo ist zur Stelle wie in alten Zeiten.","In den fünf Jahren nach deinem plötzlichen Verschwinden in Carteneau hat dieser treue Chocobo jeden Moment damit zugebracht, auf der Suche nach seinem verlorenen Meister durch die Lande zu streifen. Seine zahlreichen Abenteuer sind fantastisch und herzzerreißend ...","Bis vor kurzem wurde die Chocobo-Zucht nur in Ishgard betrieben. Dort wurde
alles sehr streng reguliert. Es gab zum Beispiel ein striktes Exportverbot für
weibliche Chocobos, um die Monopolstellung Ishgards nicht zu gefährden.
*Keitha*"
6,Ruf deine von den Gar­lond-Me­tall­wer­ken modifizierte Magitek-Kampfmaschine herbei.,"Dieser garleischen Magitek-Kampfrüstung wurde das ursprüngliche Kontrollsystem entfernt und durch einen neuen, modifizierten Kern ersetzt, den Cid von den Gar­lond-Me­tall­wer­ken entwickelt hat.","Der Pfirsichduft weckt auch in mir wohlige Erinnerungen. Ganz Doma war im
Frühling bedeckt von der Pracht rosafarbener Blüten. Nun, bis die Garlear mit ihren
Magitek-Kampf­maschinen alles niedertraten, was in unserem schönen Land wuchs.
*Houzan*"
7,,,
8,"Ruf deinen flinken Coeurl herbei, der darauf trainiert wurde, dich als seine Meisterin zu erkennen und nicht als Mahlzeit.","Diese Spezies stammt aus dem Nahen Osten und hat sich erst vor kurzem auch in Eorzea verbreitet. Die Tiere wurden von Adeligen aus Ul'dah aus fernen Ländern wie Thavnair importiert, um sie als Haustiere zu halten. Jedoch gibt es nur eine Handvoll ausgebildeter Bändiger, die sie abzurichten vermögen.","Erst letzte Woche wurde ein Neuling von einem Coeurl
in Stücke gerissen. Kein schöner Anblick, das sage ich dir.
*Orwen*"
9,"Ruf deinen Ahriman herbei, den mächtige Magie dazu brachte, sich ohne Murren von dir reiten zu lassen. ","Obwohl man wenig über das Reich des Nichts und dessen Kreaturen weiß, haben Gelehrte entdeckt, dass es eine strikte Hierarchie unter den Nichts­gesand­ten gibt, die aus zwölf Rängen besteht. Ahriman gehören mutmaßlich zum fünften davon, was sie zu formidablen Gegnern macht.","Sprachforscher vermuten, dass gefräßige Ahriman der
Ursprung für die Redensart „Das Auge isst mit.“ sind.
*Enzyklopädie Eorzea*"
10,,,
11,,,
12,,,
13,,,
14,,,
15,"Ruf dein weißes, elegant gehörntes Reittier herbei, mit dem du dich im Finsterwald befreundet hast. ","Vor gar nicht allzu langer Zeit gab es in Eorzea noch Tausende von Einhörnern, die oft in großen Herden über das Hochland von Coerthas zogen und die Berge so schneeweiß färbten. Die Wilderei hat den Bestän-
den jedoch arg zugesetzt, und wenn du nicht gewesen wärest, gäbe es nun noch eins weniger.","Einhörner sind klug und dafür bekannt, sich für
gute Taten bei ihren Gönnern zu bedanken.
*Braya*"
16,,,
17,,,
18,Ruf deinen kraftstrotzenden Behemoth. ,"Unmittelbar nach der Katastrophe stieß eine Abenteurerin bei ihrer Rückkehr von Falkenhorst nach Gridania auf eine Höhle mit Baby-Behemoths, die ihre Mutter im Flammenmeer von Bahamut verloren hatten. Trotz energischer Einwände von Freunden und Familie behielt sie die kleinen Bestien und richtete sie als Reittiere ab.","Und vergiss nicht: Egal, was passieren sollte,
leg dich auf keinen Fall mit dem Behemoth an!
*Meurise*"
