#,FolkloreBook,Quest,Item,Division,GatheringType,ClassJob,Unknown0
2000,Coerthischer Bergbau-Almanach,0,12238,2000,1,16,0
2001,Coerthischer Bergbau-Almanach,0,12238,2000,1,16,0
2002,Coerthischer Botanik-Almanach,0,12698,2000,2,17,0
2003,Coerthischer Botanik-Almanach,0,12698,2000,2,17,0
2004,Dravanischer Bergbau-Almanach,1,12239,2001,1,16,0
2005,Dravanischer Bergbau-Almanach,1,12239,2001,1,16,0
2006,Dravanischer Botanik-Almanach,1,12699,2001,2,17,0
2007,Dravanischer Botanik-Almanach,1,12699,2001,2,17,0
2008,Abalathischer Bergbau-Almanach,2,12240,2002,1,16,0
2009,Abalathischer Bergbau-Almanach,2,12240,2002,1,16,0
2010,Abalathischer Botanik-Almanach,2,12700,2002,2,17,0
2011,Abalathischer Botanik-Almanach,2,12700,2002,2,17,0
2012,Abanischer Bergbau-Almanach,3,17838,2003,1,16,0
2013,Abanischer Bergbau-Almanach,3,17838,2003,1,16,0
2014,Abanischer Botanik-Almanach,3,17840,2003,2,17,0
2015,Abanischer Botanik-Almanach,3,17840,2003,2,17,0
2016,Othardischer Bergbau-Almanach,4,17839,2004,1,16,0
2017,Othardischer Bergbau-Almanach,4,17839,2004,1,16,0
2018,Othardischer Botanik-Almanach,4,17841,2004,2,17,0
2019,Othardischer Botanik-Almanach,4,17841,2004,2,17,0
2020,Vrandtischer Bergbau-Almanach,5,26808,2005,1,16,0
2021,Vrandtischer Bergbau-Almanach,5,26808,2005,1,16,0
2022,Vrandtischer Botanik-Almanach,5,26809,2005,2,17,0
2023,Vrandtischer Botanik-Almanach,5,26809,2005,2,17,0
2024,Bergbau-Alman. d. Nördl. Meere u. Ilsabard,6,36598,2010,1,16,0
2025,Bergbau-Alman. d. Nördl. Meere u. Ilsabard,6,36598,2010,1,16,0
2026,Botanik-Alman. d. Nördl. Meere u. Ilsabard,6,36602,2010,2,17,0
2027,Botanik-Alman. d. Nördl. Meere u. Ilsabard,6,36602,2010,2,17,0
2028,Bergbau-Almanach des Kosmos,7,36600,2011,1,16,0
2029,Bergbau-Almanach des Kosmos,7,36600,2011,1,16,0
2030,Botanik-Almanach des Kosmos,7,36604,2011,2,17,0
2031,Botanik-Almanach des Kosmos,7,36604,2011,2,17,0
2032,Bergbau-Almanach der Unzersplitterten Welt,8,36601,2012,1,16,0
