#,Singular,Plural,Name,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,ModelTop,ModelBody,ModelLegs,IconHead,IconBody,IconLegs,GrandCompany,Order
0,Ledersattel,Ledersättel,Ledersattel,4,2,0,1,0,0,0,0,0,0,0,0,0,0
1,limsisch[a] Sattelzeug,limsisch[a] Sattelzeuge,Limsisches Sattelzeug,4,2,0,1,2,0,65538,65541,65538,58549,58553,58551,1,1
2,leicht[a] limsisch[a] Rossharnisch,leicht[a] limsisch[a] Rossharnische,Leichter limsischer Rossharnisch,4,2,0,1,0,0,65542,65542,65542,58501,58502,58503,1,2
3,limsisch[a] Rossharnisch,limsisch[a] Rossharnische,Limsischer Rossharnisch,4,2,0,1,0,0,131078,131078,131078,58504,58505,58506,1,3
4,schwer[a] limsisch[a] Rossharnisch,schwer[a] limsisch[a] Rossharnische,Schwerer limsischer Rossharnisch,4,2,0,1,0,0,196614,196614,196614,58507,58508,58509,1,4
5,gridanisch[a] Sattelzeug,gridanisch[a] Sattelzeuge,Gridanisches Sattelzeug,4,2,0,1,2,0,65538,131077,65538,58549,58556,58551,2,5
6,leicht[a] gridanisch[a] Rossharnisch,leicht[a] gridanisch[a] Rossharnische,Leichter gridanischer Rossharnisch,4,2,0,1,0,0,65543,65543,65543,58510,58511,58512,2,6
7,gridanisch[a] Rossharnisch,gridanisch[a] Rossharnische,Gridanischer Rossharnisch,4,2,0,1,0,0,131079,131079,131079,58513,58514,58515,2,7
8,schwer[a] gridanisch[a] Rossharnisch,schwer[a] gridanisch[a] Rossharnische,Schwerer gridanischer Rossharnisch,4,2,0,1,0,0,196615,196615,196615,58516,58517,58518,2,8
9,ul'dhisch[a] Sattelzeug,ul'dhisch[a] Sattelzeug,Ul'dhisches Sattelzeug,4,2,0,1,2,0,65538,196613,65538,58549,58559,58551,3,9
10,leicht[a] ul'dhisch[a] Rossharnisch,leicht[a] ul'dhisch[a] Rossharnische,Leichter ul'dhischer Rossharnisch,4,2,0,1,0,0,65544,65544,65544,58519,58520,58521,3,10
11,ul'dhisch[a] Rossharnisch,ul'dhisch[a] Rossharnische,Ul'dhischer Rossharnisch,4,2,0,1,0,0,131080,131080,131080,58522,58523,58524,3,11
12,schwer[a] ul'dhisch[a] Rossharnisch,schwer[a] ul'dhisch[a] Rossharnische,Schwerer ul'dhischer Rossharnisch,4,2,0,1,0,0,196616,196616,196616,58525,58526,58527,3,12
13,Paladin-Rossharnisch,Paladin-Rossharnische,Paladin-Rossharnisch,4,2,0,1,0,0,65546,65546,65546,58528,58529,58530,0,13
14,Dragoon-Rossharnisch,Dragoon-Rossharnische,Dragoon-Rossharnisch,4,2,0,1,0,0,65547,65547,65547,58531,58532,58533,0,14
15,Weißmagier-Rossharnisch,Weißmagier-Rossharnische,Weißmagier-Rossharnisch,4,2,0,1,0,0,65549,65549,65549,58534,58535,58536,0,15
16,Sleipnir-Rossharnisch,Sleipnir-Rossharnische,Sleipnir-Rossharnisch,4,2,0,1,0,0,65550,65550,65550,58537,58538,58539,0,171
17,Behemoth-Rossharnisch,Behemoth-Rossharnische,Behemoth-Rossharnisch,4,2,0,1,0,0,65551,65551,65551,58540,58541,58542,0,172
18,Chocobo-Fliegerhaube,Chocobo-Fliegerhauben,Chocobo-Fliegerhaube,3,1,0,1,1,0,65555,0,0,58543,0,0,0,51
19,Schwarzmagier-Rossharnisch,Schwarzmagier-Rossharnische,Schwarzmagier-Rossharnisch,4,2,0,1,0,0,65548,65548,65548,58546,58547,58548,0,21
20,königlich[a] Rossharnisch,königlich[a] Rossharnisch,Königlicher Rossharnisch,4,2,0,1,0,0,65553,0,0,58561,0,0,0,52
21,Sternenlicht-Rossharnisch,Sternenlicht-Rossharnische,Sternenlicht-Rossharnisch,4,2,0,1,0,0,65540,65540,65540,58564,58565,58566,0,101
22,Wogen-Rossharnisch,Wogen-Rossharnische,Wogen-Rossharnisch,4,2,0,1,0,0,65556,65556,65556,58567,58568,58569,0,125
23,Harnisch[p] des Lichts,Harnische[p] des Lichts,Harnisch des Lichts,4,2,0,1,0,0,65557,65557,65557,58570,58571,58572,0,41
24,Saliah-Harnisch,Saliah-Harnische,Saliah-Harnisch,4,2,0,1,0,0,65558,0,0,58573,0,0,0,102
25,Blitz-Rossharnisch,Blitz-Rossharnische,Blitz-Rossharnisch,4,2,0,1,0,0,65560,65560,65560,58576,58577,58578,0,126
26,gefiedert[a] Rossharnisch,gefiedert[a] Rossharnische,Gefiederter Rossharnisch,4,2,0,1,0,0,65559,0,0,58579,0,0,0,53
27,schaurig[a] Rossharnisch,schaurig[a] Rossharnische,Schauriger Rossharnisch,4,2,0,1,0,0,65561,65561,65561,58582,58583,58584,0,103
28,Eis-Rossharnisch,Eis-Rossharnische,Eis-Rossharnisch,4,2,0,1,0,0,65562,65562,65562,58585,58586,58587,0,127
29,Glücksspieler-Rossharnisch,Glücksspieler-Rossharnische,Glücksspieler-Rossharnisch,2,2,0,1,0,0,65565,65565,65565,58591,58592,58593,0,42
30,Buhlen-Rossharnisch,Buhlen-Rossharnische,Buhlen-Rossharnisch,2,2,0,1,0,0,65566,65566,65566,58588,58589,58590,0,104
