#,Text,SelfKind,TargetKind,NumParam,FCActivityCategory,IconType
0,,0,0,0,0,-1
1,Die Freie Ge­sell­schaft wurde gegründet.,0,0,0,1,0
2,Der Rang der Freien Ge­sell­schaft ist auf UNKNOWN gestiegen!,0,0,1,1,0
3,Das Verhältnis zum Mahlstrom ist nun „“!,1,0,1,1,5
4,Das Verhältnis zur Bruderschaft der Morgenviper ist nun „“!,1,0,1,1,6
5,Das Verhältnis zur Legion der Unsterblichen ist nun „“!,1,0,1,1,7
6,Du hast neue Rechte („“) erhalten!,0,0,1,1,0
7,Du bist der Ge­sell­schaft beigetreten.,4,0,0,2,1
8,Du bist der Ge­sell­schaft beigetreten.,4,0,0,2,1
9,Du bist aus der Ge­sell­schaft ausgetreten.,4,0,0,2,2
10,Du bist aus der Ge­sell­schaft entfernt worden.,4,0,0,2,2
11,Du hast nun den Rang „“.,4,5,0,2,3
12,Du hast nun den Rang „“.,4,5,0,2,3
13,Du hast nun den Rang „“.,4,5,0,2,3
14,Die Freie Ge­sell­schaft folgt nun dem Mahlstrom.,0,1,0,1,5
15,Die Freie Ge­sell­schaft folgt nun der Bruderschaft der Morgenviper.,0,1,0,1,6
16,Die Freie Ge­sell­schaft folgt nun der Legion der Unsterblichen.,0,1,0,1,7
17,Du hast den Rang „“ bearbeitet.,4,5,0,3,3
18,Du hast den Rang „“ hinzugefügt.,4,5,0,3,3
19,Du hast den Rang „“ entfernt.,4,5,0,3,3
20,Du hast die Hierarchie geändert.,4,0,0,3,3
21,,4,6,1,0,-1
22,,4,0,0,0,-1
23,,4,0,0,0,-1
24,Du hast das Anschlagbrett aktualisiert.,4,0,0,3,4
25,Du hast das Ge­sell­schaftsprofil aktualisiert.,4,0,0,3,4
26,Du hast das Ge­sell­schaftswappen geändert.,4,0,0,3,8
27,Du hast das Kommando „“ erworben.,4,0,1,4,9
28,Du hast das Kommando „“ benutzt.,4,0,1,4,9
29,Diese Aktivität wurde gelöscht.,0,0,0,0,4
30,Du hast einen Rang in „“ umbenannt.,4,5,0,3,3
