#,Item,Unknown1,Unknown2,WKSItemSubCategory,Unknown3
0,0,0,0,0,False
1,0,0,0,0,False
2,0,0,0,0,False
3,0,0,0,0,False
4,0,0,0,0,False
5,0,0,0,0,False
6,0,0,0,0,False
7,0,0,0,0,False
8,0,0,0,0,False
9,0,0,0,0,False
10,0,0,0,0,False
11,0,0,0,0,False
12,0,0,0,0,False
13,0,0,0,0,False
14,0,0,0,0,False
15,0,0,0,0,False
16,0,0,0,0,False
17,0,0,0,0,False
18,0,0,0,0,False
19,0,0,0,0,False
20,0,0,0,0,False
21,0,0,0,0,False
22,0,0,0,0,False
23,0,0,0,0,False
24,0,0,0,0,False
25,0,0,0,0,False
26,0,0,0,0,False
27,45046,0,2,7,False
28,0,0,0,0,False
29,0,0,0,0,False
30,0,0,0,0,False
31,0,0,0,0,False
32,0,0,0,0,False
33,0,0,0,0,False
34,45586,0,2,7,False
35,45587,0,2,7,False
36,0,0,0,0,False
37,0,0,0,0,False
38,45692,0,2,7,False
39,0,0,0,0,False
40,0,0,0,0,False
41,0,0,0,0,False
42,0,0,0,0,False
43,0,0,0,0,False
44,0,0,0,0,False
45,45693,2000,1,2,False
46,45694,2000,1,2,False
47,45695,2000,1,2,False
48,45696,2000,1,2,False
49,45697,2000,1,2,False
50,45698,2000,1,2,False
51,45699,2000,1,2,False
52,45700,2000,1,2,False
53,45701,2000,1,2,True
54,45702,2000,1,2,False
55,45703,2000,1,2,False
56,45704,2000,1,2,False
57,45705,2000,1,2,False
58,45706,2000,1,2,False
59,45707,2000,1,2,False
60,45708,2000,1,2,False
61,45709,2000,1,2,False
62,45710,2000,1,2,False
63,45711,2000,1,2,False
64,45712,2000,1,2,False
65,45713,2000,1,2,False
66,45714,2000,1,2,False
67,45715,2000,1,2,False
68,45716,2000,1,2,False
69,45717,2000,1,2,False
70,45718,2000,1,2,True
71,45719,2000,1,2,False
72,45720,2000,1,2,False
73,45721,2000,1,2,False
74,45722,2000,1,2,False
75,45723,2000,1,2,False
76,45724,2000,1,2,False
77,45725,2000,1,2,False
78,45726,2000,1,2,False
79,45727,2000,1,2,False
80,45728,2000,1,2,False
81,45729,2000,1,2,False
82,45730,2000,1,2,False
83,45731,2000,1,2,False
