#,StageFull,Stage,IndexText2,IndexText,IndexNpc,Unknown3,Unknown4,Unknown12,Unknown13,Unknown5,Unknown14,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24
0,,,,,,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1,"Mondtor-Station: Erweiterung I in Planung
 **Schließe Stellarmissionen ab!",Mondtor-Station: Erweiterung I - In Planung,"Wir sammeln momentan alle nötigen Materialien, um die Mondtor-Station zu erweitern! Jede einzelne Stellarmission hilft dabei, diesem Ziel näher zu kommen!","Bald ist es so weit! Wir sammeln momentan alle nötigen Materialien, um die Mondtor-Station zu erweitern! Wir sind für jede Unterstützung dankbar!",Searchingway,241001,0,0,0,158,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,False
2,"Mondtor-Station: Erweiterung I in Vorbereitung
**Bereite dich auf das Projekt vor!",Mondtor-Station: Erweiterung I - In Vorbereitung,"Für die Erweiterung der Mondtor-Station ist gerade ein Gemeinschaftsprojekt in Vorbereitung. Wir hoffen, dass sich so viele Unterstützer wie möglich daran beteiligen werden!",Für die Erweiterung der Mondtor-Station ist gerade ein Gemeinschaftsprojekt in Vorbereitung. Hilf doch bitte auch mit!,Searchingway,241001,0,0,1451,158,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,False
3,"Mondtor-Station: Erweiterung I im Gange
**Beteilige dich am Projekt!",Mondtor-Station: Erweiterung I - Im Gange,Für die Erweiterung der Mondtor-Station ist ein Gemeinschaftsprojekt im Gange! Wir können jede freie Hand gebrauchen!,Für die Erweiterung der Mondtor-Station ist ein Gemeinschaftsprojekt im Gange! Wir können jede freie Hand gebrauchen!,Searchingway,241001,0,0,0,158,0,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,False
4,"Mondtor-Station: Basislager Beta fertiggestellt
**Unterstütze weiter die Erkundung!",Mondtor-Station: Basislager Beta - Fertiggestellt,Die Erweiterung der Mondtor-Station ist fertig! Das sollte der Erkundung einen ordentlichen Schwung verpassen. Danke für die hoppeltastische Hilfe!,Die Erweiterung der Mondtor-Station ist fertig! Danke für die hoppeltastische Hilfe!,Searchingway,241002,18,0,1406,158,0,1,4,6,0,2,3,0,0,0,0,0,0,0,0,0,False
5,"Kosmozapper: Bauunterstützung I in Planung
 **Schließe Stellarmissionen ab!",Kosmozapper: Bauunterstützung I - In Planung,"Wir sammeln gerade Materialien, um ein ganz tolles Fortbewegungsmittel in der Nähe der Station zu bauen: den Kosmozapper! Jede einzelne Stellarmission hilft dabei, diesem Ziel näher zu kommen!","Wir bauen ein ganz tolles Fortbewegungsmittel in die Nähe der Station: den Kosmozapper! Gerade werden noch Materialien gesammelt, wobei wir für jede Unterstützung dankbar sind!",Searchingway,241003,0,0,0,158,0,1,5,0,0,2,3,0,0,0,0,0,0,0,0,0,False
6,"Kosmozapper: Bauunterstützung I in Vorbereitung
**Bereite dich auf das Projekt vor!",Kosmozapper: Bauunterstützung I - In Vorbereitung,"Für die Errichtung des Kosmozappers ist gerade ein Gemeinschaftsprojekt in Vorbereitung. Wir hoffen, dass sich so viele Unterstützer wie möglich daran beteiligen werden!",Für die Errichtung des Kosmozappers ist gerade ein Gemeinschaftsprojekt in Vorbereitung. Hilf doch bitte auch mit!,Searchingway,241003,0,0,1451,158,0,1,6,0,0,2,3,0,0,0,0,0,0,0,0,0,False
7,"Kosmozapper: Bauunterstützung I im Gange
**Beteilige dich am Projekt!",Kosmozapper: Bauunterstützung I - Im Gange,Für die Errichtung des Kosmozappers ist ein Gemeinschaftsprojekt im Gange! Wir können jede freie Hand gebrauchen!,Für die Errichtung des Kosmozappers ist ein Gemeinschaftsprojekt im Gange! Wir können jede freie Hand gebrauchen!,Searchingway,241003,0,0,0,158,0,1,7,0,0,2,3,0,0,0,0,0,0,0,0,0,False
8,"Kosmozapper: Zentraler Radius fertiggestellt
**Unterstütze weiter die Erkundung!",Kosmozapper: Zentraler Radius - Fertiggestellt,Der Kosmozapper ist fertig! Damit sollten wir jetzt einfacher durch das Erkundungsareal kommen. Danke für die hoppeltastische Hilfe!,Der Kosmozapper ist fertig! Danke für die hoppeltastische Hilfe!,Searchingway,241004,18,1,1405,158,0,2,8,6,0,2,3,0,0,0,0,0,0,0,0,0,False
9,"Habitationsmodul & Kosmoport in Planung
 **Schließe Stellarmissionen ab!",Habitationsmodul & Kosmoport - In Planung,"Wir wollen Habitationsmodule und einen Kosmoport für unser Raumschiff errichten. Jede einzelne Stellarmission hilft dabei, diesem Ziel näher zu kommen!","Wir wollen Habitationsmodule und einen Kosmoport für unser Raumschiff errichten. Gerade werden noch Materialien gesammelt, wobei wir für jede Unterstützung dankbar sind!",Searchingway,241005,0,0,0,158,0,2,9,0,0,2,3,0,0,0,0,0,0,0,0,0,False
