#,Icon,PlaceNameSubtext,DataKey,MapMarkerUnlockedBit,X,Y,SubtextOrientation,MapMarkerRegion,Type,DataType,Unknown0
0.0,0,0,0,0,0,0,0,0,0,0,255
1.0,60436,153,0,0,256,128,3,0,0,0,255
1.1,60436,152,0,0,300,500,2,0,0,0,255
1.2,60436,151,0,0,500,600,1,0,0,0,255
2.0,60436,151,0,0,256,128,1,0,0,0,255
2.1,60436,152,0,0,300,500,2,0,1,0,255
2.2,60436,151,0,0,500,600,1,0,0,0,255
2.3,60441,52,4,10,1024,500,2,0,0,1,5
3.0,60436,548,0,0,1078,1222,2,0,0,0,255
3.1,60314,547,0,0,1078,1260,3,0,0,0,255
3.2,60352,549,0,0,1035,1280,1,0,0,0,255
3.3,60442,551,0,0,1025,1058,1,0,0,0,255
3.4,60442,552,0,0,1326,1329,4,0,0,0,255
3.5,60321,554,0,0,948,1130,4,0,0,0,255
3.6,60442,556,0,0,1010,1205,1,0,0,0,255
3.7,60442,557,0,0,878,1130,1,0,0,0,255
3.8,60442,559,0,0,813,1199,4,0,0,0,255
3.9,60442,560,0,0,985,1238,1,0,0,0,255
3.10,60320,563,0,0,1460,1102,2,0,0,0,255
3.11,0,585,0,0,950,925,2,0,0,0,255
3.12,0,587,0,0,935,1315,2,0,0,0,255
3.13,60453,590,2,0,1094,1080,2,0,0,3,255
3.14,60568,591,0,0,886,1010,4,0,0,0,255
3.15,60311,593,0,0,1085,1160,2,0,0,0,255
3.16,60441,53,3,0,1225,1054,2,0,0,1,16
3.17,60441,53,3,0,1046,998,2,0,0,1,17
3.18,60441,53,3,0,815,1044,1,0,0,1,18
3.19,0,54,0,0,792,1211,0,0,0,0,255
3.20,60441,54,4,0,1364,1348,2,0,0,1,0
3.21,0,54,0,0,1364,1348,0,0,0,0,255
3.22,60412,0,0,0,1007,1020,2,0,0,0,255
3.23,60434,0,0,0,1074,1207,2,0,0,0,255
3.24,60412,0,0,0,991,1110,2,0,0,0,255
3.25,60430,0,782,0,1356,1199,2,0,0,4,255
3.26,60412,0,0,0,1050,1028,2,0,0,0,255
3.27,60460,0,0,0,866,1019,2,0,0,0,255
3.28,60442,473,0,0,795,1211,1,0,0,0,255
3.29,0,54,4,0,735,1231,2,0,0,1,41
3.30,60412,0,0,0,888,1002,2,0,0,0,255
3.31,60935,0,0,0,875,1031,2,0,0,0,255
3.32,60571,0,0,0,868,1028,2,0,0,0,255
3.33,60581,0,0,0,997,1040,2,0,0,0,255
3.34,60467,0,0,0,795,1200,3,0,0,0,255
3.35,60442,1800,0,0,860,1009,1,0,0,0,255
3.36,0,0,28,0,1078,1222,8,0,0,2,255
3.37,0,0,0,0,0,0,0,0,0,0,255
3.38,0,0,308,0,860,1009,8,0,0,2,255
3.39,0,0,0,0,0,0,0,0,0,0,0
3.40,63922,0,0,0,1140,1118,2,0,0,0,255
3.41,63919,0,0,231,1098,1135,2,0,0,0,255
3.42,60412,0,0,2,1107,1210,2,0,0,0,255
4.0,60442,564,0,0,1350,773,2,0,0,0,255
4.1,60442,565,0,0,1350,888,2,0,0,0,255
4.2,60326,568,0,0,1156,698,4,0,0,0,255
4.3,60442,569,0,0,1189,863,3,0,0,0,255
4.4,60322,572,0,0,1350,477,4,0,0,0,255
4.5,0,0,0,0,1233,582,4,0,0,0,255
4.6,60442,574,0,0,1224,416,4,0,0,0,255
4.7,60442,575,0,0,1012,540,4,0,0,0,255
4.8,60319,578,0,0,512,977,4,0,0,0,255
4.9,60442,579,0,0,705,993,4,0,0,0,255
4.10,60442,580,0,0,926,843,4,0,0,0,255
4.11,60318,582,0,0,549,733,4,0,0,0,255
4.12,0,0,0,0,834,691,2,0,0,0,255
4.13,0,585,0,0,920,935,2,0,0,0,255
4.14,0,586,0,0,1560,710,2,0,0,0,255
4.15,60456,595,0,0,1389,543,2,0,0,0,255
4.16,60441,52,2,0,1305,981,3,0,0,1,16
4.17,60441,52,2,0,1053,849,3,0,0,1,17
4.18,60441,52,2,0,767,952,4,0,0,1,18
4.19,60441,57,7,0,590,832,4,0,0,1,18
4.20,60412,0,0,0,1352,904,2,0,0,0,255
4.21,60412,0,0,0,1361,876,2,0,0,0,255
4.22,60412,0,0,0,1332,889,2,0,0,0,255
4.23,60412,0,0,0,1342,870,2,0,0,0,255
4.24,60412,0,0,0,1363,786,2,0,0,0,255
4.25,60412,0,0,0,1342,795,2,0,0,0,255
4.26,60412,0,0,0,1336,779,2,0,0,0,255
4.27,60412,0,0,0,1351,758,2,0,0,0,255
4.28,60434,0,0,0,1330,765,2,0,0,0,255
4.29,60412,584,0,0,842,679,3,0,0,0,255
4.30,60551,0,0,0,911,723,2,0,0,0,255
4.31,60442,135,0,0,617,831,3,0,0,0,255
