#,Text,LogKind,DisplayFlags,Unknown1,Duration,Unknown2
0,,0,0,0,0,False
1,Du hast dich in die Gruppe eingeladen.,57,1,0,0,False
2,Die Einladung in die Gruppe von dir wurde abgebrochen.,57,1,0,0,False
3,du hat dich in eine Gruppe eingeladen.,57,33,0,0,False
4,Du hast die Gruppe verlassen.,57,1,0,0,False
5,Die Gruppe wurde aufgelöst.,57,1,0,0,False
6,,0,0,0,0,False
7,,0,0,0,0,False
8,du steht nun auf der Schwarzen Liste.,57,1,0,0,False
9,du wurde von der Schwarzen Liste entfernt.,57,1,0,0,False
10,Du hast dir eine Freund­schaftsanfrage gesendet.,57,33,0,0,False
11,du hat dir eine Freund­schaftsanfrage gesendet.,57,33,0,0,False
12,du wurde von der Freundesliste entfernt.,57,1,0,0,False
13,Du hast dich in den Kontaktkreis „“ eingeladen.,57,1,0,0,False
14,du hat dich in den Kontaktkreis „“ eingeladen.,57,33,0,0,False
15,du ist nun ein Anführer des Kontaktkreises „“.,57,1,0,0,False
16,du ist nicht länger ein Anführer des Kontaktkreises „“.,57,1,0,0,False
17,Du hast den Kontaktkreis „“ verlassen.,57,1,0,0,False
18,Der Kontaktkreis „“ wurde aufgelöst.,57,33,0,0,False
19,du wurde aus dem Kontaktkreis „“ entfernt.,57,1,0,0,False
20,Du wurdest aus dem Kontaktkreis „“ entfernt.,57,1,0,0,False
21,Dir wurden die Meisterprivilegien für „“ gewährt.,57,1,0,0,False
22,Dir wurden die Meisterprivilegien für „“ gewährt.,57,33,0,0,False
23,Du bist nun ein Anführer des Kontaktkreises „“. ,57,33,0,0,False
24,Du bist nicht länger ein Anführer des Kontaktkreises „“. ,57,1,0,0,False
25,Du hast den Brief abgeschickt.,57,33,0,0,False
26,Du hast den Brief gelöscht.,57,1,0,0,False
27,Du hast mit dem Brief  erhalten.,57,1,0,0,False
28,Du hast mit dem Brief 0 Gil erhalten.,57,1,0,0,False
29,"Es befinden sich zu viele Briefe mit Anhängen im Posteingang „Freunde“.
Nimm Anhänge entgegen, um Platz für neue zu schaffen.",60,9,0,0,False
30,Du kann momentan nicht handeln.,60,8,0,0,False
31,Dieser Gegenstand kann nicht an andere weitergegeben werden.,60,8,0,0,False
32,Du hast dir einen Handel angeboten.,57,1,0,0,False
33,Warte auf die Bestätigung von dir ...,57,1,0,0,False
34,Du möchte mit dir handeln.,57,1,0,0,False
35,Der Handel hat begonnen.,57,1,0,0,False
36,Der Handel wurde abgebrochen.,57,1,0,0,False
37,Die zu handelnden Gegenstände wurden geändert.,57,1,0,0,False
38,Der Handel wurde abgeschlossen.,57,33,0,0,False
39,Dein Inventar ist voll. Der Handel konnte nicht abgeschlossen werden.,60,8,0,0,False
40,Das Inventar von Dir ist voll. Der Handel konnte nicht abgeschlossen werden.,60,8,0,0,False
41,Nur Gegenstände mit einem Zustand von 100 % können gehandelt werden.,60,8,0,0,False
42,Du besitzt bereits einen der angebotenen seltenen Gegenstände. Der Handel konnte nicht abgeschlossen werden.,60,8,0,0,False
43,Du besitzt bereits einen der angebotenen seltenen Gegenstände. Der Handel konnte nicht abgeschlossen werden.,60,8,0,0,False
44,"Der Handel wird abgebrochen, wenn du dich zu weit vom Handelspartner entfernst.",57,8,0,0,False
45,Das Zeichenlimit wurde überschritten.,60,8,0,0,False
46,Du kannst keine weiteren Gil aufnehmen und daher nicht handeln.,60,8,0,0,False
47,Du kann keine weiteren Gil aufnehmen und daher nicht handeln.,60,8,0,0,False
48,"Du konntest keinen Handel anbieten, da der Onlinestatus des anderen Spielers „Beschäftigt“ ist.",60,8,0,0,False
49,"Da UNKNOWN beschäftigt ist, konntest du diesem Spieler keine Nachricht zuflüstern.",60,1,0,0,False
50,Die Nachricht an UNKNOWN konnte nicht gesendet werden.,60,1,0,0,False
51,Der Charakter konnte nicht gefunden werden.,60,8,0,0,False
52,Du folgst nun .,57,33,0,0,False
53,Automatisches Verfolgen abgebrochen.,57,33,0,0,False
54,"Du kannst nicht mit jemandem handeln, auf dessen Schwarzer Liste du stehst.",60,8,0,0,False
55,"Du kannst jemandem, der auf deiner Schwarzen Liste steht, keine Nachrichten zuflüstern.",60,8,0,0,False
56,"Du kannst nicht mit jemandem handeln, der auf deiner Schwarzen Liste steht.",60,8,0,0,False
57,"Du kannst jemanden, der auf deiner Schwarzen Liste steht, nicht in deine Gruppe einladen.",60,8,0,0,False
58,"Du kannst jemanden, der auf deiner Schwarzen Liste steht, nicht in den Kontaktkreis einladen.",60,8,0,0,False
59,Noch UNKNOWN freien Platz im Inventar.,60,8,0,0,False
60,du ist der Gruppe beigetreten.,57,33,1,0,False
61,Du bist der Gruppe von dir beigetreten.,57,33,1,0,False
62,du hat die Einladung in die Gruppe abgelehnt.,57,1,0,0,False
63,Du hast die Einladung in die Gruppe von dir abgelehnt.,57,1,0,0,False
64,du wurde zum Gruppenanführer gemacht.,57,1,1,0,False
65,du hat dich zum Gruppenanführer gemacht.,57,33,1,0,False
66,du ist der neue Anführer der Gruppe.,57,33,1,0,False
67,du wurde aus der Gruppe entfernt.,57,1,1,0,False
68,Du bist aus der Gruppe von dir ausgetreten.,57,1,1,0,False
69,du hat die Gruppe verlassen.,57,33,1,0,False
70,Du bist aus deiner eigenen Gruppe ausgetreten.,57,33,1,0,False
71,"Du wurdest zum neuen Gruppenanführer befördert, weil du die Gruppe verlassen hat.",57,33,1,0,False
72,Deine Gruppe wurde aufgelöst.,57,33,1,0,False
73,Die Gruppe wurde aufgelöst.,57,33,1,0,False
74,Du bist dem Kontaktkreis „“ beigetreten.,57,33,0,0,False
75,du ist dem Kontaktkreis „“ beigetreten.,57,33,1,0,False
76,Du hast die Aufnahme in den Kontaktkreis „“ abgelehnt.,57,1,0,0,False
77,du ist aus dem Kontaktkreis „“ ausgetreten.,57,33,1,0,False
78,du wurde deiner Freundesliste hinzugefügt.,57,33,1,0,False
79,Du hast die Freund­schaftsanfrage von dir abgelehnt.,57,1,0,0,False
80,Dein Online-Status wurde aktualisiert.,57,32,0,0,False
81,Die Suchergebnisse wurden aktualisiert.,57,32,0,0,False
82,Du hast die Freund­schaftsanfrage an dich gelöscht.,57,1,0,0,False
83,du hat die Freund­schaftsanfrage an dich gelöscht.,57,1,1,0,False
84,Du hast dich ausgeloggt.,57,33,1,0,False
85,Du bist wieder in die Gruppe eingetreten.,57,33,1,0,False
86,Dieser Charakter steht auf deiner Schwarzen Liste. Du kannst ihn daher nicht mit dem Einfügen von Materia beauftragen.,60,8,0,0,False
87,Dieser Charakter ist kein Handwerker und kann daher keine Materia einfügen.,60,8,0,0,False
88,Du hast einen bisher unbekannten Ort betreten!,57,33,1,0,False
89,Die Charakterliste konnte nicht aktualisiert werden. Versuch es etwas später oder bei einem anderen Datenzentrum.,60,8,0,0,False
90,Du hast auf die Mitgliedschaft in dem Kontaktkreis „“ verzichtet.,57,1,1,0,False
91,Du hast die Einladung von dir in den Kontaktkreis „“ zurückgezogen.,57,33,0,0,False
92,Die Einladung in den Kontaktkreis „“ wurde zurückgezogen.,57,33,1,0,False
93,Die Brief-Daten werden gerade verarbeitet. Bitte warte einen Moment.,60,8,0,0,False
94,Derzeit sucht UNKNOWN Gruppe nach Mitspielern (davon passt keine zu den von dir eingestellten Suchkriterien).,72,1,0,0,False
95,Du hast alle Gruppeneinladungen zurückgenommen.,57,1,1,0,False
96,"Kosmetiker-exklusive Frisuren und Ge­sichts­be­malungen können nicht angewendet werden. 
Das Aussehen wird auf die Grund­ein­stellungen zurückgesetzt.",60,8,0,0,False
97,Online-Status wurde zu „abwesend“ geändert.,57,1,0,0,False
98,Online-Status ist nicht mehr „abwesend“.,57,1,0,0,False
99,"Du kannst nicht beitreten, weil der Rekrutierende auf deiner Schwarzen Liste steht.",60,8,0,0,False
100,Du siehst dich überrascht an.,29,1,0,0,False
101,Du bist verärgert über dich.,29,1,0,0,False
102,Du beschimpfst dich wütend.,29,1,0,0,False
103,Du bist verlegen und errötest vor dir.,29,1,0,0,False
104,Du verbeugst dich hoch­ach­tungs­voll vor dir.,29,1,0,0,False
105,Du feuerst dich an.,29,1,0,0,False
106,Du klatschst begeistert Beifall für dich.,29,1,0,0,False
107,Du winkst dich heran.,29,1,0,0,False
108,Du klopfst dir tröstend auf die Schulter.,29,1,0,0,False
109,Du weinst vor dir.,29,1,0,0,False
110,Du zeigst dir einen fröhlichen Tanz.,29,1,0,0,False
111,Du beschuldigst dich.,29,1,0,0,False
