#,Text,Label,Unknown0,Param,Platform,Category,BacklightColor,Required
0,,,0,255,255,0,0,False
1,,,0,0,0,0,0,False
2,,,0,0,0,0,0,False
3,,,0,0,0,0,0,False
4,,,0,0,0,0,0,False
5,,,0,0,0,0,0,False
6,,,0,0,0,0,0,False
7,,,0,0,0,0,0,False
8,,,0,0,0,0,0,False
9,,,0,0,0,0,0,False
10,,,0,0,0,0,0,False
11,Laufen und Steuern,MOVE_AND_STEER,1,255,255,1,0,False
12,Vorwärts,MOVE_FORE,2,255,255,1,3,False
13,Rückwärts,MOVE_BACK,3,255,255,1,3,False
14,Nach links,MOVE_LEFT,4,255,255,1,3,False
15,Nach rechts,MOVE_RIGHT,5,255,255,1,3,False
16,Seitschritt nach links,MOVE_STRIFE_L,6,255,255,1,3,False
17,Seitschritt nach rechts,MOVE_STRIFE_R,7,255,255,1,3,False
18,Springen,JUMP,8,255,255,1,3,False
19,Laufen/Gehen umschalten,WALK,9,255,255,1,3,False
20,Automatisches Rennen ein/aus,AUTORUN_KEY,10,255,255,1,3,False
21,Waffe ziehen/wegstecken,SWARD,11,255,255,1,3,False
22,Ziel feststellen,CAMERA_FOCUS,12,255,255,1,6,False
23,Nach unten fliegen/tauchen,MOVE_DESCENT,13,255,255,1,3,False
24,Flughöhe/Tauchtiefe beibehalten,MOVE_RETENTION,14,255,255,1,3,False
25,Schräg nach unten fliegen/tauchen,MOVE_ANGLE_RISING,15,255,255,1,3,False
26,Schräg nach oben fliegen/tauchen,MOVE_ANGLE_DESCENT,16,255,255,1,3,False
27,,,0,0,0,0,0,False
28,,,0,0,0,0,0,False
29,,,0,0,0,0,0,False
30,,,0,0,0,0,0,False
31,,,0,0,0,0,0,False
32,,,0,0,0,0,0,False
33,,,0,0,0,0,0,False
34,,,0,0,0,0,0,False
35,,,0,0,0,0,0,False
36,,,0,0,0,0,0,False
37,,,0,0,0,0,0,False
38,,,0,0,0,0,0,False
39,,,0,0,0,0,0,False
40,,,0,0,0,0,0,False
41,,,0,0,0,0,0,False
42,,,0,0,0,0,0,False
43,,,0,0,0,0,0,False
44,,,0,0,0,0,0,False
45,,,0,0,0,0,0,False
46,,,0,0,0,0,0,False
47,,,0,0,0,0,0,False
48,,,0,0,0,0,0,False
49,,,0,0,0,0,0,False
50,,,0,0,0,0,0,False
51,Kamera nach oben,CAMERA_UP,17,255,255,1,6,False
52,Kamera nach unten,CAMERA_DOWN,18,255,255,1,6,False
