#,Name,Icon,SortKey
0,Nicht festgelegt,61762,0
1,Dungeons,61801,20
2,Prüfungen,61804,21
3,Raids,61802,22
4,Fatale Raids,61832,23
5,Tiefe Gewölbe,61824,30
6,Feldexkursionen,61837,31
7,PvP,61806,40
8,Blaumagier,61836,51
9,Schatzsuche,61808,52
10,Hohe Jagd,61819,53
11,Handwerk,61816,100
12,Sammeln,61755,101
13,Angeln,61756,102
14,Hauptszenario,61757,10
15,Gold Saucer,61820,54
16,Zufallsinhalte,61807,50
17,Stufenaufstieg,61752,150
18,Rollenspiel,61751,151
19,Hardcore,61754,153
20,Casual,61753,152
21,Anfänger,61823,154
22,Mentor,61760,155
23,Reichtümer anhäufen,61758,200
24,Gruppenfotos,61764,205
25,Projektionen,61759,204
26,Musik,61763,203
27,Chat,61765,206
28,Housing,61761,202
29,Spieler-Events,61766,207
30,Errungenschaften,61767,201
31,Gewölbesuche,61846,32
32,Domanisches Mahjong,61768,55
33,Inselparadies,61847,56
