#,Name,Description,Icon,Category,MainCommandCategory,Unknown0,SortID
0,,,0,0,0,0,0
1,Initiative,Lässt den Charakter seine Waffe ziehen oder wegstecken.,16,1,1,1,-5
2,Charakter,Zeigt die Spielwerte des Charakters an. Du kannst z. B. neue Ausrüstung anlegen und Titel ändern.,1,6,1,6,0
3,Kommandoliste,"Zeigt die Kommandos an, die der Charakter ausführen kann. Du kannst z. B. Kommandos im Kommandomenü anlegen und Rollenkommandos einrichten.",4,2,1,2,-4
4,Archiv,Zeigt aktive und abgeschlossene Aufträge und Freibriefe an. Du kannst z. B. die Aufgabenliste anpassen und Freibriefe beginnen oder entfernen.,5,4,2,22,0
5,Timer,"Zeigt die verbleibende Spielzeit, Vollmachten oder Wartezeit für verschiedene Inhalte, z. B. Freibriefe oder Aufträge der Freundesvölker an.",47,13,2,31,9
6,Errungenschaften,Zeigt eine Liste der Errungenschaften an. Du kannst den Fortschritt und die Bedingungen einsehen.,6,18,1,18,12
7,Sammler-Notizbuch,"Zeigt eine Liste der Gegenstände an, die Sammler durch Abbauen, Herausbrechen, Abholzen und Abernten beschaffen sollen. Außerdem wird angezeigt, in welchen Gegenden diese Gegenstände zu finden sind.",23,4,3,35,1
8,Bestiarium,"Zeigt eine Liste der Monster an, die Krieger und Magier erlegen sollen. Außerdem wird angezeigt, in welchen Gegenden die Monster zu finden sind und wie viel Routine man erhält.",21,1,3,32,-2
9,Handwerker-Notizbuch,"Zeigt eine Liste der Gegenstände an, die Handwerker herstellen sollen sowie deren Syntheserezepte. Hier kannst du den Synthesevorgang starten.",22,3,3,34,0
10,Inventar,"Zeigt die Gegenstände und Kristalle in deinem Besitz an. Du kannst Gegenstände benutzen, umsortieren und mehr.",2,8,1,8,2
11,Schlüsselgegenstände,"Zeigt die Schlüsselgegenstände in deinem Besitz an. Wenn du einen Auftrag, zu dem ein Schlüsselgegenstand gehört, entfernst, wird auch der Schlüsselgegenstand gelöscht.",3,3,2,21,-1
12,Kontakte,"Zeigt eine Liste deiner Grup­pen­mit­glieder an. Du kannst z. B. die Gruppe verlassen, auflösen oder die Anzeigereihenfolge ändern.",17,1,5,46,0
13,Freunde,"Zeigt eine Liste der Charaktere an, die du als Freunde registriert hast. Flüstere einem Freund etwas zu oder lade einen Freund auf deiner Welt in deine Gruppe ein.",18,10,6,62,7
14,Schwarze Liste,"Zeigt eine Liste der Charaktere an, die du auf die Schwarze Liste gesetzt hast. Sie unterliegen verschiedenen Beschränkungen, z.B. dass sowohl die Charaktere selbst als auch von ihnen gesendete Nachrichten dir nicht angezeigt werden. Weiterhin können sie nicht mit dir handeln oder dich in ihre Gruppe einladen.",19,12,6,64,9
15,Spielersuche,Mit der Spielersuche kannst du unter verschiedenen Kriterien nach anderen Spielercharakteren suchen. Außerdem kannst du deinen Online-Status oder Suchkommentar ändern.,20,1,6,53,-2
16,Karte,"Zeigt eine Karte an, auf der du die Position deiner Grup­pen­mit­glieder oder Zielgebiete deiner Aufträge nachsehen kannst. Händler und wichtige Orientierungspunkte sind ebenfalls eingetragen. Du kannst auch zoomen oder Karten anderer Regionen anzeigen.",7,4,4,43,0
17,Emotes,"Zeigt eine Liste der Emotes an. Sie helfen dir, mit anderen Spielern zu interagieren und verleihen dem Spiel Atmosphäre. Du kannst sie auch im Kommandomenü anlegen.",9,3,6,55,0
18,Markierungen,"Mit Markierungen kannst du für deine Gruppe oder Allianz Gegner oder Verbündete kennzeichnen, um den Kampfablauf zu dirigieren.",10,3,5,48,2
19,Systemkonfiguration,In den Systemeinstellungen kannst du Konfigurationen von Sound und Grafik vornehmen oder die Tastenbelegung ändern.,29,6,7,72,1
20,Tastenbelegung,Hier kannst du die Tasten mit ver­schie­den­sten Funktionen belegen.,28,9,7,75,4
21,Makros,"Hier kannst du Textmakros für einzelne oder alle Charaktere erstellen, um wiederkehrende komplexe Aktionen mit einem einzigen Klick ausführen zu können, und im Kommandomenü anlegen. Die verfügbaren Textbefehle werden in einer Liste angezeigt.",30,8,7,74,3
22,Layout,"Hier kannst du die Position, Größe und Darstellung von Anzeigefenstern und anderen UI-Elementen ändern.",31,7,7,73,2
23,Ausloggen,Loggt dich aus und bringt dich zum Titelbildschirm zurück.,27,10,7,77,7
24,Spiel beenden,Loggt dich aus und beendet das Spiel.,26,11,7,78,8
25,Arsenal,Hier werden Aus­rüstungs­gegen­stände beim Erwerb automatisch verstaut. Sie sind nach Körperteilen geordnet und können jederzeit angelegt werden.,32,7,1,7,1
26,,,0,0,0,0,0
27,Freie Ge­sell­schaft,"Zeigt Informationen über die Freie Ge­sell­schaft, in der du registriert bist.",8,4,6,56,1
