#,Masculine,Feminine,IsPrefix,Order
0,,,False,0
1,der Unersättliche,die Unersättliche,False,1
2,der Aufrichtige,die Aufrichtige,False,2
3,Coeurlfaust,Coeurlfaust,True,3
4,Eisenfresser,Eisenfresserin,True,4
5,vom rachsüchtigen Speer,vom rachsüchtigen Speer,False,5
6,Götterbogen,Götterbogen,True,6
7,der Weiße,die Weiße,False,7
8,Sternenrufer,Sternenruferin,True,8
9,der Blutdürstige,die Blutdürstige,False,50
10,Notorischer Kopfgeldjäger,Notorische Kopfgeldjägerin,True,60
11,Ehrenhafter Gillionär,Ehrenhafte Gillionärin,True,80
12,Ruchloser Gillionär,Ruchlose Gillionärin,True,80
13,Kriegstreiber,Kriegstreiberin,True,100
14,Erzmagier,Erzmagierin,True,101
15,Erbauer des Reichs,Erbauerin des Reichs,True,102
16,Erzeuger des Reichs,Erzeugerin des Reichs,True,103
17,von der goldenen Säge,von der goldenen Säge,False,150
18,vom goldenen Amboss,vom goldenen Amboss,False,151
19,vom goldenen Hammer,vom goldenen Hammer,False,152
20,vom goldenen Blatt,vom goldenen Blatt,False,153
21,vom goldenen Fell,vom goldenen Fell,False,154
22,von der goldenen Nadel,von der goldenen Nadel,False,155
23,vom goldenen Blei,vom goldenen Blei,False,156
24,von der goldenen Kelle,von der goldenen Kelle,False,157
25,der die Wiesen gräbt,die die Wiesen gräbt,False,200
26,der die Wälder gräbt,die die Wälder gräbt,False,201
27,der die Wüsten gräbt,die die Wüsten gräbt,False,202
28,vom Auenstein,vom Auenstein,False,203
29,vom Tannenstein,vom Tannenstein,False,204
30,vom Steppenstein,vom Steppenstein,False,205
31,der die Wiesen rodet,die die Wiesen rodet,False,206
32,der die Wälder rodet,die die Wälder rodet,False,207
33,der die Wüsten rodet,die die Wüsten rodet,False,208
34,vom Auengras,vom Auengras,False,209
35,vom Tannengras,vom Tannengras,False,210
36,vom Steppengras,vom Steppengras,False,211
37,der die Wiesen einholt,die die Wiesen einholt,False,212
38,der die Wälder einholt,die die Wälder einholt,False,213
39,der die Wüsten einholt,die die Wüsten einholt,False,214
40,vom Auenteich,vom Auenteich,False,215
41,vom Tannenteich,vom Tannenteich,False,216
42,vom Steppenteich,vom Steppenteich,False,217
43,Virtuoser Materialist,Virtuoser Materialist,True,250
44,Materia-Maestro,Materia-Maestro,True,251
45,Kämpferseele,Kämpferseele,True,300
46,Magierseele,Magierseele,True,301
47,Handwerkerseele,Handwerkerseele,True,302
48,Sammlerseele,Sammlerseele,True,303
49,die helfende Hand,die helfende Hand,False,350
