#,Name,Icon,OrderMinor,OrderMajor
0,,0,0,0
1,Hauptwaffe der Faustkämpfer,60101,6,1
2,Hauptwaffe der Gladiatoren,60102,0,1
3,Hauptwaffe der Marodeure,60103,1,1
4,Hauptwaffe der Waldläufer,60105,10,1
5,Hauptwaffe der Pikeniere,60104,4,1
6,Thau­ma­tur­gen-Waf­fe,60108,13,1
7,Thau­ma­tur­gen-Zwei­hand­waf­fe,60108,14,1
8,Druiden-Waffe,60107,19,1
9,Dru­iden-Zwei­hand­waf­fe,60107,20,1
10,Grimoire,60109,15,1
11,Schild,60110,0,3
12,Zim­mer­manns­zeug,60112,0,2
13,Zim­mer­manns­zeug (sekundär),60112,1,2
14,Schmiedezeug,60113,2,2
15,Schmiedezeug (sekundär),60113,3,2
16,Plattnerzeug,60114,4,2
17,Plattnerzeug (sekundär),60114,5,2
18,Gold­schmie­de­zeug,60115,6,2
19,Gold­schmie­de­zeug (sekundär),60115,7,2
20,Gerberzeug,60116,8,2
21,Gerberzeug (sekundär),60116,9,2
22,Weberzeug,60117,10,2
23,Weberzeug (sekundär),60117,11,2
24,Al­che­mis­ten­zeug,60118,12,2
25,Al­che­mis­ten­zeug (sekundär),60118,13,2
26,Gourmetzeug,60119,14,2
27,Gourmetzeug (sekundär),60119,15,2
28,Mi­nen­ar­bei­ter­zeug,60120,16,2
29,Mi­nen­ar­bei­ter­zeug (sekundär),60120,17,2
30,Gärtnerzeug,60121,18,2
31,Gärtnerzeug (sekundär),60121,19,2
32,Fischerzeug,60122,20,2
33,Angelköder,60123,29,7
34,Kopf,60124,1,3
35,Rumpf,60126,2,3
36,Beine,60128,5,3
37,Hände,60129,3,3
38,Füße,60130,6,3
39,Eingestellte Gegenstände,60131,254,7
40,Halskette,60132,1,4
41,Ohrring,60133,0,4
42,Armreif,60134,2,4
43,Ring,60135,3,4
44,Arznei,60136,0,5
45,Zutat,60137,0,6
46,Gericht,60146,1,5
47,Meeresfrüchte,60138,1,6
48,Baustein,60139,2,6
49,Metall,60140,3,6
50,Nutzholz,60141,4,6
51,Stoff,60142,5,6
52,Leder,60143,6,6
53,Knochen/Horn,60144,7,6
54,Reagenz,60145,8,6
55,Farbstoff,60147,10,6
56,Einzelteil,60148,9,6
57,Mobiliar,60164,20,7
58,Materia,60150,0,7
59,Kristall,60151,1,7
60,Katalysator,60152,2,7
61,Verschiedenes,60153,3,7
62,Jobkristall,60157,4,4
63,Anderes,60159,6,7
64,Baugenehmigung,60160,7,7
65,Dach,60160,8,7
66,Mauer,60160,9,7
67,Fenster,60160,10,7
68,Tür,60160,11,7
69,Dachdekoration,60160,12,7
70,Fassadendekoration,60160,13,7
71,Tafel,60160,14,7
72,Zaun,60160,15,7
73,Innenwand,60161,16,7
74,Boden,60161,17,7
75,Deckenleuchte,60161,18,7
76,Gartenausstattung,60168,19,7
77,Tisch/Ablage,60162,21,7
78,Tischdekoration,60163,22,7
79,Wanddekoration,60166,23,7
80,Teppich,60167,24,7
81,Begleiter,60155,5,7
82,Gartenbau,60153,25,7
83,Demimateria,60150,26,7
84,Hauptwaffe der Schurken,60106,8,1
85,Saisonaler Gegenstand,60154,4,7
86,Triple Triad-Karte,60156,27,7
87,Hauptwaffe der Dunkelritter,60170,2,1
88,Hauptwaffe der Maschinisten,60172,11,1
89,Hauptwaffe der Astrologen,60171,22,1
90,Schiffbauteil (Rumpf),60169,11,6
91,Schiffbauteil (Takelage),60169,12,6
92,Schiffbauteil (Heck),60169,14,6
93,Schiffbauteil (Bug),60169,13,6
94,Notenrolle,60173,28,7
95,Gemälde,60175,29,7
96,Hauptwaffe der Samurai,60177,7,1
97,Hauptwaffe der Rotmagier,60176,16,1
98,Hauptwaffe der Gelehrten,60178,21,1
99,Fischerzeug (sekundär),60122,21,2
100,Währung,60179,255,7
101,Tauchboot-Bauteil (Rumpf),60169,15,6
102,Tauchboot-Bauteil (Heck),60169,16,6
103,Tauchboot-Bauteil (Bug),60169,17,6
104,Tauchboot-Bauteil (Brücke),60169,18,6
105,Blaumagier-Waffe,60180,18,1
106,Hauptwaffe der Revolver­klingen,60181,3,1
107,Hauptwaffe der Tänzer,60182,12,1
108,Hauptwaffe der Schnitter,60183,5,1
109,Hauptwaffe der Weisen,60184,23,1
110,Hauptwaffe der Vipern,60187,9,1
111,Hauptwaffe der Piktomanten,60188,17,1
112,Ausrüstungsset,60159,253,7
