#,Name,Description,OneHandWeaponPercent,OffHandPercent,HeadPercent,ChestPercent,HandsPercent,WaistPercent,LegsPercent,FeetPercent,EarringPercent,NecklacePercent,BraceletPercent,RingPercent,TwoHandWeaponPercent,UnderArmorPercent,ChestHeadPercent,ChestHeadLegsFeetPercent,Unknown0,LegsFeetPercent,HeadChestHandsLegsFeetPercent,ChestLegsGlovesPercent,ChestLegsFeetPercent,Unknown1,Unknown3,OrderPriority,MeldParam[0],MeldParam[1],MeldParam[2],MeldParam[3],MeldParam[4],MeldParam[5],MeldParam[6],MeldParam[7],MeldParam[8],MeldParam[9],MeldParam[10],MeldParam[11],MeldParam[12],PacketIndex,Unknown2
0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,-1,False
1,Stärke,"Stärke: Beeinflusst die Höhe des physischen Schadens, den die Waffen der Gladiatoren, Marodeure, Revolver­klingen, Faustkämpfer, Pikeniere, Druiden, Thaumaturgen, Hermetiker, Dunkelritter, Samurai, Rotmagier, Piktomaten, Blaumagier, Astrologen, Schnitter und Weisen austeilen.",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,12,90,100,100,100,70,70,70,100,70,100,100,70,70,0,False
2,Geschick,"Geschick: Beeinflusst die Höhe des physischen Schadens, den die Waffen von Waldläufern, Vipern, Schurken, Maschinisten und Tänzern austeilen.",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,13,90,70,70,70,100,70,70,100,70,100,70,100,100,1,False
3,Konstitution,Konstitution: Beeinflusst die Höhe der maximalen Lebenspunkte (LP).,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,14,90,100,100,100,100,90,90,100,90,100,100,100,100,2,False
4,Intelligenz,Intelligenz: Beeinflusst die Stärke der Offensivmagie von Angreifern.,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,15,90,70,70,70,70,100,70,70,100,100,70,70,70,3,False
5,Willenskraft,Willenskraft: Beeinflusst die Stärke der Heilmagie und die Stärke der Offensivmagie von Heilern.,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,16,90,70,70,70,70,70,100,70,100,100,70,70,70,4,False
6,Frömmigkeit,"Frömmigkeit: Beeinflusst die Ge­schwindig­keit, mit der Magiepunkte (MP) automatisch wieder­her­gestellt werden. Nur anwendbar auf Heiler in Kampfsituationen.",100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,25,90,70,70,70,70,70,100,70,70,100,70,70,70,5,False
7,LP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,100,100,100,100,100,100,100,100,100,100,100,100,100,6,False
8,MP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,100,100,100,100,100,100,100,100,100,100,100,100,100,7,False
9,TP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,100,100,100,100,100,100,100,100,100,100,100,100,8,False
10,SP,,20,20,20,20,20,0,20,40,250,250,250,130,20,20,40,80,0,40,100,60,60,40,40,35,100,100,100,100,100,100,100,100,100,100,100,100,100,9,False
11,HP,,20,20,30,20,30,30,30,30,250,250,250,130,20,20,50,110,0,60,140,80,80,50,50,32,100,100,100,100,100,100,100,100,100,100,100,100,100,10,False
12,Phys. Basiswert,,1000,0,0,0,0,0,0,0,0,0,0,0,1000,500,0,0,0,0,0,0,0,0,0,1,100,100,100,100,100,100,100,100,100,50,100,100,100,-1,False
13,Mag. Basiswert,,1000,0,0,0,0,0,0,0,0,0,0,0,1000,500,0,0,0,0,0,0,0,0,0,2,50,50,50,50,50,100,100,50,100,30,50,50,50,-1,False
