#,Name,QuestUnlock,NotebookDivisionCategory,CraftOpeningLevel,GatheringOpeningLevel,Unknown0,SecretRecipeBookGroups[0],SecretRecipeBookGroups[1],AllowedCraftTypes[0],AllowedCraftTypes[1],AllowedCraftTypes[2],AllowedCraftTypes[3],AllowedCraftTypes[4],AllowedCraftTypes[5],AllowedCraftTypes[6],AllowedCraftTypes[7],RequiresSecretRecipeBookGroupUnlock
0,1-5,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,False
1,6-10,0,0,3,5,0,0,0,True,True,True,True,True,True,True,True,False
2,11-15,0,0,8,10,0,0,0,True,True,True,True,True,True,True,True,False
3,16-20,0,0,13,15,0,0,0,True,True,True,True,True,True,True,True,False
4,21-25,0,0,18,20,0,0,0,True,True,True,True,True,True,True,True,False
5,26-30,0,0,23,25,0,0,0,True,True,True,True,True,True,True,True,False
6,31-35,0,0,28,30,0,0,0,True,True,True,True,True,True,True,True,False
7,36-40,0,0,33,35,0,0,0,True,True,True,True,True,True,True,True,False
8,41-45,0,0,38,40,0,0,0,True,True,True,True,True,True,True,True,False
9,46-50,0,0,43,45,0,0,0,True,True,True,True,True,True,True,True,False
10,51-55,0,0,48,50,0,0,0,True,True,True,True,True,True,True,True,False
11,56-60,0,0,53,55,0,0,0,True,True,True,True,True,True,True,True,False
12,61-65,0,0,58,60,0,0,0,True,True,True,True,True,True,True,True,False
13,66-70,0,0,63,65,0,0,0,True,True,True,True,True,True,True,True,False
14,71-75,0,0,68,70,0,0,0,True,True,True,True,True,True,True,True,False
15,76-80,0,0,73,75,0,0,0,True,True,True,True,True,True,True,True,False
16,81-85,0,0,78,80,0,0,0,True,True,True,True,True,True,True,True,False
17,86-90,0,0,83,85,0,0,0,True,True,True,True,True,True,True,True,False
18,91-95,0,0,88,90,0,0,0,True,True,True,True,True,True,True,True,False
19,96-100,0,0,93,95,0,0,0,True,True,True,True,True,True,True,True,False
20,101-105,0,0,255,255,0,0,0,True,True,True,True,True,True,True,True,False
21,106-110,0,0,255,255,0,0,0,True,True,True,True,True,True,True,True,False
22,111-115,0,0,255,255,0,0,0,True,True,True,True,True,True,True,True,False
23,116-120,0,0,255,255,0,0,0,True,True,True,True,True,True,True,True,False
24,121-125,0,0,255,255,0,0,0,True,True,True,True,True,True,True,True,False
25,126-130,0,0,255,255,0,0,0,True,True,True,True,True,True,True,True,False
26,131-135,0,0,255,255,0,0,0,True,True,True,True,True,True,True,True,False
27,136-140,0,0,255,255,0,0,0,True,True,True,True,True,True,True,True,False
28,141-145,0,0,255,255,0,0,0,True,True,True,True,True,True,True,True,False
29,146-150,0,0,255,255,0,0,0,True,True,True,True,True,True,True,True,False
30,151-155,0,0,255,255,0,0,0,True,True,True,True,True,True,True,True,False
31,156-160,0,0,255,255,0,0,0,True,True,True,True,True,True,True,True,False
32,161-175,0,0,255,255,0,0,0,True,True,True,True,True,True,True,True,False
33,166-170,0,0,255,255,0,0,0,True,True,True,True,True,True,True,True,False
34,171-175,0,0,255,255,0,0,0,True,True,True,True,True,True,True,True,False
35,176-180,0,0,255,255,0,0,0,True,True,True,True,True,True,True,True,False
36,181-185,0,0,255,255,0,0,0,True,True,True,True,True,True,True,True,False
37,186-190,0,0,255,255,0,0,0,True,True,True,True,True,True,True,True,False
38,191-195,0,0,255,255,0,0,0,True,True,True,True,True,True,True,True,False
39,196-200,0,0,255,255,0,0,0,True,True,True,True,True,True,True,True,False
40,[翻訳不要] レベル区分終端,0,0,255,255,0,0,0,True,True,True,True,True,True,True,True,False
1000,Meister (1),0,1,50,255,98,1,0,True,True,True,True,True,True,True,True,True
1001,Meister (2),0,1,50,255,97,4,0,True,True,True,True,True,True,True,True,True
1002,Meister (3),0,1,50,255,96,5,0,True,True,True,True,True,True,True,True,True
1003,Meister (4),0,1,60,255,95,6,0,True,True,True,True,True,True,True,True,True
1004,Meister (5),0,1,70,255,94,7,0,True,True,True,True,True,True,True,True,True
1005,Meister (6),0,1,70,255,93,8,0,True,True,True,True,True,True,True,True,True
1006,Meister (7),0,1,80,255,92,9,0,True,True,True,True,True,True,True,True,True
1007,Meister (8),0,1,80,255,91,10,0,True,True,True,True,True,True,True,True,True
1008,Meister (Andere),0,1,15,255,99,2,3,True,True,True,True,True,True,True,True,True
1009,,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
1010,,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
1011,Farbstoffe,0,3,30,255,1,0,0,True,True,True,True,True,True,True,True,False
1012,,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
1013,Gildenaufträge,0,4,61,255,99,0,0,True,True,True,True,True,True,True,True,False
1014,Manufakturlieferungen,68763,4,70,255,98,0,0,False,True,True,True,False,False,False,False,False
1015,Manufakturlieferungen,68766,4,70,255,97,0,0,True,False,False,False,True,True,False,False,False
1016,Manufakturlieferungen,68769,4,70,255,96,0,0,False,False,False,False,False,False,True,True,False
1017,Aufträge der Ixal,67022,5,1,255,9,0,0,True,True,True,True,True,True,True,True,False
1018,Aufträge der Mogrys,0,5,50,255,8,0,0,True,True,True,True,True,True,True,True,False
1019,Aufträge der Namazuo,0,5,60,255,7,0,0,True,True,True,True,True,True,True,True,False
1020,Zhloe Aliapoh,67087,6,55,255,11,0,0,True,True,True,True,True,True,True,True,False
1021,M'naago,68541,6,55,255,10,0,0,True,True,True,True,True,True,True,True,False
1022,Kurenai,68675,6,55,255,9,0,0,True,True,True,True,True,True,True,True,False
1023,Adkiragh,68713,6,55,255,8,0,0,True,True,True,True,True,True,True,True,False
1024,Kai-Shirr,69265,6,55,255,7,0,0,True,True,True,True,True,True,True,True,False
1025,Wiederaufbau,73,7,20,255,98,0,0,True,True,True,True,True,True,True,True,False
1026,Andere,73,7,20,255,99,0,0,True,True,True,True,True,True,True,True,False
1027,Wiederaufbau (2),73,7,255,255,100,0,0,True,True,True,True,True,True,True,True,False
1028,Himmelsstahl-Werkzeuge,69384,7,80,255,97,0,0,True,True,True,True,True,True,True,True,False
1029,Aufträge der Zwerge,0,5,70,255,6,0,0,True,True,True,True,True,True,True,True,False
1030,Ehll Tou,69425,6,55,255,6,0,0,True,True,True,True,True,True,True,True,False
1031,Wiederaufbau (3),73,7,255,255,100,0,0,True,True,True,True,True,True,True,True,False
1032,50-60,0,8,50,255,10,0,0,True,True,True,True,True,True,True,True,False
1033,61-70,0,8,60,255,9,0,0,True,True,True,True,True,True,True,True,False
1034,71-80,0,8,70,255,8,0,0,True,True,True,True,True,True,True,True,False
1035,Zierrat (1),0,3,50,255,3,0,0,False,False,False,False,False,False,True,False,False
1036,Wiederaufbau (4),73,7,255,255,100,0,0,True,True,True,True,True,True,True,True,False
1037,Charlemend,69615,6,55,255,5,0,0,True,True,True,True,True,True,True,True,False
1038,Meister (9),0,1,90,255,90,11,0,True,True,True,True,True,True,True,True,True
1039,81-90,0,8,80,255,7,0,0,True,True,True,True,True,True,True,True,False
1040,Magieakademie von Sharlayan,69668,4,80,255,95,0,0,False,True,True,True,False,False,False,False,False
1041,Magieakademie von Sharlayan,69675,4,80,255,94,0,0,True,False,False,False,True,True,False,False,False
1042,Magieakademie von Sharlayan,69682,4,80,255,93,0,0,False,False,False,False,False,False,True,True,False
1043,Bauelemente,0,2,12,255,1,0,0,True,True,True,True,True,True,True,False,False
1044,Gartenausstattung,0,2,12,255,2,0,0,True,True,True,True,True,True,True,True,False
1045,Mobiliar,0,2,12,255,3,0,0,True,True,True,True,True,True,True,True,False
1046,Tisch/Ablage,0,2,12,255,4,0,0,True,True,True,True,True,True,True,False,False
1047,Tischdekoration,0,2,12,255,5,0,0,True,True,True,True,True,True,True,True,False
1048,Wanddekoration,0,2,12,255,6,0,0,True,True,True,True,True,True,True,False,False
1049,Andere,0,2,12,255,7,0,0,False,False,False,False,False,False,True,False,False
1050,Ameliance,70059,6,80,255,4,0,0,True,True,True,True,True,True,True,True,False
1051,Meister (10),0,1,90,255,89,12,0,True,True,True,True,True,True,True,True,True
1052,Zierrat (2),0,3,73,255,4,0,0,False,False,False,False,False,False,True,False,False
1053,Anden,70251,6,80,255,3,0,0,True,True,True,True,True,True,True,True,False
1054,Aufträge der Loporrit,0,5,80,255,5,0,0,True,True,True,True,True,True,True,True,False
1055,Mowen-Werkzeuge,70266,7,90,255,96,0,0,True,True,True,True,True,True,True,True,False
1056,Margrat,70351,6,80,255,2,0,0,True,True,True,True,True,True,True,True,False
1057,91-100,0,8,90,255,6,0,0,True,True,True,True,True,True,True,True,False
1058,Markt von Wachumeqimeqi,70504,4,90,255,92,0,0,False,True,True,True,False,False,False,False,False
1059,Markt von Wachumeqimeqi,70511,4,90,255,91,0,0,True,False,False,False,True,True,False,False,False
1060,Markt von Wachumeqimeqi,70518,4,90,255,90,0,0,False,False,False,False,False,False,True,True,False
1061,Meister (11),0,1,100,255,88,13,0,True,True,True,True,True,True,True,True,True
1062,[翻訳不要] 検索対象外カテゴリ,0,0,255,255,0,0,0,True,True,True,True,True,True,True,True,False
1063,Nitowikwe,70775,6,90,255,1,0,0,True,True,True,True,True,True,True,True,False
1064,Meister (12),0,1,100,255,87,14,0,True,True,True,True,True,True,True,True,True
1065,Aufträge der Yok Huy,0,5,90,255,4,0,0,True,True,True,True,True,True,True,True,False
1066,[翻訳不要] SPレベル区分終端,0,0,255,255,0,0,0,True,True,True,True,True,True,True,True,False
1067,,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
2000,Coerthas,0,10,255,50,12,0,0,True,True,True,True,True,True,True,True,False
2001,Dravania,0,10,255,50,11,0,0,True,True,True,True,True,True,True,True,False
2002,Abalathia,0,10,255,50,10,0,0,True,True,True,True,True,True,True,True,False
2003,Gyr Abania,0,10,255,60,9,0,0,True,True,True,True,True,True,True,True,False
2004,Othard,0,10,255,60,8,0,0,True,True,True,True,True,True,True,True,False
2005,Norvrandt,0,10,255,70,7,0,0,True,True,True,True,True,True,True,True,False
2006,Wiederaufbau Ishgards,74,11,255,1,3,0,0,True,True,True,True,True,True,True,True,False
2007,Himmelsstahl-Werkzeuge,69384,11,255,80,2,0,0,True,True,True,True,True,True,True,True,False
2008,50-70,67631,9,255,50,4,0,0,True,True,True,True,True,True,True,True,False
2009,71-80,67631,9,255,70,3,0,0,True,True,True,True,True,True,True,True,False
2010,Nördliche Meere / Ilsabard,0,10,255,80,6,0,0,True,True,True,True,True,True,True,True,False
2011,Kosmos,69932,10,255,80,5,0,0,True,True,True,True,True,True,True,True,False
2012,Unzersplitterte Welt,69956,10,255,80,4,0,0,True,True,True,True,True,True,True,True,False
