#,Name,Quest,Icon,Value,ClassJob,Unknown_70,Level,ClassJobCategory,Unknown0,Unknown1
0,,0,0,0,0,0,0,0,0,False
1,KONS-Schub,0,0,0,0,0,0,0,0,False
2,KONS-Schub II,0,0,0,0,0,0,0,0,False
3,KONS-Schub III,0,0,0,0,0,0,0,0,False
4,KONS-Schub,0,0,0,0,0,0,0,0,False
5,KONS-Schub II,0,0,0,0,0,0,0,0,False
6,KONS-Schub III,0,0,0,0,0,0,0,0,False
7,STR-Schub,0,0,0,0,0,0,0,0,False
8,STR-Schub II,0,0,0,0,0,0,0,0,False
9,STR-Schub III,0,0,0,0,0,0,0,0,False
10,Verbesserter Geölter Blitz,0,0,0,0,0,0,0,0,False
11,Verbesserter Geölter Blitz II,0,0,0,0,0,0,0,0,False
12,STR-Schub,0,0,0,0,0,0,0,0,False
13,STR-Schub II,0,0,0,0,0,0,0,0,False
14,STR-Schub III,0,0,0,0,0,0,0,0,False
15,GESK-Schub,0,0,0,0,0,0,0,0,False
16,GESK-Schub II,0,0,0,0,0,0,0,0,False
17,Verbesserter Gewaltiger Schuss,0,5321,0,5,50,2,50,0,False
18,Verbesserte Kommandos,0,5302,10,5,50,20,50,0,False
19,GESK-Schub III,0,0,0,0,0,0,0,0,False
20,Verbesserte Kommandos II,0,5303,20,5,50,40,50,0,False
21,WLK-Schub,0,0,0,0,0,0,0,0,False
22,WLK-Schub II,0,0,0,0,0,0,0,0,False
23,Verbesserte Kommandos,0,5185,10,6,53,20,53,0,False
24,WLK-Schub III,0,0,0,0,0,0,0,0,False
25,Verbessertes Vita,0,5330,0,6,53,32,53,0,False
26,Verbesserte Kommandos II,0,5186,30,6,53,40,53,0,False
27,INT-Schub,0,0,0,0,0,0,0,0,False
28,INT-Schub II,0,0,0,0,0,0,0,0,False
29,Verbesserte Kommandos,0,5185,10,7,55,20,55,0,False
30,INT-Schub III,0,0,0,0,0,0,0,0,False
31,Verbesserte Kommandos II,0,5186,30,7,55,40,55,0,False
32,Verbessertes Feuer,0,5352,0,7,55,42,55,0,False
33,Verbesserte Blitzzauber,0,5355,0,0,0,0,0,0,False
34,Auto-Geodäsie,0,5451,0,17,18,2,18,0,False
35,Verbesserte Coeurl-Pfoten,0,0,30,0,0,0,0,0,False
36,Verbesserte Coeurl-Pfoten II,0,0,40,0,0,0,0,0,False
37,Verbesserte Coeurl-Pfoten III,0,0,50,0,0,0,0,0,False
38,Auto-Prospektion,0,5426,0,16,17,2,17,0,False
39,Verbesserte Coeurl-Pfoten,0,0,30,0,0,0,0,0,False
40,Verbesserte Coeurl-Pfoten II,0,0,40,0,0,0,0,0,False
41,Verbesserte Coeurl-Pfoten III,0,0,50,0,0,0,0,0,False
42,Bäumeflüsterer,0,5455,0,17,18,11,18,0,False
43,Bäumeflüsterer II,0,5456,0,17,18,16,18,0,False
44,Bäumeflüsterer III,0,5457,0,17,18,21,18,0,False
45,Bäumeflüsterer IV,0,5458,0,17,18,26,18,0,False
46,Verbesserte Gunst der Zwölf,0,5459,0,17,18,41,18,0,False
47,Verbesserte Gunst der Zwölf II,0,5460,0,17,18,50,18,0,False
48,Steineflüsterer,0,5430,0,16,17,11,17,0,False
49,Steineflüsterer II,0,5431,0,16,17,16,17,0,False
50,Steineflüsterer III,0,5432,0,16,17,21,17,0,False
51,Steineflüsterer IV,0,5433,0,16,17,26,17,0,False
52,Verbesserte Gunst der Zwölf,0,5434,0,16,17,41,17,0,False
53,Verbesserte Gunst der Zwölf II,0,5435,0,16,17,50,17,0,False
54,Dünenfischer,0,5483,0,18,19,35,19,0,False
55,Wolkenfischer,0,5484,0,18,19,45,19,0,False
56,Verbesserte Coeurl-Pfoten,0,0,30,0,0,0,0,0,False
57,Verbesserte Coeurl-Pfoten II,0,0,40,0,0,0,0,0,False
58,Verbesserte Coeurl-Pfoten III,0,0,50,0,0,0,0,0,False
59,Möwenauge,0,5479,15,18,19,15,19,0,False
60,Möwenauge II,0,0,35,0,0,0,0,0,False
61,Möwenauge III,0,0,50,0,0,0,0,0,False
62,Verbessertes Köderfisch-Angeln,0,5482,0,18,19,40,19,0,False
63,Verbesserter Ätherfluss,0,0,0,0,0,0,0,0,False
64,INT-Schub,0,0,0,0,0,0,0,0,False
65,INT-Schub II,0,0,0,0,0,0,0,0,False
66,Verbesserte Kommandos,0,5185,10,26,68,20,68,0,False
67,Verbesserter Ätherfluss II,0,0,0,0,0,0,0,0,False
68,INT-Schub III,0,0,0,0,0,0,0,0,False
69,Verbesserte Kommandos II,0,5186,30,26,68,40,68,0,False
70,Verbesserter Ätherfluss III,0,0,0,0,0,0,0,0,False
