#,Message,Unknown1,Unknown2
0,,4,True
1,Du findest die Überreste einer zerstörten Magitek-Kampfmaschine. Hier muss ein heftiger Kampf gewütet haben.,7,False
2,Du findest schartige Schwerter und geborstene Schilde. Garleisch sehen sie nicht aus. Wer mag mit diesem Kriegsgerät gefochten haben?,7,False
3,"Die Seiten sind vollgeschrieben mit Zahlenreihen und wissenschaftlichen Formeln - offenbar handelt es sich um Cids Messdaten über Dalamud.

Laut Cids Berechnungen war es möglich, dass Dalamud die Energie der Sonne bündeln und die Wellenlängen ihrer Strahlung ändern würde. Ohne weitere Forschung war es unverantwortlich, mit dem Experiment fortzufahren. Nicht auszudenken, welche katastrophalen Folgen der Welt sonst drohten.",4,True
4,Die Überreste eines Magitek-Schnitters. Aufgrund der schweren Schäden ist er nicht mehr zu gebrauchen.,7,False
5,Ein Magitek-Schnitter mit schwer beschädigten Beinen. Er scheint vollkommen verbraucht und nicht mehr einsatzfähig zu sein.,7,False
6,"Dieser be­mit­leidens­werten Seele ist nicht mehr zu helfen. Eile weiter in Richtung Camp Splitterglas, um Zenos aufzuhalten!",7,False
7,Diese arme Seele fiel einem Besessenen zum Opfer. Doch in einer Jackentasche findest du einen Frontentrank!,7,False
8,"Diese bedauernswerte Seele hat sich verbissen gewehrt, doch es hat nicht gereicht. In einer Hosentasche findest du einen Frontentrank!",7,False
9,Ein Magitek-Schnitter mit schwer beschädigten Beinen. Die Maschine ist noch warm. Mit einem Kennschlüssel und Brennstoff könnte er vielleicht gestartet und als stationäres Geschütz verwendet werden.,7,False
10,"Ein Magitek-Schnitter mit schwer beschädigten Beinen. Du hast den Kennschlüssel umgedreht, aber ohne Brennstoff lässt sich die Maschine nicht starten. Suche weiter, bis du einen Schnitter mit Erdseim im Tank findest.",7,False
11,"Die Überreste eines Magitek-Schnitters. Die Steuerkonsole zeigt an, dass sich im Tank noch etwas Brennstoff befindet. Der Erdseim-Tank lässt sich sicher entfernen und transportieren.",7,False
12,Ein Magitek-Schnitter mit schwer beschädigten Beinen. Er scheint vollkommen verbraucht und nicht mehr einsatzfähig zu sein.,7,False
13,Die Überreste eines Magitek-Schnitters. Aufgrund der schweren Schäden ist er nicht mehr zu gebrauchen.,7,False
14,"Die Überreste eines Magitek-Schnitters. Die Steuerkonsole zeigt an, dass sich im Tank noch etwas Brennstoff befindet. Doch die Schäden sind so stark, dass sich nichts mehr retten lässt.",7,False
15,Dieser be­mit­leidens­werten Seele ist nicht mehr zu helfen. ,7,False
16,Die Überreste eines Magitek-Schnitters. Aufgrund der schweren Schäden ist er nicht mehr zu gebrauchen.,7,False
17,"Ein junger Soldat, dem nicht mehr zu helfen ist. In seinen kalten Händen hält er noch einen Frontentrank!",7,False
18,"Der besessene Legionär hatte einen Frontentrank!

(In diesem Auftragsabschnitt kannst du deine normalen Fä­hig­kei­ten nicht einsetzen. Gehe deshalb Kämpfen möglichst aus dem Weg und rücke schnell auf Camp Splitterglas vor. Wenn du entdeckt wirst, werden sich besessene Legionäre und Magitek-Maschinen an deine Fersen heften. Letztere sind besonders gefährlich! Wenn du Schaden nimmst, kann dir nur ein Frontentrank das Leben retten. Diese Tränke findest du bei gefallenen Garlearn oder in zerstörten Magitek-Maschinen.)",7,False
19,Die Überreste eines Magitek-Schnitters. Aufgrund der schweren Schäden ist er nicht mehr zu gebrauchen. Aber auf dem Pilotensitz findest du ein garleisches Heilmittel!,7,False
20,Die Überreste eines Magitek-Schnitters. Aufgrund der schweren Schäden ist er nicht mehr zu gebrauchen. Aber unter dem Sitz findest du einen Frontentrank!,7,False
21,Die Überreste eines Magitek-Schnitters. Aufgrund der schweren Schäden ist er nicht mehr zu gebrauchen. Aber auf der hinteren Ablage findest du einen Frontentrank!,7,False
22,Die Überreste eines Magitek-Schnitters. Aufgrund der schweren Schäden ist er nicht mehr zu gebrauchen. Aber im Handschuhfach findest du einen Frontentrank!,7,False
23,Dieser Seele ist traurigerweise nicht mehr zu helfen.,7,False
24,Diese Seele wurde gemeinerweise von hinten überfallen. Ihr ist nicht mehr zu helfen. Doch an seinem Gürtel findest du einen Frontentrank!,7,False
25,Dieser Seele ist traurigerweise nicht mehr zu helfen.,7,False
26,Ein verdrecktes Beutelchen. Darin findet du einen Frontentrank!,7,False
27,Ein verdrecktes Beutelchen. Darin findet du ein garleisches Heilmittel!,7,False
28,"Ein Magitek-Schnitter mit schwer beschädigten Beinen. Er ist betankt, aber ohne Kennschlüssel lässt er sich nicht starten. Vielleicht hat sich der Pilot irgendwo hier in der Nähe versteckt.",7,False
29,"Aus dem sanft wogenden Wasser steigen immer wieder kleine Bläschen hervor. Ihre Regelmäßigkeit deutet darauf hin, dass sich in all dem Grün ein Korpokkur verbirgt.",7,False
30,"Das Blatt ist an einer Stelle eingedrückt. Irgendjemand scheint sich hier hingekniet zu haben - um Wasser zu schöpfen, vielleicht?",7,False
