#,Unknown0,Unknown1,Unknown2
0,無効,無効,False
100,Abenteuer,"Reise ohne Sorge, wohin auch immer deine Füße dich tragen mögen.",True
101,,Bisher unbesuchte Orte seien dein nächstes Ziel.,True
102,,"Öffne deinen Reiseführer, eine Rückkehr an Orte reich an Erinnerungen sei dein Ziel.",True
103,,Gesegnet seien deine Reisen von einem wolkenfreien Himmel.,True
104,,"Glück wartet in jenen Städten, in welchen reges Treiben herrscht.",True
105,,Dein Glück ist mit einer Begegnung in einem entfernten Teehaus verbunden.,True
106,,"Sei der Idee nicht abgeneigt, mit denjenigen zu interagieren, die von großer Gestalt sind.",True
200,Beziehungen,Erfülle die dir auferlegten Erwartungen. Erlange Vertrauen und Ehre gebührend eines Helden.,True
201,,Richte deinen Blick auf den Ewigen Bund und das Glück soll dir hold sein.,True
202,,"Zeige jenen Dankbarkeit, die dich auf deinen Reisen unterstützen.",True
203,,Ein sternengeleiteter Partner befindet sich in nächster Nähe.,True
204,,"Glück sei jenen hold, die im Einklang mit ihren Kameraden voranschreiten.",True
205,,Deine Gefährten stehen unerschütterlich an deiner Seite. Geh ohne Furcht in das große Unbekannte.,True
206,,"Brich Brot mit vielen verschiedenen Völkern, dann wird deine Tafel gedeckt sein mit goldenem Glück.",True
300,Vermögen,"Beute von unschätzbarem Wert sei denen beschert, die sich ihrer Gier entledigen.",True
301,,Die Sterne stehen günstig für schnellen Reichtum. Der goldene Palast des Vergnügens sei dein Ziel.,True
302,,"Entfalte eine Schatzkarte und begib dich auf die Suche, Glück wartet am Ende der Reise.",True
303,,"Reise nach Herzenslust, doch öffne jegliche Truhen, die du finden mögest.",True
304,,"Gibst du dich dem Handel mit ganzem Herzen hin, so wird dir der Profit sicher sein.",True
305,,Aus dauerhaften Freund­schaften erwachsen große Belohnungen.,True
306,,Ein seltener Preis wird dein sein. Bedanke dich bei deinen Gehilfen.,True
400,Konflikte,Du wirst im Kampf mit Mächtigen wachsen. Stelle dich Heraus­forde­rungen ohne Angst.,True
401,,Nur stetes Üben kann die wahre Macht deiner Fä­hig­kei­ten offenbaren.,True
402,,"Richte deinen Blick auf deine Mitstreiter, sie werden zu deinem Wachstum beitragen.",True
403,,Erlerne Künste und Fä­hig­kei­ten einer neuen Zunft. Große Fortschritte stehen dir bevor.,True
404,,Nur wiederholtes Ausführen von Fä­hig­kei­ten kann deren wahre Macht offenbaren.,True
405,,,False
406,,,False
500,Schicksal,"Fülle dein Herz mit Kampfgeist gleich Halone, so sei der Sieg in jeglichem Gefecht gewiss.",True
501,,"Fülle dein Herz mit Zuneigung gleich Menphina, so sei auch dir die Zuneigung anderer gewiss.",True
502,,"Entflamme dein Herz in Inbrunst gleich Azeyma, so sei der kürzeste Weg zu deinem Ziel hell erleuchtet.",True
503,,"Fülle deinen Geist mit Ent­schlos­sen­heit gleich Llymlaen, so mögen die Winde deinen Fortschritt begünstigen.",True
504,,"Fülle deinen Geist mit Neugier gleich Oschon, so sei dir an jedem deiner Reiseziele Freude gewiss.",True
1100,Abenteuer,Weggefährten sind nicht stets vonnöten. Genieße ab und an die Ruhe der einsamen Reise.,True
1101,,"Begib dich erneut auf die Suche, neue Entdeckungen warten auf dich.",True
1102,,"Der Wechsel der Jahreszeiten ist Grund zur Freude, Feierlichkeiten aller Art seien dein Ziel.",True
1103,,"Leihe ein Ohr den Landsleuten, unbekannte Geschichten mögen sich so offenbaren.",True
1104,,"Reise in unerforschte Lande, unvorstellbare Entdeckungen warten dort.",True
1105,,"Bleibe deinem Namen treu, und du wirst neue Be­kannt­schaften machen.",True
1106,,An einem Ort der Lichtfülle erwarten dich spannende Abenteuer.,True
1200,Beziehungen,"Sei vorbereitet, eine Begegnung jenseits jeglicher Vorstellung steht bevor.",True
1201,,Auch einmalige Begegnungen können die Saat für eine blühende Beziehung bilden.,True
1202,,"Übernimm die Führung und sammle deine Kameraden, ein perfekter Partner lässt sich so finden.",True
1203,,"Die Unterstützung deiner Gefährten sei dir gewiss, erwidere auch du sie im selben Maß.",True
1204,,"Aller Anfang ist schwer, doch sei gewiss: Eine gute Beziehung wartet auf dich.",True
1205,,Ein neues Gefühl erwacht. Lausche dem Flüstern deines Herzens.,True
1206,,Zusammenarbeit wird den Weg zu den Sternen ebnen.,True
1300,Vermögen,"Profite gigantischen Ausmaßes warten im goldenen Palast des Vergnügens auf jene, die sich in Geduld üben können.",True
1301,,"Große Fänge stehen in den Sternen, das nächstgelegene Schiff sei dein Ziel.",True
1302,,Geschick im Hausbau sei dir vergönnt. Investiere und werde sesshaft.,True
