#,LogMessage,KeyItem,ItemPouch,Yield,Material[0],Material[1],Material[2],Material[3],Material[4],Amount[0],Amount[1],Amount[2],Amount[3],Amount[4],Order
0,9904,1,0,1,3,4,21,0,0,2,2,3,0,0,20
1,9905,2,0,1,4,7,9,0,0,3,2,4,0,0,21
2,9906,3,0,1,7,9,11,0,0,3,3,4,0,0,22
3,9907,4,0,1,7,16,11,0,0,3,3,4,0,0,23
4,9908,5,0,1,7,11,12,13,0,3,3,3,3,0,24
5,9909,6,0,1,7,11,12,17,0,3,4,4,3,0,25
6,9910,7,0,1,8,11,12,13,0,6,6,6,6,0,40
7,9911,8,0,1,7,11,12,21,0,6,6,6,6,0,41
8,9912,0,61,3,2,0,0,0,0,3,0,0,0,0,1
9,9913,0,62,3,1,0,0,0,0,2,0,0,0,0,2
10,9914,0,63,3,1,1,0,0,0,2,2,0,0,0,3
11,9915,0,64,1,3,9,0,0,0,1,2,0,0,0,10
12,9916,0,65,1,13,11,0,0,0,3,1,0,0,0,11
13,9917,0,66,1,5,10,14,0,0,2,1,2,0,0,12
14,9947,9,0,1,8,9,11,15,0,10,10,10,10,0,26
15,9947,10,0,1,16,12,8,11,15,10,10,10,10,10,50
16,9947,11,0,1,17,13,16,12,7,10,10,10,10,10,51
17,9947,12,0,1,18,19,20,13,16,10,10,10,10,10,52
18,10205,13,0,1,7,18,19,0,0,3,2,3,0,0,26
19,10212,15,0,1,8,18,19,22,23,10,10,10,10,10,42
20,10211,14,0,1,7,18,23,24,0,3,3,3,4,0,27
21,9947,16,0,1,7,24,26,25,27,10,10,10,10,10,53
22,10212,19,0,1,8,22,23,26,25,10,10,10,10,10,43
23,10231,17,0,1,18,22,25,37,0,3,3,4,3,0,28
24,10232,18,0,1,24,34,36,37,0,3,3,4,3,0,29
25,10233,0,105,1,18,34,29,30,32,25,25,25,25,25,13
26,10234,0,106,1,13,35,28,30,32,25,25,25,25,25,14
27,10235,0,107,1,14,37,28,31,33,25,25,25,25,25,15
