#,NewPlayerBonusGil,NewPlayerBonusExp,FinalBossExp,Unknown0,BossExp[0],BossExp[1],BossExp[2],BossExp[3],BossExp[4],InstanceClearExp,InstanceClearGil,InstanceContentRewardItem,NewPlayerBonusA,NewPlayerBonusB,FinalBossCurrencyA,FinalBossCurrencyB,FinalBossCurrencyC,BossCurrencyA[0],BossCurrencyA[1],BossCurrencyA[2],BossCurrencyA[3],BossCurrencyA[4],BossCurrencyB[0],BossCurrencyB[1],BossCurrencyB[2],BossCurrencyB[3],BossCurrencyB[4],BossCurrencyC[0],BossCurrencyC[1],BossCurrencyC[2],BossCurrencyC[3],BossCurrencyC[4],Unknown1,Unknown8,LimitedTimeBonus,Cutscene,LGBEventRange,InstanceContentTextDataBossStart,InstanceContentTextDataBossEnd,BNpcBaseBoss,InstanceContentTextDataObjectiveStart,InstanceContentTextDataObjectiveEnd,Unknown2,ReqInstance,InstanceContentBuff,TimeLimitmin,BGM,WinBGM,ContentFinderCondition,SortKey,ContentRoute,ContentDirectorManagedSG,ContentTodo,Unknown6,LookupIndex,ContentEventItem,ContentDirectorBattleTalk,PartyCondition,InstanceContentType,WeekRestriction,Colosseum,Unknown9,QTE1,QTE2,Unknown12,ContentAttributeRect,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,AllowPhoenixDown
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,False,0,0,0,0,0,0,0,0,0,0,60,0,18,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
1,3400,3600,18230,32400,8100,14180,0,0,0,40500,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,False,22,9083612,0,0,444,33300,33305,0,0,0,90,0,18,1,5,0,83,46,14,0,0,0,-1,2,0,0,0,0,0,0,0,5,False,False,True,False,False,True
2,2600,2200,13480,19600,3680,3680,3680,0,0,24500,400,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,False,17,1958540,1003,1004,73,1000,1004,0,0,0,90,0,18,2,2,0,0,0,15,0,0,0,-1,2,0,0,0,0,0,0,0,5,False,False,True,False,False,True
3,2700,2700,13640,24200,6060,10610,0,0,0,30300,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,False,177,2790145,2704,2705,101,2700,2705,0,0,0,90,0,18,3,3,0,0,0,16,0,0,0,-1,2,0,0,0,0,0,0,0,5,False,False,True,False,False,True
4,2500,2100,12925,18800,3525,3525,3525,0,0,23500,400,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,False,174,3283219,2504,2505,1206,2500,2505,0,0,0,90,0,18,4,1,0,0,0,17,0,0,0,-1,2,0,0,0,0,0,0,0,5,False,False,True,False,False,True
5,5700,10300,51620,91800,22940,40150,0,0,0,114700,2400,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,False,316,3619405,0,0,1532,2900,2903,0,0,0,90,0,18,5,12,0,0,0,18,0,0,0,-1,2,0,0,0,0,0,0,0,5,False,False,True,False,False,True
6,3800,4300,21960,39000,9760,17080,0,0,0,48800,700,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,False,18,3633039,0,0,422,1100,1103,0,0,0,90,0,18,6,6,0,0,0,19,0,0,0,-1,2,0,0,0,0,0,0,0,5,False,False,True,False,False,True
7,3000,3100,15620,27800,6940,12150,0,0,0,34700,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,False,180,4097951,0,0,1197,2405,2407,0,0,0,90,0,18,7,4,0,184,0,20,0,0,0,-1,2,0,0,0,0,0,0,0,5,False,False,True,False,False,True
8,4200,5300,26960,47900,11980,20970,0,0,0,59900,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,False,183,3998421,0,0,1279,2400,2403,0,0,0,90,0,18,8,7,0,81,0,21,0,0,0,-1,2,0,0,0,0,0,0,0,5,False,False,True,False,False,True
9,4500,6200,31320,55700,13920,24360,0,0,0,69600,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,False,304,4064743,0,0,1570,3500,3509,0,0,0,90,0,18,9,8,0,204,0,22,0,0,0,-1,2,0,0,0,0,0,0,0,5,False,False,True,False,False,True
