#,Description,Item,GatheringItemLevel,Unknown2,TerritoryType,Unknown0,FishingRecordType,Unknown1,IsVisible
0,,0,0,0,0,0,0,False,False
20000,"Wer es wagt, in ihre wirbelnden Windungen zu starren, riskiert, dem Wahnsinn zu verfallen. Zum Glück haben nur wenige verlorene Seelen dazu die Gelegenheit, da ein intaktes Exemplar der zerbrechlichen Schale äußerst schwer zu finden ist.",20144,205,4000,0,0,10,False,True
20001,"Der Name dieses Fisches ist nur zum Teil seinem Farbton zuzuschreiben, da dieser sich mit dem Wechsel des Geschlechts ändert. Einige schließen daraus, dass das Düstere in seinem Namen ein Hinweis auf sein tödliches Gift sein könnte.",20145,205,4000,0,0,11,False,True
20002,Der Glasmanta ist als gemächlicher Weggefährte bekannt. Der artverwandte Streifenrochen wurde schon vor langer Zeit von den Kojin gezähmt.,20146,205,4000,1,0,12,False,True
20003,Ursprünglich ein Mitbringsel von einem Abgesandten aus Radz-at-Han als Tribut an das Shogunat von Hingashi. Der Diplomat konnte sich jedoch nicht so gut an die neue Umgebung gewöhnen wie diese Fische.,20147,205,4000,2,0,10,False,True
20004,"Diese Muränenart geht eine symbiotische Beziehung mit Langusten ein. Sie bietet dem Krustentier Schutz, während die Languste die Oktopusse anlockt, von denen die Muräne sich ernährt.",20148,205,4000,4,0,11,False,True
20005,"Eine bekannte Kindergeschichte in Doma handelt von einem selbstzufriedenen Hopserfisch, der sich dem Grübeln über die unerträgliche Leichtigkeit des Seins hingibt. Ein Sinnbild für den existenziellen Gedanken, dass jeder nur ein Leben zum Fischen hat.",20149,205,4000,6,0,13,False,True
20006,"Der Körper dieses Hechts ist von zähen Schuppen überzogen, die ein unregelmäßiges Muster von dunklen Flecken aufweisen. Ein Raubfisch, der bevorzugt alleine auf die Jagd geht.",20150,205,4000,6,0,15,False,True
20007,"„Je steiniger der Weg, umso wertvoller das Ziel.“ Dieser notorisch schwierig zu fangende Fisch ist für Angler ein Ärgernis, während Gourmets ihn lieben.",20151,205,4000,7,0,14,False,True
20008,"Nicht so schmackhaft wie der Doma-Aal, aber dafür deutlich größer. Wer sich lieber den Bauch vollschlägt als eine kleine Gaumenfreude zu genießen, liegt mit dieser Art genau richtig.",20152,205,4000,7,0,15,False,True
20009,"Dieser Einsiedlerkrebs bewohnt im Laufe seines griesgrämigen Lebens zahlreiche gewundene Gehäuse, wobei er sich zunehmend vergrößert und gerne unliebsame Nachbarn von seinem Grundstück vertreibt.",20153,205,4000,8,0,13,False,True
20010,"Die Scheren dieser riesigen Krabbe sind so lang, dass sie zwei ausgewachsene Hyuran, die Schulter an Schulter stehen, umklammern könnten.",20154,210,4000,0,0,12,False,True
20011,"Dieser Fisch ist einst beinahe ausgestorben, da er laut einer Legende aus Thavnair angeblich der Schlüssel zu ewiger Jugend sein sollte. Die Art wurde im letztem Moment durch eine veränderte Einstellung zu einem Altern in Würde gerettet.",20155,210,4000,1,0,11,False,True
20012,"Gelehrte rätseln noch immer über den Sinn und Zweck seiner doppelten Rückenflosse, da sich der dunkle Fisch in der Tiefsee kaum beobachten lässt.",20156,210,4000,2,0,12,False,True
20013,"Die schwarz-weißen Streifen dieser Haie verschwinden im Laufe der Jahre, weshalb man Jungtiere und ausgewachsene Exemplare lange Zeit für zwei verschiedene Arten hielt.",20157,210,4000,3,0,12,False,True
20014,"Es ist wenig überraschend, dass diese mürrische, knochige Erscheinung, die angeblich böse Geister fern­halten soll, ein beliebtes Schmuckstück in Piratenkreisen ist.",20158,210,4000,4,0,10,False,True
20015,"Die einzige Möglichkeit dieser abstoßenden Art träge daherschwimmender Fische, anderen Meeres­be­wohnern nahezukommen, besteht darin, Beute von ihrer Angel baumeln zu lassen.",20159,210,4000,6,0,14,False,True
20016,"Dieses allgegenwärtige und unauffällige Schalentier ist zwischen den Felsen und Algen an den Flussbetten und Seeufern Othards anzutreffen. Ein gefundenes Fressen für Fische, die grad zu faul zum Jagen sind. ",20160,210,4000,7,0,13,False,True
20017,"Es ist schon erstaunlich, dass ein pflanzenfressender Fisch die Länge eines Roegadyn erreicht. Die vegetarische Diät erklärt zumindest seine jugendliche, glatte Erscheinung.",20161,210,4000,8,0,15,False,True
20018,"Ein Meeresbewohner mit einem unverhältnismäßig großen Kopf. Seine natürlich leuchtenden Organe verleiten so manchen Fischer dazu, ihn im Dunkeln für eine ertrunkene Seele zu halten.",20162,215,4000,0,0,10,False,True
20019,"Dieser Fisch ist zwar theroretisch essbar, doch seine fadenartigen Flossenfasern geben keine besonders schmackhafte Mahlzeit her. Zudem riecht sein Fleisch äußerst faulig.",20163,215,4000,0,0,11,False,True
20020,"Der Röhrenaal lebt in Kolonien auf sandigem Meeresboden, wo er sich mit seinem Schwanz eingräbt. Dieser sondert zugleich ein Sekret ab, das die Röhrendwand verfestigt.",20164,215,4000,1,0,10,False,True
20021,"Während die meisten Kulturen sie aufgrund ihrer einer Nichts­gesand­ten ähnelnden Erscheinung meiden, sehen die Hinganer darüber hinweg und erfreuen sich an dieser Delikatesse.",20165,215,4000,2,0,10,False,True
20022,"Dieser Fisch hat einen gewaltigen Appetit und verzehrt alles, von Schalentieren und kleineren Fischen bis zu Schildkröten und kleinen Haien. Kojin disziplinieren unartige Kinder mit der Warnung, dass der Riesenzackenbarsch sie holen kommt.",20166,215,4000,3,0,12,False,True
20023,"Die Aussicht auf sein zartes weißes Fleisch hat schon so manchen Fischer in ein frühes Grab befördert, obwohl weithin bekannt ist, dass die Spitzen an den Flossen dieses Fisches ein gefährliches Gift enthalten.",20167,215,4000,4,0,11,False,True
20024,Dieser Verwandte des domanischen Krebses verfügt über eine leuchtend blutrote Panzerung und unterscheidet sich so deutlich von seinen Artgenossen.,20168,215,4000,7,0,13,False,True
20025,"Einer der beliebtesten Fische in Doma. Diese Gaumenfreude war einst privilegierten Schichten vorbehalten, doch die Massenaufzucht hat sie inzwischen auch der breiten Bevölkerung zugänglich gemacht.",20169,215,4000,7,0,15,False,True
20026,"Die Schalen dieses Weichtiers dienten einst als Währung in Yanxia, woraus sich die hinganische Bezeichnung „Zeni“ ableitet. Heutzutage ist die Muschel jedoch ziemlich wertlos.",20170,215,4000,8,0,13,False,True
20027,"Ein großer fleischfressender Fisch, der in den warmen Strömungen der Rubinsee jagt. Seine unselige Angewohnheit, sich um im Wasser treibende Leichen zu tümmeln, hat ihm seinen unverdient makaberen Namen eingebracht.",20171,220,4000,0,0,12,False,True
20028,"Die rauen Gesichtszüge, die narbenartigen Streifen und sein Hang zu Alleingängen haben diesem Fisch den hinganischen Titel „Ronin“ eingebracht. Er scheint nicht aktiv auf der Suche nach einem Meister zu sein.",20172,220,4000,1,0,12,False,True
20029,Der Verzehr eines Braunbarsches erschließt einem neue Geschmacksregionen. Der Fang dagegen neue Einblicke in die Kunst des Angelns.,20173,220,4000,2,0,12,False,True
20030,"Diese beliebte Delikatesse aus dem Fernen Osten verbringt ihre Abende damit, Riffe nach Nahrung zu durchkämmen. Gemächlich frisst sie sich dabei durch Unmengen von Algen.",20174,220,4000,3,0,10,False,True
20031,"Falls du dich das schon immer gefragt hast: Ja, Freunde und Familie zu korrigieren, die diese Art als „roten Seestern“ bezeichnen, lässt dich in der Tat pedantisch erscheinen.",20175,220,4000,4,0,10,False,True
