#,Name,Description,Icon,Territory
0,,,0,1
1,Dorf des Nebels,"Dieser typisch limsische Stil für kleine Unterkünfte ist speziell darauf ausgelegt, Wind und Wellen jeglicher Art trotzen zu können.",82107,282
2,Dorf des Nebels,"Dieser typisch limsische Stil für mittelgroße Unterkünfte ist speziell darauf ausgelegt, Wind und Wellen jeglicher Art trotzen zu können.",82108,283
3,Dorf des Nebels,"Dieser typisch limsische Stil für große Unterkünfte ist speziell darauf ausgelegt, Wind und Wellen jeglicher Art trotzen zu können.",82109,284
4,Lavendelbeete,Nur das beste Holz aus dem Finsterwald wurde bei der Fertigung dieses gridanischen Stils für kleine Unterkünfte verwendet.,82104,342
5,Lavendelbeete,Nur das beste Holz aus dem Finsterwald wurde bei der Fertigung dieses gridanischen Stils für mittelgroße Unterkünfte verwendet.,82105,343
6,Lavendelbeete,Nur das beste Holz aus dem Finsterwald wurde bei der Fertigung dieses gridanischen Stils für große Unterkünfte verwendet.,82106,344
7,Kelchkuppe,"Es wurden keinerlei Mühen gescheut, um sicherzustellen, dass dieser ul'dhische Stil für kleine Unterkünfte auch bei stark schwankenden Temperaturen stets für eine angenehme Wohnatmosphäre sorgt.",82101,345
8,Kelchkuppe,"Es wurden keinerlei Mühen gescheut, um sicherzustellen, dass dieser ul'dhische Stil für mittelgroße Unterkünfte auch bei stark schwankenden Temperaturen stets für eine angenehme Wohnatmosphäre sorgt.",82102,346
9,Kelchkuppe,"Es wurden keinerlei Mühen gescheut, um sicherzustellen, dass dieser ul'dhische Stil für große Unterkünfte auch bei stark schwankenden Temperaturen stets für eine angenehme Wohnatmosphäre sorgt.",82103,347
10,Shirogane,"Wer die Besonderheiten aller vier Jahreszeiten in vollen Zügen genießen möchte, kommt um diesen fernöstlichen Stil für kleine Unterkünfte nicht umher.",82113,649
11,Shirogane,"Wer die Besonderheiten aller vier Jahreszeiten in vollen Zügen genießen möchte, kommt um diesen fernöstlichen Stil für mittelgroße Unterkünfte nicht umher.",82114,650
12,Shirogane,"Wer die Besonderheiten aller vier Jahreszeiten in vollen Zügen genießen möchte, kommt um diesen fernöstlichen Stil für große Unterkünfte nicht umher.",82115,651
13,Empyreum,"Entworfen, um selbst der bittersten Kälte zu widerstehen, erzeugt dieser coerthische Stil für kleine Unterkünfte zu jeder Zeit ein mollig warmes Raumklima.",82110,980
14,Empyreum,"Entworfen, um selbst der bittersten Kälte zu widerstehen, erzeugt dieser coerthische Stil für mittelgroße Unterkünfte zu jeder Zeit ein mollig warmes Raumklima.",82111,981
15,Empyreum,"Entworfen, um selbst der bittersten Kälte zu widerstehen, erzeugt dieser coerthische Stil für große Unterkünfte zu jeder Zeit ein mollig warmes Raumklima.",82112,982
16,Schlicht,Dieser minimalistische Stil für kleine Unterkünfte wurde mit einem Fokus auf Freiraum entworfen und besitzt somit weniger Säulen und Querbalken.,82116,1249
17,Schlicht,Dieser minimalistische Stil für mittelgroße Unterkünfte wurde mit einem Fokus auf Freiraum entworfen und besitzt somit weniger Säulen und Querbalken.,82117,1250
18,Schlicht,Dieser minimalistische Stil für große Unterkünfte wurde mit einem Fokus auf Freiraum entworfen und besitzt somit weniger Säulen und Querbalken.,82118,1251
