#,Icon,BNpcName,PlaceNameZone[0],PlaceNameZone[1],PlaceNameZone[2],PlaceNameLocation[0],PlaceNameLocation[1],PlaceNameLocation[2],Town
0,0,0,0,0,0,0,0,0,0
1,63036,49,30,54,42,161,68,261,1
2,63028,417,30,0,0,161,0,0,1
3,63064,563,31,0,0,164,0,0,1
4,63074,392,30,0,0,161,0,0,1
5,63056,115,31,0,0,165,0,0,1
6,63079,393,31,0,0,165,0,0,1
7,63012,395,30,0,0,162,0,0,1
8,63088,405,30,0,0,162,0,0,1
9,63005,299,31,0,42,165,0,243,1
10,63020,364,31,0,0,165,0,0,1
11,63084,404,30,0,0,162,0,0,1
12,63063,358,30,0,0,162,0,0,1
13,63008,408,31,0,0,165,0,0,1
14,63045,421,30,0,0,162,0,0,1
15,63045,418,30,0,0,162,0,0,1
16,63057,117,31,0,0,166,0,0,1
17,63065,561,30,0,0,163,0,0,1
18,63011,129,31,54,0,166,70,0,2
19,63089,410,33,0,0,170,0,0,1
20,63062,354,31,0,0,164,0,0,1
21,63079,394,33,0,0,170,0,0,1
22,63089,409,31,0,0,166,0,0,1
23,63060,350,31,0,0,166,0,0,1
24,63045,420,33,0,0,170,0,0,1
25,63020,363,33,0,0,171,0,0,1
26,63081,402,33,0,0,171,0,0,1
27,63082,403,33,0,0,171,0,0,1
28,63033,644,33,0,0,171,0,0,1
29,63070,1181,33,0,0,171,0,0,1
30,63052,1180,34,0,0,174,0,0,1
31,63021,296,34,0,0,174,0,0,1
32,63032,638,34,0,0,174,0,0,1
33,63026,381,34,0,0,174,0,0,1
34,63061,28,34,0,0,174,0,0,1
35,63071,380,34,0,0,174,0,0,1
36,63071,370,34,0,0,174,0,0,1
37,63050,341,32,0,0,167,0,0,1
38,63081,62,350,0,0,175,0,0,1
39,63031,643,34,0,0,177,0,0,1
40,63063,1313,32,0,0,167,0,0,1
41,63091,414,34,0,0,177,0,0,1
42,63091,415,34,0,0,177,0,0,1
43,63091,416,34,0,0,177,0,0,1
44,63091,413,34,0,0,177,0,0,1
45,63060,351,32,0,0,167,0,0,1
46,63065,560,32,0,0,167,0,0,1
47,63070,366,32,0,0,168,0,0,1
48,63027,411,32,0,0,168,0,0,1
49,63012,396,32,0,0,168,0,0,1
50,63059,26,32,0,0,168,0,0,1
51,63062,353,32,0,0,168,0,0,1
52,63064,361,32,0,0,167,0,0,1
53,63034,639,32,0,0,167,0,0,1
54,63011,46,350,0,0,176,0,0,1
55,63061,106,350,0,0,175,0,0,1
56,63061,352,32,0,0,168,0,0,1
57,63062,355,32,0,0,168,0,0,1
58,63069,365,350,0,0,175,0,0,1
59,63071,376,34,0,0,178,0,0,1
60,63071,373,32,0,0,167,0,0,1
61,63071,369,32,0,0,167,0,0,1
62,63010,391,34,0,0,177,0,0,1
63,63008,407,350,0,0,175,0,0,1
64,63027,412,350,0,0,175,0,0,1
65,63005,398,350,0,0,175,0,0,1
66,63086,270,350,0,0,176,0,0,1
67,63114,1852,33,0,0,173,0,0,1
68,63071,377,350,0,0,176,0,0,1
69,63071,375,350,0,0,176,0,0,1
70,63071,371,350,0,0,176,0,0,1
71,63071,562,350,0,0,176,0,0,1
72,63005,1853,33,0,0,173,0,0,1
73,63029,1854,33,0,0,173,0,0,1
74,63095,384,33,0,0,172,0,0,1
75,63095,386,33,0,0,172,0,0,1
76,63095,389,33,0,0,172,0,0,1
77,63064,360,33,0,0,172,0,0,1
78,63092,1836,350,0,0,238,0,0,1
79,63071,1832,350,0,0,238,0,0,1
80,63071,1834,350,0,0,238,0,0,1
81,63071,1835,350,0,0,238,0,0,1
82,63071,1833,350,0,0,238,0,0,1
83,63095,565,33,0,0,172,0,0,1
84,63010,1831,33,0,0,363,0,0,1
85,63095,1828,33,0,0,363,0,0,1
86,63095,1830,33,0,0,363,0,0,1
87,63095,1829,33,0,0,363,0,0,1
88,63119,345,33,0,0,172,0,0,1
89,63119,559,33,0,0,172,0,0,1
90,63118,1821,32,0,0,169,0,0,1
91,63118,1825,32,0,0,169,0,0,1
92,63118,1823,32,0,0,169,0,0,1
93,63118,1822,32,0,0,169,0,0,1
94,63100,1826,32,0,0,169,0,0,1
95,63028,37,0,57,0,0,83,0,2
96,63022,47,0,54,0,0,68,0,2
97,63015,9,0,57,0,0,83,0,2
98,63006,56,0,54,0,0,69,0,2
99,63016,43,0,54,0,0,69,0,2
100,63008,5,0,57,0,0,84,0,2
101,63012,118,0,57,0,0,84,0,2
102,63007,32,0,57,0,0,84,0,2
103,63010,196,0,54,0,0,69,0,2
104,63026,197,0,54,0,0,68,0,2
105,63024,195,0,54,0,0,69,0,2
106,63012,41,0,54,0,0,69,0,2
107,63004,21,0,54,0,0,69,0,2
108,63027,120,0,54,0,0,69,0,2
109,63013,39,0,55,0,0,73,0,2
110,63023,22,0,54,0,0,70,0,2
111,63015,10,0,54,0,0,70,0,2
112,63012,54,0,54,0,0,70,0,2
113,63009,225,0,55,0,0,73,0,2
114,63005,12,0,55,0,0,73,0,2
115,63005,13,33,54,42,170,70,245,2
116,63018,128,0,54,0,0,68,0,2
117,63029,20,0,54,0,0,70,0,2
118,63088,107,0,55,0,0,73,0,2
119,63024,14,0,55,0,0,73,0,2
120,63008,6,0,55,0,0,74,0,2
121,63021,36,0,55,0,0,74,0,2
122,63022,220,0,55,0,0,74,0,2
