#,Name,Description,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
0,,,0,0,0,0,False
1,Zufällig,Bei Beginn der Partie wird zufällig eine Ergänzungsregel ausgewählt.,0,0,0,0,False
2,Alle offen,Beide Spieler spielen komplett mit offenen Karten.,1000,3,0,0,False
3,Drei offen,"Bei Spielbeginn werden drei zufällig ausgewählte Karten aufgedeckt, zwei bleiben dem Gegner verborgen.",1166,2,0,0,False
4,Gleich,"Wird eine Karte gelegt, die auf zwei oder mehr Seiten den gleichen Wert wie die angrenzenden Karten hat, gewinnt die gelegte Karte gegen alle diese Karten.",666,0,0,0,False
5,Verlängerung,Bei einem Unentschieden wird automatisch eine neue Partie gestartet.,1333,0,0,0,True
6,Plus,"Wird eine Karte gelegt, die auf zwei oder mehr Seiten addiert mit der angrenzenden Karte die gleichen Summen aufweist, gewinnt die gelegte Karte gegen alle diese angrenzenden Karten.",666,0,0,0,False
7,Zufallshand,Beide Spieler erhalten eine zufällige Auswahl unter den Karten in ihrem Besitz als Deck und können keine im Voraus erstellten Decks auswählen.,1000,15,0,0,True
8,Ordnung,Die Karten müssen in der Reihenfolge des Decks gespielt werden.,1666,9,15,0,False
9,Chaos,Die Karten müssen in einer zufällig festgelegten Reihenfolge gespielt werden.,1433,8,0,0,False
10,Umkehrung,Es gewinnt immer die Karte mit dem niedrigeren Wert.,1000,0,0,0,False
11,Assfresser,Asse („A“) können von Einsen geschlagen werden.,666,0,0,0,False
12,Bonus,"Jede Fraktionskarte erhält einen Bonus, der sich für jede weitere Karte der gleichen Fraktion auf dem Spielfeld erhöht.",1000,13,0,0,False
13,Malus,"Jede Fraktionskarte erhält einen Malus, der sich für jede weitere Karte der gleichen Fraktion auf dem Spielfeld erhöht.",1000,12,0,0,False
14,Tauschen,Zu Beginn einer Partie wird eine zufällig bestimmte Karte mit dem Gegner getauscht.,1666,0,0,0,False
15,Improvisation,Beide Spieler stellen sich aus einer zufälligen Kartenauswahl ein Deck zusammen.,1000,7,8,0,False
