#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24,Unknown25,Unknown26,Unknown27,Unknown28,Unknown29,Unknown30,Unknown31,Unknown32,Unknown33,Unknown34,Unknown35,Talk[0],Talk[1],Talk[2],Talk[3],Talk[4],Talk[5]
0,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,0
1,0,3,2,0,0,False,0,4,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,Hast du die Ware?,Danke sehr!,Hm ...,0,0,0
2,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,Hallihallo! Hast du die Lieferung fertig? Immer her mit dem Zeug.,Besten Dank!,Dann mal los!,Könnte ich noch mehr davon bekommen?,"Na gut. Aber sag Bescheid, wenn du es dir anders überlegst.",Vielen Dank für alles!
3,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,"Bist du nicht das Handwerker-Genie, dem ich letzthin einen Freibrief übertragen habe? Dann gib mal her, was du fabriziert hast.","Huh, erstaunlich. Auf dich ist ja Verlass. Dann nimm, was du dir verdient hast. Hier, bitte.","Kann man sich auf gar nichts mehr verlassen? Ich habe geduldig auf deine Lieferung gewartet, und was hab ich davon?",0,0,0
4,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,"Ah, da kommt ja meine Lieferung! Ein Glück! Hast du auch alles dabei?","Vielen Dank. Du hast mir einen großen Gefallen getan. Hier, dein Lohn.","Noch nicht? Bitte beeil dich, es ist wirklich dringend.",0,0,0
5,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,"Ah, dein Kommen wurde mir schon angekündigt. Hast du mitgebracht, was ich benötige?",Hervorragende Arbeit. Wirklich hervorragend.,"Sicher haben dich dringliche An­ge­legen­heiten von der Ausführung des Auftrags abgehalten. Wenn du Zeit findest, bitte denk an uns.",Könntest du womöglich noch etwas Zeit für uns erübrigen? Ich würde ja gerne noch etwas in Auftrag geben ...,"Es gibt Abenteuer, die auf dich warten? Dann komm bitte wieder, wenn du mehr Zeit hast, ja?",Ich danke dir von ganzem Herzen. Hoffentlich kreuzen sich unsere Pfade bald wieder.
6,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,Du bist wegen des Auftrags hier? Gut. Dann zeig mir die Ware.,"Lass mal sehen ...
Hmm ... Ja, das wird wohl genügen. Hier hast du deine Bezahlung.","Solange du hier nicht mit der bestellten Ware aufkreuzt, haben wir nichts zu besprechen.","Wenn du nach mehr Arbeit suchst, könntest du noch mehr für mich herstellen. Interesse?","Also gut. Du weißt ja, wo du mich finden kannst.",Ich habe zu danken. Du warst mir tatsächlich eine große Hilfe.
7,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,"Du hast also einen Freibrief angenommen, den wir ausgeschrieben haben, ja? Worauf wartest du dann noch? Bring mir die Waren, die wir brauchen.","Na, geht doch! Genau, was wir wollten, und nicht mal schlechte Qualität. Dann danke ich dir im Namen von uns allen. ","Wo sind die bestellten Waren? Na? Ich sehe hier nichts, was auch nur annähernd so aussieht. Jetzt mach dich aber mal ernsthaft auf die Suche! ",0,0,0
8,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,"Dich schickt die Aben­teurer­gilde? Na ja, mal sehen, was du drauf hast.","Fertig? Dann lass mich mal sehen ... Hm ... Ja ... Sieht gar nicht so schlecht aus, Player. So kommst du mit dem Konsortium ins Geschäft.","Das Konsortium lässt keine Aufträge unerledigt. Wenn du nicht liefern kannst, frage ich jemand anders, der mir die gewünschte Waren im Hand­umdrehen herstellt. Arbeitswillige Handwerker gibt es genug. Also?","Ich sehe, dass du dein Handwerk verstehst. Ich würde dir noch mehr davon abnehmen. Wie wär's?","Na gut, dann lass mal gut sein. Ich habe ja, was ich brauche.","Deine Arbeit gefällt mir, Player. Ich werde mir deinen Namen merken. Bis zum nächsten Mal!"
9,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,"Danke, dass du gekommen bist. Ich bin ja selbst keine ungeschickte Handwerkerin, aber manchmal ist es einfach rentabler, jemanden anzustellen.","Wirklich solide Arbeit. Heutzutage wird viel zu viel für die Müllhalden produziert ... Ich werde dich wieder beauftragen, wenn du Zeit und Lust hast.","Hast du etwa vergessen, um was ich dich gebeten hatte? Vielleicht hätte ich lieber einen anderen Handwerker beauftragen sollen ...",0,0,0
