#,AnimationPlay01,AnimationPlay02,Instrument,ModelKey,Name,UnlockLink,Icon,AnimationStart,AnimationEnd,AnimationIdle,Transient,PerformGroup,Unknown1
0,0,0,,0,,0,0,0,0,0,0,0,False
1,6555,6557,Harfe,4295033529,047harp,0,751,6552,6554,6553,1,0,False
2,6555,6557,Klavier,4295033529,001grandpiano,0,752,6552,6554,6553,2,0,False
3,6555,6557,Laute,4295033529,026steelguitar,0,753,6552,6554,6553,3,0,False
4,6555,6557,Zupffidel,4295033529,046pizzicato,0,754,6552,6554,6553,4,0,False
5,6266,6268,Flöte,4295033525,074flute,0,755,6263,6265,6264,5,0,True
6,6266,6268,Oboe,4295033525,069oboe,0,757,6263,6265,6264,6,0,True
7,6266,6268,Klarinette,4295033525,072clarinet,0,759,6263,6265,6264,7,0,True
8,6266,6268,Piccoloflöte,4295033525,073piccolo,0,758,6263,6265,6264,8,0,True
9,6266,6268,Panflöte,4295033525,076panflute,0,756,6263,6265,6264,9,0,True
10,6284,6286,Timpani,4295033528,048timpani,0,760,6281,6283,6282,10,0,False
11,6284,6286,Bongo,4295033528,097bongo,0,761,6281,6283,6282,11,0,False
12,6284,6286,Große Trommel,4295033528,098bd,0,762,6281,6283,6282,12,0,False
13,6284,6286,Kleine Trommel,4295033528,099snare,0,763,6281,6283,6282,13,0,False
14,6284,6286,Becken,4295033528,100cymbal,0,764,6281,6283,6282,14,0,False
15,7340,7342,Trompete,4295033524,057trumpet,0,765,7337,7339,7338,15,0,True
16,7340,7342,Posaune,4295033524,058trombone,0,766,7337,7339,7338,16,0,True
17,7340,7342,Tuba,4295033524,059tuba,0,767,7337,7339,7338,17,0,True
18,7340,7342,Horn,4295033524,061frenchhorn,0,768,7337,7339,7338,18,0,True
19,7340,7342,Saxophon,4295033524,066altosax,0,769,7337,7339,7338,19,0,True
20,7414,7416,Geige,4295033523,041violin,0,770,7411,7413,7412,20,0,True
21,7414,7416,Bratsche,4295033523,042viola,0,771,7411,7413,7412,21,0,True
22,7414,7416,Cello,4295033523,043cello,0,772,7411,7413,7412,22,0,True
23,7414,7416,Kontrabass,4295033523,044contrabass,0,773,7411,7413,7412,23,0,True
24,8025,8027,E-Gitarre: Verzerrt,4295033522,030driveguitar,0,774,8022,8024,8023,24,1,True
25,8025,8027,E-Gitarre: Unverzerrt,4295033522,028cleanguitar,0,775,8022,8024,8023,25,1,True
26,8036,8038,E-Gitarre: Gedämpft,4295033522,029muteguitar,0,776,8022,8024,8023,26,1,False
27,8032,8034,E-Gitarre: Powerchords,4295033522,031powerguitar,0,777,8029,8031,8030,27,1,True
28,8040,8042,E-Gitarre: Speziell,4295033522,032FXguitar,0,778,8022,8024,8023,28,1,False
