#,Name,Unknown0,Description,Unknown1,Unknown2,StartsWithVowel,Unknown3,Unknown4,Unknown5
0,0,0,,0,0,0,1,0,0
1,Dodo,Dodos,"Diese flugunfähigen Riesenvögel stammen ursprünglich von der Insel Mazlaya und wurden von den Qiqirn ihrer Eier wegen auf den Kontinent gebracht. Seither werden die rundlichen Kreaturen von den Völkern Eorzeas überall gezüchtet, heutzutage werden sie jedoch hauptsächlich wegen ihres Fleisches geschätzt. Ein Wort der Warnung: Dodos sind in der Lage, ein Schlaf-induzierendes Sekret auf ihre Gegner zu spucken.",4,1,0,1,0,0
2,Tomberry,Tomberrys,"Es ist nur wenig bekannt über dieses rätselhafte Volk, das in einer Tempelruine aus der Zeit Nyms lebt, einer Kultur, die ihre Hochzeit während der Fünften Ära des Lichts hatte. Tomberrys tragen Kleidung und sind in der Lage, komplexe Werkzeuge zu benutzen, beides Merkmale für einen gewissen Zivilisiertheitsgrad. Kürzlich entdeckte Texte aus alten Zeiten weisen darauf hin, dass die grünen Bewohner des Palastes des Wanderers Träger einer schrecklichen Seuche sind.",4,1,0,1,0,0
3,Sabotender,Sabotender,"Sabotender sind aus­schließ­lich in trockenen Gebieten aufzufinden und sind dafür bekannt, sich selbst bei brütender Hitze wohlzufühlen. Sie können ausreichend Feuchtigkeit in ihren Körpern speichern, um selbst unter widrigsten Bedingungen überleben zu können. Diese Umstände haben sie außerdem so konditioniert, dass sie sich verteidigen können, indem sie nadelartige Projektile auf Raubtiere - oder auf unbedachte Reisende - abfeuern.",4,2,0,1,0,0
4,Spriggan,Spriggans,"Spriggans bewohnen felsige Regionen und tiefe Höhlen. Diese schwarzen Fellkreaturen sind bekannt dafür, stets wertvolle Steine und Minerale bei sich zu tragen - eine Angewohnheit, die ihnen bei Minenarbeitern einen Ruf als Glücksbringer eingebracht hat. Ihre Klassifizierung als Arkane geht auf eine Theorie im Kodex der Steine zurück, die besagt, dass diese Kreaturen nichts weiter als Botschafter für den Willen der Erde sind.",4,1,0,1,0,0
5,Pudding,Puddings,"Diese gallertartigen Kreaturen sind Verdichtungen von Materierückständen aus dem Nichts. Obwohl sie in der Lage sind, rudimentäre Sprechgeräusche zu imitieren, um ihre Beute anzulocken, gelten sie nicht als sonderlich intelligente Wesen. Puddings gehören zu den rangniederen Nichts­gesand­ten, sie haben den zehnten Rang innerhalb der Hierarchie inne.",4,1,0,1,0,0
6,Bomber,Bomber,"Dieses Konglomerat aus flüchtigem Gas und Flammen hat den elften Rang der Nichts­gesand­ten-Hierarchie inne. Bomber müssen ihre inneren Reserven auffrischen, um überleben zu können und stürzen sich daher auf jede potenzielle Quelle von Öl oder Fett, seien es Pflanzen, Tiere oder ein Vertreter der Sechs Völker. Besonders explosive Exemplare werden „Granaten“ genannt und rangieren eine Stufe höher in der Hierarchie.",4,2,0,1,0,0
7,Mandragora,Mandragoras,"Die mysteriösen Mandragoras wurden zum ersten Mal in der Zeit nach der Siebten Katastrophe beobachtet. Über ihre Herkunft ist nichts bekannt, vorläufige Studien deuten jedoch darauf hin, dass die zierlichen Pflanzenwesen empfindungsfähige Kreaturen sind und zu einer hochentwickelten Form non-verbaler Kommunikation in der Lage sind. Erst weitere Forschung wird zeigen, ob sich diese Befunde verifizieren lassen.",3,1,0,1,1,0
8,Kobalos,Kobalosse,"Ein Kobalos, der auf der Suche nach nahrhaften Erzen auf seinen Tentakeln durch die Landschaft huscht, ist ein furchterregender Anblick. Gridanischen Gelehrten zufolge nutzen diese Tiere die Erze, um einen schützenden Panzer auf sich wachsen zu lassen. Gelehrte aus Ul'dah hingegen vertreten die Theorie, dass Kobalosse empfindungsfähige Klumpen aus geologischem Material sind, die biologische Organe entwickelt haben, um ihre Verbreitung zu begünstigen.",3,2,0,1,0,0
9,Morbol,Morbol,"Morbol sind furchterregende Bestien, die sich mithilfe ihrer Ranken und Wurzeln fortbewegen. Sie sind hochgradig aggressiv und töten mit einer Kombination aus ihrem giftigen Atem und den unaufhörlich herumfuchtelnden Ranken. Bisweilen versprühen die Bestien auch einen süßlich riechenden Duft, der ihre Gegner schlafen schickt. Statt ihre Beute mit den reißzahnähnlichen Dornen in ihrem Schlund zu zerfleischen, dienen diese lediglich dazu, die Beute ruhigzustellen, während sie verdaut wird.",4,1,0,1,0,0
10,Coeurl,Coeurl,"Diese in den Gebieten des Nahen Ostens heimischen raubtierhaften Vierbeiner sind von unerreichter Wildheit. Ein Coeurl überwältigt seine Beute, indem er auf sie Elektroschocks von den peitschenartigen Fühlern an seinem Kiefer loslässt. Die ungezähmten Exemplare Eorzeas stammen von entflohenen für den Krieg herangezüchteten Bestien ab, die einst auf einer abgeschiedenen Insel am Munde des Rothlyt-Meerbusen, auch bekannt als die Perle, trainiert wurden.",3,1,0,1,0,0
11,Ahriman,Ahriman,"Ahriman gehören zu den Nichts­gesand­ten und manifestieren sich in der materiellen Ebene, indem sie ihre Essenz in die Augen von Tieren einfließen lassen. Sie besitzen außer­ordent­liche arkane Fä­hig­kei­ten und fliegen durch die Lüfte, indem sie sich an den Strömungen des Äthers festkrallen und daran entlanghangeln. Laut Studien über die Nichts­gesand­ten sind Ahriman auf den mittleren Rängen vier und fünf angesiedelt.",4,1,0,1,0,0
12,Goobbue,Goobbue,"Goobbue sind schwerfällige Kreaturen, die eine symbiotische Beziehung mit dem Moos und den Flechten, die auf ihrem Kopf wachsen, eingehen. Dieser Pflanzenwuchs beschert den Goobbue eine gewisse Tarnung und im Gegenzug spendieren die Goobbue den Pflanzen Feuchtigkeit während der trockeneren Jahreszeiten. Obwohl die Goobbue friedlich anmuten, sind sie unbarmherzige Jäger und schnappen sich alles, was über den Boden kreucht und fleucht, und schieben es sich in den riesigen Mund.",3,1,0,1,1,0
13,Chocobo,Chocobos,"Die Domestizierung der Chocobos in Eorzea geht vermeintlich auf prähistorische Zeiten zurück. Es existiert altes Bildmaterial, das Stammesangehörige dabei zeigt, wie sie die flugunfähigen Vögel dazu einsetzen, den Boden zu beackern und Krieger in den Kampf zu tragen. Auch wenn die große Mehrzahl von Chocobos in Eorzea von coerthischer Herkunft ist, wird gemunkelt, dass wilde Exemplare der Spezies - inklusive derer, die noch die Fähigkeit zu fliegen besitzen - in den unerforschten Wäldern von Abalathias Rückgrat leben.",4,1,0,1,0,0
14,Amalj'aa,Amalj'aa,"Der Wilde Stamm der Amalj'aa ist ein Volk von Nomaden, das das Grasland von Paglth'an durchstreift und sich dabei von der Jagd auf die heimische Fauna ernährt. Die Amalj'aa sind die Erzfeinde Ul'dahs. Alle Mitglieder eines Amalj'aa-Klans - egal, ob jung oder alt, ob Mann oder Frau - sind versierte Kämpfer, werden sie doch bereits im zarten Alter in den Kriegskünsten ausgebildet. Sie sind außerdem große Meister der Metallurgie, weshalb ihre Waffen bei denen hübsche Sümmchen erzielen, die Wert auf Qualität legen.",3,1,0,1,0,0
15,Ixal,Ixal,"Dieser Wilde Stamm beansprucht die durch Winderosion abgeschliffenen Canyons von Xelphatol für sich. Die Ixal haben längst die Fähigkeit zu fliegen verloren, dennoch sind die gefiederten Wilden stolz auf die rudimentären Flügel, die ihnen noch geblieben sind. Sie versuchen ihre Präsenz im Finsterwald wieder zu stärken, um eines Tages wieder Bäume fällen und ihrer launischen Gottheit huldigen zu können - ein Ziel, das die Bewohner Gridanias mit ihnen auf Kriegsfuß stehen lässt.",3,1,0,1,0,0
16,Sylphe,Sylphen,"Im nördlichen Gridania, in den Tiefen des Finsterwaldes, lebt zurückgezogen das Volk der Sylphen. Diese zierlichen Wesen ähneln Kinderpuppen, die man in strahlend grüne Blätter eingewickelt hat. Das Verhalten der Sylphen lässt sich dabei durchaus mit dem eines unschuldigen Kindes vergleichen, doch ihre Neigung, Gebrauch von ihren magischen Talenten zu machen, um Reisende zu triezen - wenn auch auf spielerische Weise - hat schon oft für Angst und Schrecken auf Seiten ihrer unglückseligen Opfer gesorgt.",3,1,0,1,1,0
17,Kobold,Kobolde,"Kobolde sind maulfwurfartige Kreaturen, die unter O'Ghomoro, einem Vulkan im nördlichen Vylbrand, ein Gewirr von Tunneln ausgehoben haben. Der Wilde Stamm glaubt daran, dass die Erze der Erde ein Geschenk des Primae Titan sind, und so versuchen die Kobolde durch den Einsatz ihrer alchemistischen Fertigkeiten ihrer Gottheit zur Ehre zu gereichen. Das Friedensabkommen zwischen den Kobolden und Limsa Lominsa hat nur wenig dazu beigetragen, immer wieder auflebende Feindseligkeiten einzudämmen.",4,2,0,1,0,0
18,Sahagin,Sahagin,"Dieser unter Wasser lebende Wilde Stamm ist in einer Stadt am Grunde der Indigotiefen zu Hause. Die Sahagin können zu Lande und zu Wasser atmen, gleiten jedoch mit besonders anmutiger Leichtigkeit durch die nassen Tiefen. Die sozialen Strukturen der Sahagin ähneln einer Pyramide, mit einer Art Königin an ihrer Spitze. Wer es wagt, auf den Straßen von Limsa Lominsa den Namen der Sahagin zu äußern, zieht dunkle Blicke und hastig ausgesprochene Flüche hinter vorgehaltener Hand auf sich.",3,1,0,1,0,0
19,Tataru,NONE,"„♪ Auf weißem Sand so glühend, da blüht ein Blümchen zart ♪
♪ Sich in den Himmel reckend, spürt nicht den Fels so hart ♪“",3,1,0,0,1,1
20,Mogry,Mogrys,"Lass dich nicht von ihrem gefälligen, niedlichen Äußeren täuschen, Mogrys sind hochintelligente Kreaturen, die mit ihrer einzigartigen Elementarmagie heilloses Chaos veranstalten können. Für gewöhnlich bleiben sie unter ihresgleichen und begnügen sich damit, den Finsterwald zu durchstreifen und verstecken sich dabei hinter Zaubern, die sie vor neugierigen Augen schützen. Nur wer besonders empfänglich für spirituelle Schwingungen ist, hat vielleicht trotzdem eine Chance, sie zu sehen.",4,1,0,1,0,0
21,Sirene,Sirenen,"Einst fürchtete man sie über die Fünf Meere hinweg, doch heute sind Sirenen nur noch „der Stoff aus dem Legenden sind“, was zum Teil auf das Konto der groß angelegten Jagd des berüchtigten Freibeuters Rauschebart geht. Sichtungen jener ver­füh­re­ri­schen Eufelinnen in jüngster Zeit sorgen jedoch dafür, dass man sich zu Land wie zu Wasser vermehrt Geschichten über sie erzählt, wie sie ganze Schiffs­mann­schaften mit ihren Gesängen bezirzen und dann von den Seelen ihrer Gefangenen zehren, bis nichts als leblose Hüllen von ihnen übrigbleiben.",3,1,0,1,1,0
22,Ultros & Typhon,NONE,"Man hält die zwei für Nichts­gesand­te, die mithilfe eines arkanen Zaubers, auf den ein Student der Thaumaturgengilde gestoßen ist, in diese Welt beschworen wurden. Nach ihrer Ankunft auf der materiellen Ebene haben sich die beiden schnell an das Leben in Eorzea gewöhnt. Ultros konnte sich als Hauptattraktion für vom Kolosseum veranstaltete Tierhetzjagden verdingen und Typhon arbeitet unter Godbert Manderville in dessen luxuriösem Spiel-Etablissement, dem Gold Saucer.",3,1,0,0,0,1
23,Dämonenwand,Dämonenwände,"Diese gruseligen Wächterkreaturen sind das Produkt uralter Magien. Ihnen wurde Leben eingehaucht, indem man einst auf ausgewählte, ganz bestimmte Wände arkane Muster mit Blut geschrieben hat. Auch wenn ihre Meister schon lange nicht mehr sind, so schützen diese Wächter mit ihren dämonischen Fratzen auch weiterhin die zerfallenden Ruinen, an die sie gebunden sind - ganz zur Überraschung und zum Horror von so manchem nichtsahnenden Abenteurer.",3,2,0,1,1,0
24,Sukkubus,Sukkuben,"Sukkuben manifestieren sich auf der materiellen Ebene, indem sie ihre Seelen in die Körper verstorbener Frauen zwängen. Ist dieser Übergang erst abgeschlossen, schreibt man den Kreaturen, die daraus entstehen ein hübsches, ja gar feenhaftes Aussehen zu. Noch befremdlicher ist die Tatsache, dass diese Nichts­gesand­ten Forschern zufolge die Charakterzüge ihrer verstorbenen Wirtskörper an den Tag legen. Sukkuben sind auf den dritten und vierten Rängen der Nichts­gesand­ten-Hierarchie angesiedelt.",3,1,0,1,0,0
25,Chimära,Chimären,"Die Chimära ist eine albtraumhafte Kombination aus Löwe, Ziegenbock und Drache und hat dem­ent­spre­chend drei Köpfe, mächtige Flügel und einen mit Stacheln versehenen Schwanz. Ihr Ursprung ist vieldiskutiert: Manche behaupten steif und fest, die Kreatur sei ein grausamer Scherz der Götter, während andere glauben, sie sei das kranke Produkt verbotener Hexerei.",3,1,0,1,1,0
26,Blauer Drache,Blaue Drachen,"Ein blauer Drache teilt sich das Blut mit dem Urdrachen Midgardsormr und seinen Nachkommen, den sieben Hohen Drachen. Er kann älter als tausend Sommer werden, ein Zeitraum, während dem die Kreatur mannigfaltige Veränderungen durchmacht. Diese „Evolution“ macht jedes Exemplar dieser Spezies einzigartig und macht es damit auch umso schwieriger für Feinde der Drachen, wirksame - da erprobte - Kampfstrategien gegen sie anzuwenden.",8,1,0,1,0,0
27,Bugaal Ja,NONE,„Mamool Ja will *Freiheit* - Freiheit zum Tanzen! Warum versteht keiner!?“,3,1,0,0,0,1
28,Momodi,NONE,"„Und bei Liebeskummer leih ich dir auch gerne ein Ohr. Schließlich gibt's keine Beziehung, die Gil noch nicht gekittet hätte. Zumindest für eine Weile, hehe.“",3,1,0,0,1,1
29,Baderon,NONE,"„Aber natürlich, werter Offizier! Und jetzt solltet Ihr und Eure Kameraden euch erst einmal von den Strapazen Eures anstrengenden Jobs erholen. Wir haben gerade frisches Bier geliefert bekommen. Warum genehmigt Ihr Euch alle nicht einen Tropfen. Geht aufs Haus!“",3,1,0,0,0,1
30,Miounne,NONE,"„Jede Hilfe ist willkommen! Also, kann ich auf dich zählen?“",3,1,0,0,1,1
31,Livia sas Junius,NONE,"„Der Legatus hat dir eine Aufgabe erteilt, und die hast du zu erfüllen. Ich schlage vor, dass du dich etwas mehr ins Zeug legst. Sonst werde ich dir Respekt vor ihm beibringen.“",3,1,0,0,1,1
32,Rhitahtyn sas Arvina,NONE,"„Ich, Rhitahtyn sas Arvina, Praefectus des Garleischen Reichs, Diener von Legatus Gaius van Baelsar, Schwert und Schild des Kaisers von Garlemald, werde dich vernichten!“",3,1,0,0,0,1
33,Biggs & Wedge,NONE,"„He, du Holzkopf, willst du dich nicht auch bedanken?“
„Doch, klar! Danke für deine Hilfe!“",3,1,0,0,0,1
34,Gerolt,NONE,"„Also gut, Abenteurerin, dann spitz mal die Lauscher: Auch wenn ich wie der letzte Penner von einem Grobschmied Kessel hämmere, so steckt in mir immer noch irgendwo ein Handwerksmeister ...“",3,1,0,0,0,1
35,Frixio,NONE,„Die Meinige ist fast zu Gizarbrei zerquetscht worden!“,3,1,0,0,1,1
36,Mutagenix,NONE,"„Pshhh ... Khooo ... Seelenselbst lebt in oftbenutzene Sache. Wenn voll von Seelenselbst, oftbenutzene Sache wird zu Glitzerstein. Dann Name ist *Materia*.“",3,1,0,0,0,1
37,Memeroon,NONE,„Niiicht!!! Memeroon zahlt Glitzergil für Bruder! Jaja! Memeroon hat viel viel Glitzergil!“,3,1,0,0,0,1
38,Behemoth,Behemoth,"Die ersten Sichtungen dieser vor Muskeln strotzenden Bestien in den Bergen von Coerthas fielen zeitlich mit dem Hereinbrechen der Siebten Katastrophe zusammen. Gelehrte gehen davon aus, dass es sich bei ihnen um die Brut des Primae Bahamut handelt und haben die Kreaturen daher „Behemoth“ genannt. Abgesehen von ihren offensichtlichen körperlichen Merkmalen ist kaum etwas über ihre Physiologie oder ihre Verhaltensmuster bekannt.",4,1,0,1,0,0
39,Gilgamesch & Enkidu,NONE,"„Ich bin übrigens Gilgamesch. Ist mir eine Ehre, eure Bekanntschaft zu machen.“",3,1,0,0,0,1
40,Ifrit,NONE,"Ifrit wurde von den Amalj'aa der ausgetrockneten Ebenen von Paglth'an beschworen. Der Gott des Infernos - mit seinen glühenden Klauen, die Metall in zähe brodelnde Flüssigkeit verwandeln, und seinen grässlichen Hörnern, die gen Himmel ragen und dabei drohen, den Himmel zu brandmarken - wird auf der ganzen Welt wegen seines brennenden Zorns gefürchtet, der beinahe ebenso unersättlich ist wie sein schwelendes Verlangen, seine Armeen heranwachsen zu sehen.",3,1,0,0,0,1
