#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24,Unknown25,Unknown26,Unknown27,Unknown28,Unknown29,Unknown30,Unknown31,Unknown32,Unknown33,Unknown34,Unknown35,Unknown36,Unknown37,Unknown38,Unknown39,Unknown40,Unknown41,Unknown42,Unknown43,Unknown44,Unknown45,Unknown46,Unknown47,Unknown48,Unknown49,Unknown50,Unknown51,Unknown52
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,100,100,100,100,100,100,100,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
1.1,100,100,100,100,100,100,100,3,0,5,6,0,0,1,0,0,0,0,1,11,11,6,0,0,0,1,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
1.2,100,100,100,100,100,100,100,3,20,3,7,0,12,33,0,0,36,0,1,11,11,11,6,13,11,2,4,4,3,0,50844,0,0,100,1,1,0,0,1,0,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
1.3,100,100,100,100,100,100,100,3,30,4,0,0,0,0,0,0,0,0,1,11,11,11,6,13,11,3,4,4,2,0,50845,0,0,50,1,1,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
1.4,100,100,100,100,100,100,100,3,50,4,0,0,0,0,0,0,0,0,1,11,11,11,6,13,11,4,4,4,1,0,50846,0,0,30,1,1,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
1.5,100,100,100,100,100,100,100,3,0,5,1,0,0,32,0,0,0,0,1,11,11,6,0,0,0,1,4,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
1.6,100,100,100,100,100,100,100,3,100,3,1,7,5,32,33,0,0,36,1,11,11,11,6,13,11,2,4,4,3,0,50844,0,0,100,1,1,0,0,1,1,0,2,2,0,0,0,-1,-1,-1,-1,-1,-1,-1
1.7,100,100,100,100,100,100,100,3,0,4,1,0,1,32,0,0,0,0,1,11,11,11,6,13,11,3,4,4,2,0,50845,0,0,50,1,1,0,0,1,1,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
1.8,100,100,100,100,100,100,100,3,0,4,1,0,1,32,0,0,0,0,1,11,11,11,6,13,11,4,4,4,1,0,50846,0,0,30,1,1,0,0,1,1,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
2.0,100,100,100,100,100,100,100,5,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
2.1,100,100,100,100,100,100,100,3,20,3,0,0,100,0,0,0,0,0,1,9,3,0,11,11,0,2,11591,11317,0,4,0,0,0,11593,0,0,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
2.2,100,100,100,100,100,100,100,3,30,4,0,0,0,0,0,0,0,0,1,9,3,0,11,11,0,2,11592,11318,0,4,0,0,0,11593,0,0,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
2.3,100,100,100,100,100,100,100,3,50,4,0,0,0,0,0,0,0,0,1,6,11,11,0,0,0,2,1,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
2.4,100,100,100,100,100,100,100,4,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
3.0,100,100,100,100,100,100,100,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
3.1,100,100,100,100,100,100,100,3,20,3,0,0,100,0,0,0,0,0,1,11,11,11,6,13,11,2,4,4,3,0,50844,0,0,100,1,1,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
3.2,100,100,100,100,100,100,100,3,30,4,0,0,0,0,0,0,0,0,1,11,11,11,6,13,11,3,4,4,2,0,50845,0,0,50,1,1,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
3.3,100,100,100,100,100,100,100,3,50,4,0,0,0,0,0,0,0,0,1,11,11,11,6,13,11,4,4,4,1,0,50846,0,0,30,1,1,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
4.0,100,100,100,100,100,100,100,5,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
4.1,100,100,100,100,100,100,100,3,0,0,0,0,0,0,0,0,0,0,1,6,11,11,0,0,0,2,1,4,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
