#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
0.0,0,0,0,0,0
1.0,6,3,1,12,0
1.1,6,4,6,11,12
1.2,6,4,1,11,0
1.3,7,5,9,10,11
1.4,7,5,1,10,0
1.5,5,5,10,9,11
1.6,5,5,1,9,0
1.7,6,6,10,8,10
1.8,6,6,9,8,9
1.9,6,6,1,8,0
1.10,6,7,6,7,8
1.11,6,7,1,7,0
1.12,6,8,6,6,7
1.13,6,8,1,6,0
1.14,7,9,9,5,6
1.15,7,9,1,5,0
1.16,5,9,10,4,6
1.17,5,9,1,4,0
1.18,7,10,6,3,5
1.19,7,10,1,3,0
1.20,5,10,6,2,4
1.21,5,10,1,2,0
1.22,6,11,10,1,3
1.23,6,11,9,1,2
1.24,6,11,1,1,0
1.25,6,12,6,0,1
1.26,6,12,1,0,0
2.0,6,2,1,13,0
2.1,6,3,6,12,13
2.2,6,3,1,12,0
2.3,7,4,4,11,12
2.4,7,4,1,11,0
2.5,5,4,5,10,12
2.6,5,4,1,10,0
2.7,6,5,5,9,11
2.8,6,5,4,9,10
2.9,6,5,1,9,0
2.10,6,6,6,8,9
2.11,6,6,1,8,0
2.12,6,7,6,7,8
2.13,6,7,1,7,0
2.14,7,8,4,6,7
2.15,7,8,1,6,0
2.16,5,8,5,5,7
2.17,5,8,1,5,0
2.18,7,9,6,4,6
2.19,7,9,1,4,0
2.20,5,9,6,3,5
2.21,5,9,1,3,0
2.22,6,10,5,2,4
2.23,6,10,4,2,3
2.24,6,10,1,2,0
2.25,6,11,6,1,2
2.26,6,11,1,1,0
2.27,6,12,6,0,1
2.28,6,12,1,0,0
3.0,6,0,1,16,0
3.1,6,1,6,15,16
3.2,6,1,1,15,0
3.3,7,2,9,14,15
3.4,7,2,1,14,0
3.5,5,2,10,13,15
3.6,5,2,1,13,0
3.7,6,3,10,12,14
3.8,6,3,9,12,13
3.9,6,3,1,12,0
3.10,6,4,6,11,12
3.11,6,4,1,11,0
3.12,7,5,9,10,11
3.13,7,5,1,10,0
3.14,5,5,10,9,11
3.15,5,5,1,9,0
3.16,6,6,10,8,10
3.17,6,6,9,8,9
3.18,6,6,1,8,0
3.19,7,7,9,7,8
3.20,7,7,1,7,0
3.21,5,7,10,6,8
3.22,5,7,1,6,0
3.23,7,8,6,5,7
3.24,7,8,1,5,0
3.25,5,8,6,4,6
3.26,5,8,1,4,0
3.27,6,9,10,3,5
3.28,6,9,9,3,4
3.29,6,9,1,3,0
3.30,6,10,6,2,3
3.31,6,10,1,2,0
3.32,6,11,6,1,2
3.33,6,11,1,1,0
3.34,6,12,6,0,1
3.35,6,12,1,0,0
4.0,6,3,1,14,0
4.1,7,4,9,13,14
4.2,7,4,1,13,0
4.3,5,4,10,12,14
4.4,5,4,1,12,0
4.5,7,5,6,11,13
4.6,7,5,1,11,0
4.7,5,5,6,10,12
4.8,5,5,1,10,0
4.9,7,6,6,9,11
4.10,7,6,1,9,0
4.11,5,6,6,8,10
4.12,5,6,1,8,0
4.13,6,7,10,7,9
4.14,6,7,9,7,8
4.15,6,7,1,7,0
4.16,7,8,9,6,7
4.17,7,8,1,6,0
4.18,5,8,10,5,7
4.19,5,8,1,5,0
4.20,6,9,10,4,6
4.21,6,9,9,4,5
4.22,6,9,1,4,0
4.23,7,10,9,3,4
4.24,7,10,1,3,0
4.25,5,10,10,2,4
4.26,5,10,1,2,0
4.27,6,11,10,1,3
4.28,6,11,9,1,2
4.29,6,11,1,1,0
4.30,6,12,6,0,1
4.31,6,12,1,0,0
5.0,6,3,1,25,0
5.1,7,4,9,24,25
5.2,7,4,1,24,0
5.3,5,4,10,23,25
5.4,5,4,1,23,0
5.5,7,5,6,22,24
5.6,7,5,1,22,0
5.7,6,4,6,21,25
5.8,6,4,1,21,0
5.9,5,5,6,20,23
5.10,5,5,1,20,0
5.11,6,5,8,19,22
5.12,6,5,6,19,21
5.13,6,5,7,19,20
5.14,6,5,1,19,0
5.15,6,6,6,18,19
5.16,6,6,1,18,0
5.17,7,6,7,17,18
5.18,8,6,7,17,18
5.19,8,6,1,17,0
5.20,5,6,8,16,18
5.21,4,6,8,16,18
5.22,4,6,1,16,0
5.23,8,7,6,15,17
5.24,8,7,1,15,0
5.25,4,7,6,14,16
5.26,4,7,1,14,0
5.27,7,7,8,13,15
5.28,7,7,1,13,0
5.29,5,7,7,12,14
5.30,5,7,1,12,0
5.31,6,7,8,11,13
5.32,6,7,7,11,12
5.33,6,7,1,11,0
5.34,6,8,6,10,11
5.35,6,8,1,10,0
5.36,7,9,9,9,10
5.37,7,9,1,9,0
5.38,6,9,6,8,10
5.39,6,9,1,8,0
5.40,5,9,10,7,10
5.41,5,9,1,7,0
5.42,7,10,6,6,9
5.43,7,10,1,6,0
5.44,6,10,6,5,8
5.45,6,10,1,5,0
5.46,5,10,6,4,7
5.47,5,10,1,4,0
5.48,7,11,6,3,6
5.49,7,11,9,3,5
5.50,7,11,1,3,0
5.51,5,11,10,2,5
5.52,5,11,6,2,4
5.53,5,11,1,2,0
5.54,6,11,8,1,3
5.55,6,11,7,1,2
5.56,6,11,1,1,0
5.57,6,12,6,0,1
5.58,6,12,1,0,0
5.59,0,0,0,0,0
5.60,0,0,0,0,0
