#,InlineName,Name,Color,Shade,Unknown0,Unknown1,SubOrder,IsMetallic,IsHousingApplicable
0,Keine Farbe,Keine Farbe,0,5728,0,2,1,False,True
1,Schneeweiß,Schneeweiß,14999504,52254,0,2,2,False,True
2,Aschgrau,Aschgrau,11315362,52254,0,2,3,False,True
3,Goobbuegrau,Goobbuegrau,9013124,52254,0,2,4,False,True
4,Schiefergrau,Schiefergrau,6645093,52254,0,2,5,False,True
5,Anthrazit,Anthrazit,4736834,52254,0,2,6,False,True
6,Rußschwarz,Rußschwarz,2828579,52254,0,2,7,False,True
7,Rosarot,Rosarot,15114134,52254,0,4,1,False,True
8,Altrosa,Altrosa,8612201,52254,0,4,2,False,True
9,Rolanbeerenrot,Rolanbeerenrot,5969705,52254,0,4,3,False,True
10,Dalamudrot,Dalamudrot,7871002,52254,0,4,4,False,True
11,Rostrot,Rostrot,6431239,52254,0,4,5,False,True
12,Weinrot,Weinrot,4527377,52254,0,4,6,False,True
13,Korallenrosa,Korallenrosa,13397086,52254,0,4,7,False,True
14,Blutrot,Blutrot,9517863,52254,0,4,8,False,True
15,Lachsrosa,Lachsrosa,14985866,52254,0,4,9,False,True
16,Abendrot,Abendrot,12016685,52254,0,5,1,False,True
17,Tafelbergrot,Tafelbergrot,8206598,52254,0,5,2,False,True
18,Borkenbraun,Borkenbraun,6966071,52254,0,5,3,False,True
19,Schokoladenbraun,Schokoladenbraun,7224612,52254,0,5,4,False,True
20,Rotbraun,Rotbraun,5188895,52254,0,5,5,False,True
21,Koboldbraun,Koboldbraun,3154203,52254,0,5,6,False,True
22,Korkbraun,Korkbraun,13209942,52254,0,5,7,False,True
23,Qiqirnbraun,Qiqirnbraun,10055231,52254,0,5,8,False,True
24,Opo-Opobraun,Opo-Opobraun,8084525,52254,0,5,9,False,True
25,Steinbockbraun,Steinbockbraun,10651484,52254,0,5,10,False,True
26,Kürbisorange,Kürbisorange,12940324,52254,0,5,11,False,True
27,Eichelbraun,Eichelbraun,9328667,52254,0,5,12,False,True
28,Obstbraun,Obstbraun,6570518,52254,0,5,13,False,True
29,Kastanienbraun,Kastanienbraun,4008205,52254,0,5,14,False,True
30,Kartonbraun,Kartonbraun,12166281,52254,0,5,15,False,True
31,Schieferbraun,Schieferbraun,9601388,52254,0,5,16,False,True
32,Maulwurfsbraun,Maulwurfsbraun,6378053,52254,0,5,17,False,True
33,Lehmbraun,Lehmbraun,4141865,52254,0,5,18,False,True
34,Knochenweiß,Knochenweiß,15455136,52254,0,6,1,False,True
35,Ul'dahbraun,Ul'dahbraun,12034928,52254,0,6,2,False,True
36,Wüstengelb,Wüstengelb,14398551,52254,0,6,3,False,True
37,Honiggelb,Honiggelb,16434731,52254,0,6,4,False,True
38,Maisgelb,Maisgelb,14982708,52254,0,6,5,False,True
39,Coeurlgelb,Coeurlgelb,12355588,52254,0,6,6,False,True
40,Cremegelb,Cremegelb,15914864,52254,0,6,7,False,True
41,Halataligelb,Halataligelb,10847280,52254,0,6,8,False,True
42,Rosinenbraun,Rosinenbraun,4207377,52254,0,6,9,False,True
43,Schlammgrün,Schlammgrün,5788208,52254,0,7,1,False,True
44,Sylphengrün,Sylphengrün,12303242,52254,0,7,2,False,True
45,Limettengrün,Limettengrün,11251796,52254,0,7,3,False,True
46,Moosgrün,Moosgrün,7369510,52254,0,7,4,False,True
47,Grasgrün,Grasgrün,9149539,52254,0,7,5,False,True
48,Olivgrün,Olivgrün,4936242,52254,0,7,6,False,True
49,Sumpfgrün,Sumpfgrün,3290657,52254,0,7,7,False,True
50,Apfelgrün,Apfelgrün,10204003,52254,0,7,8,False,True
51,Kaktusgrün,Kaktusgrün,6652481,52254,0,7,9,False,True
52,Jägergrün,Jägergrün,2640684,52254,0,7,10,False,True
53,Ochugrün,Ochugrün,4219705,52254,0,7,11,False,True
54,Adaman-Taimaigrün,Adaman-Taimaigrün,6255960,52254,0,7,12,False,True
55,Nophicagrün,Nophicagrün,3886396,52254,0,7,13,False,True
56,Waldgrün,Waldgrün,1976865,52254,0,7,14,False,True
57,Mintgrün,Mintgrün,9878969,52254,0,7,15,False,True
58,Türkis,Türkis,4420210,52254,0,7,16,False,True
59,Morbolgrün,Morbolgrün,2049606,52254,0,7,17,False,True
60,Eisblau,Eisblau,11715790,52254,0,8,1,False,True
61,Himmelblau,Himmelblau,8630482,52254,0,8,2,False,True
62,Seenebelblau,Seenebelblau,6586784,52254,0,8,3,False,True
63,Pfauenblau,Pfauenblau,3893382,52254,0,8,4,False,True
64,Rhotanoblau,Rhotanoblau,1850708,52254,0,8,5,False,True
65,Leichenblau,Leichenblau,9345964,52254,0,8,6,False,True
66,Erdseimblau,Erdseimblau,5199718,52254,0,8,7,False,True
67,Indigoblau,Indigoblau,3094609,52254,0,8,8,False,True
68,Tintenblau,Tintenblau,1711911,52254,0,8,9,False,True
69,Raptorenblau,Raptorenblau,5996480,52254,0,8,10,False,True
70,Othardblau,Othardblau,3102857,52254,0,8,11,False,True
71,Sturmblau,Sturmblau,2310514,52254,0,8,12,False,True
72,Nichtsblau,Nichtsblau,1124676,52254,0,8,13,False,True
73,Königsblau,Königsblau,2568295,52254,0,8,14,False,True
74,Mitternachtsblau,Mitternachtsblau,1579319,52254,0,8,15,False,True
75,Schattenblau,Schattenblau,3618631,52254,0,8,16,False,True
76,Tiefblau,Tiefblau,3222871,52254,0,8,17,False,True
77,Lavendelblau,Lavendelblau,8880046,52254,0,9,1,False,True
78,Düsterviolett,Düsterviolett,5326176,52254,0,9,2,False,True
79,Johannisbeerenviolett,Johannisbeerenviolett,3288123,52254,0,9,3,False,True
80,Irisviolett,Irisviolett,12033724,52254,0,9,4,False,True
81,Weintraubenviolett,Weintraubenviolett,3877437,52254,0,9,5,False,True
82,Lotusrosa,Lotusrosa,16699125,52254,0,9,6,False,True
83,Kolibrirosa,Kolibrirosa,14457802,52254,0,9,7,False,True
84,Pflaumenviolett,Pflaumenviolett,7950956,52254,0,9,8,False,True
85,Königsviolett,Königsviolett,6697038,52254,0,9,9,False,True
86,Rubinrot,Rubinrot,14942225,52255,0,4,10,False,True
87,Kirschpink,Kirschpink,16070555,52255,0,4,11,False,True
88,Kanariengelb,Kanariengelb,16709732,52255,0,6,10,False,True
89,Vanillegelb,Vanillegelb,16511412,52255,0,6,11,False,True
90,Dragoonblau,Dragoonblau,3746,52255,0,8,18,False,True
91,Cyanblau,Cyanblau,307149,52255,0,8,19,False,True
92,Cermetgrau,Cermetgrau,6316136,52255,0,10,21,True,False
93,Perlmutt,Perlmutt,15328218,52255,0,10,22,True,False
94,Metallic Messing,Metallic Messing,15192471,52255,0,10,23,True,False
95,Karmesinrot,Karmesinrot,14551830,52256,0,4,12,False,True
96,Neonpink,Neonpink,15536526,52256,0,4,13,False,True
97,Knallorange,Knallorange,16011281,52256,0,5,19,False,True
98,Neongelb,Neongelb,14674440,52256,0,6,12,False,True
99,Neongrün,Neongrün,11925264,52256,0,7,18,False,True
100,Azurblau,Azurblau,3820688,52256,0,8,20,False,True
101,Wolkenweiß,Wolkenweiß,16382196,13114,8732,10,1,False,True
