#,Description,Unknown1,RequiredQuest,PreviewIcon,Transformation,Festival,Expansion
0,,0,0,0,0,0,0
1,Eine stille Padjal mit unerschütterlichem Willen.,0,0,73801,219,76,0
2,Eine standfeste und aufbrausende Roegadyn.,1,0,73802,220,76,0
3,Einen kämpferischen und mutigen Hyuran.,2,0,73803,221,76,0
4,Eine edle Lalafell mit rosigem Haar.,3,0,73804,222,76,0
5,"Einen charismatischen Garlear, der sich mit Magitek auskennt.",10,66054,73805,355,91,0
6,"Einen ehrgeizigen Garlear, der sich durch nichts beirren lässt.",13,66737,73806,354,91,0
7,Einen technisch versierten Lalafell mit einer Schwäche für eine emsige Schatzmeisterin.,11,66737,73807,532,152,0
8,"Einen furchtlosen Roegadyn, der mit seinem kleinen Freund und Kollegen durch dick und dünn geht.",12,66737,73808,533,152,0
9,Einen Miqo'te mit hellrotem Haar und dunkelroten Augen.,14,66737,73809,356,91,0
10,"Eine leidenschaftliche Hyuran, die eine Geheimgesellschaft anführt.",4,66046,73810,395,105,0
11,"Einen gefährlichen Roegadyn, der trotz seiner Herkunft bis zum Praefectus des Garleischen Kaiserreichs aufgestiegen ist.",15,70058,73811,392,105,0
12,"Eine charmante Miqo'te, die als Sängerin berühmt wurde.",9,66729,73812,391,105,0
13,Einen galanten Hyuran mit einem untrüglichen Gespür für knifflige Fälle.,16,66740,73813,393,105,0
14,"Eine treue Miqo'te, die einem galanten Kriminologen zur Seite steht.",17,66740,73814,394,105,0
15,"Einen Hyuran, dessen Künste als Goldschmied legendär sind.",18,66740,73815,508,142,0
16,"Eine geschickte Lalafell, ohne die eine gewisse Organisation ständig Geldprobleme hätte.",5,66045,73816,507,142,0
17,"Einen Hyuran, der in eine neue Welt aufgebrochen ist, die sich einst aus der Asche einer alten Welt erhob.",99,70058,73817,484,132,0
18,Einen willensstarken Elezen mit schwarzem Haar und blauen Augen.,0,67205,73818,217,76,1
19,Eine selbstbewusste Halb-Elezen mit starkem Gerechtigkeitssinn.,1,67205,73819,357,91,1
20,Eine Lalafell in einer gelben Robe mit Ohrenkapuze.,4,67699,73820,218,76,1
21,"Einen stolzen Elezen, der die Lanze wie kein Zweiter führt.",2,68089,73821,358,91,1
22,"Einen freiheitsliebenden Hyuran, der die Luftpiraten anführt.",5,67740,73822,359,91,1
23,"Eine unbeirrbare Hyuran, die ihre himmelwärts strebenden Mitstreiter im Zaum hält.",6,67740,73823,534,152,1
24,Eine erfindungsreiche Lalafell mit einem besonderen Händchen für Luftschiffe.,7,67740,73824,535,152,1
25,"Einen Elezen, der von einer altehrwürdigen Adelsfamilie abstammt und Gerüchte liebt.",3,67205,73825,482,132,1
26,"Einen Hyuran, der in die Berge zog und dort das Land der Drachen bereiste.",99,67205,73826,483,132,1
27,Einen tapferen und großmütigen Hyuran aus dem Fernen Osten.,0,68089,73827,214,76,2
28,"Eine überaus loyale Au Ra, die die Künste der Ninja beherrscht.",1,68089,73828,215,76,2
