#,Unknown0,ClassPlural,VoiceLine,ClassSingular
0,,,0,
1,Alphinaud,Akademiker,8202013,Academician
2,Alisaie,Rotmagierin,8202035,Red Mage
3,Thancred,Revolverklinge,8202055,Gunbreaker
4,Minfilia,Orakel des Lichts,8202072,Oracle of Light
5,Urianger,Astrologe,8202092,Astrologian
6,Y'shtola,Hexe,8202105,Sorceress
7,Ryne,Orakel des Lichts,8202072,Oracle of Light
8,Lyna,Kommandantin,8202146,Guard Captain
9,Kristallexarch,Allrounder,8202128,All-Rounder
10,G'raha Tia,Allrounder,8202346,All-Rounder
11,Alphinaud,Weiser,8203013,Sage
12,Estinien,Dragoon,8203064,Dragoon
13,Urianger,Signa-Deuter,8202092,Lithomancer
14,Venat,Allrounder,8203122,All-Rounder
15,Emet-Selch,Der Dritte Sitz,8203219,The Third Seat
16,Hythlodaeus,Seelenseher,8203239,Soulseer
17,Kühner Marodeur,Marodeur,0,Marauder
18,Kühne Pikenierin,Pikenierin,0,Lancer
19,Kühne Thaumaturgin,Thaumaturgin,0,Thaumaturge
20,Kühner Druide,Druide,0,Conjurer
21,Marodeur der Morgenröte,Marodeur,0,Marauder
22,Pikenierin der Morgenröte,Pikenierin,0,Lancer
23,Thaumaturgin der Morgenröte,Thaumaturgin,0,Thaumaturge
24,Druide der Morgenröte,Druide,0,Conjurer
25,Mahlstrom-Marodeur,Marodeur,0,Marauder
26,Bruderschaftspikenierin,Pikenierin,0,Lancer
27,Legionsthaumaturgin,Thaumaturgin,0,Thaumaturge
28,Bruderschaftsdruide,Druide,0,Conjurer
29,Varshahn,Magistrat,8203440,Satrap
30,Ysayle,Eisherz,0,Oracle of Frost
31,Tempelritter,Ritter,0,Temple Knight
32,Tempelritter-Bannerherr,Bannerherr,0,Temple Banneret
33,Tempelritter-Wundarzt,Wundarzt,0,Temple Chirurgeon
34,Haurchefant,Galanter Ritter,0,Chivalric Knight
35,Pero Roggo,Poroggo,0,Poroggo
36,Aymeric,Großmeister,0,Lord Commander
37,Fortemps-Ritter,Ritter,0,Knight
38,Fortemps-Bannerherr,Bannerherr,0,Banneret
39,Fortemps-Bogenschützin,Bogenschützin,0,Archer
40,Thancred,Exeget,0,Archon
41,Zero,Memoria-Erwählte,8203467,Memoriate
42,Y'shtola,Exegetin,0,Archon
43,Carvallain,Marodeur,0,Marauder
44,Lyse,Faustkämpferin,0,Pugilist
45,Gosetsu,Samurai,0,Samurai
46,Hien,Samurai,0,Samurai
47,Junge Mol,Schamanin,0,Shaman
48,Yugiri,Ninja,0,Ninja
49,Domanische Befreierin,Samurai,0,Samurai
50,Domanischer Priester,Priester,0,Fushi
51,Befreiungskämpfer,Gladiator,0,Gladiator
52,Befreiungsarmee-Pikenier,Pikenier,0,Pikedancer
53,Arenvald,Gladiator,0,Gladiator
54,Lyse,Faustkämpferin,0,Pugilist
55,Raubahn,Gladiator,0,Champion Gladiator
56,J'moldva,Pikenierin,0,Lancer
57,Wuk Lamat,Kriegerin,8205048,Intrepid
58,Zoraal Ja,Viper,8205115,Viper
59,Koana,Reformator,8205098,Innovator
60,Krile,Piktomantin,8205029,Pictomancer
61,Sphene,Pneumantin,8206020,Zoemancer
