#,Experience,Unknown0,RetainerTaskParameter,VentureCost,MaxTimemin,RequiredItemLevel,RequiredGathering,Unknown1,Task,ClassJobCategory,RetainerLevel,ConditionParam0,ConditionParam1,IsRandom
0,0,0,1,1,0,0,0,0,0,0,1,0,0,False
1,500,0,1,1,60,0,0,0,1,34,1,0,0,False
2,800,0,2,1,60,0,0,0,2,34,2,0,0,False
3,800,0,3,1,60,0,0,0,3,34,3,0,0,False
4,1400,0,4,1,60,0,0,0,4,34,4,0,0,False
5,1400,0,5,1,60,0,0,0,5,34,5,0,0,False
6,3000,0,6,1,60,0,0,0,6,34,6,0,0,False
7,3000,0,7,1,60,0,0,0,7,34,7,0,0,False
8,5000,0,8,1,60,0,0,0,8,34,8,0,0,False
9,5000,0,9,1,60,0,0,0,9,34,9,0,0,False
10,7400,0,10,1,60,0,0,0,10,34,10,0,0,False
11,7400,0,10,1,60,0,0,0,11,34,10,0,0,False
12,7400,0,10,1,60,0,0,0,12,34,10,0,0,False
13,7400,0,11,1,60,0,0,0,13,34,11,0,0,False
14,7400,0,11,1,60,0,0,0,14,34,11,0,0,False
15,10200,0,12,1,60,0,0,0,15,34,12,0,0,False
16,10200,0,12,1,60,0,0,0,16,34,12,0,0,False
17,10200,0,13,1,60,0,0,0,17,34,13,0,0,False
18,13100,0,14,1,60,0,0,0,18,34,14,0,0,False
19,13100,0,14,1,60,0,0,0,19,34,14,0,0,False
20,13100,0,15,1,60,0,0,0,20,34,15,0,0,False
21,13100,0,15,1,60,0,0,0,21,34,15,0,0,False
22,13100,0,15,1,60,0,0,0,22,34,15,0,0,False
23,17400,0,16,1,60,0,0,0,23,34,16,0,0,False
24,17400,0,17,1,60,0,0,0,24,34,17,0,0,False
25,21900,0,18,1,60,0,0,0,25,34,18,0,0,False
26,21900,0,19,1,60,0,0,0,26,34,19,0,0,False
27,24900,0,20,1,60,0,0,0,27,34,20,0,0,False
28,24900,0,21,1,60,1,0,0,28,34,21,0,0,False
29,26100,0,22,1,60,2,0,0,29,34,22,0,0,False
30,26100,0,23,1,60,3,0,0,30,34,23,0,0,False
31,27200,0,24,1,60,4,0,0,31,34,24,0,0,False
32,27200,0,25,1,60,5,0,0,32,34,25,0,0,False
33,27200,0,25,1,60,5,0,0,33,34,25,0,0,False
34,27200,0,25,1,60,5,0,0,34,34,25,0,0,False
35,27200,0,25,1,60,5,0,0,35,34,25,0,0,False
36,27200,0,25,1,60,5,0,0,36,34,25,0,0,False
37,27200,0,25,1,60,5,0,0,37,34,25,0,0,False
38,32100,0,26,1,60,6,0,0,38,34,26,0,0,False
39,32100,0,26,1,60,6,0,0,39,34,26,0,0,False
40,32100,0,27,1,60,7,0,0,40,34,27,0,0,False
41,34500,0,28,1,60,8,0,0,41,34,28,0,0,False
42,34500,0,28,1,60,8,0,0,42,34,28,0,0,False
43,34500,0,29,1,60,9,0,0,43,34,29,0,0,False
44,34500,0,29,1,60,9,0,0,44,34,29,0,0,False
45,35200,0,30,1,60,10,0,0,45,34,30,0,0,False
46,35200,0,30,1,60,10,0,0,46,34,30,0,0,False
47,35200,0,30,1,60,10,0,0,47,34,30,0,0,False
48,35200,0,31,1,60,11,0,0,48,34,31,0,0,False
49,38600,0,32,1,60,12,0,0,49,34,32,0,0,False
50,38600,0,32,1,60,12,0,0,50,34,32,0,0,False
51,38600,0,33,1,60,13,0,0,51,34,33,0,0,False
52,40800,0,34,1,60,14,0,0,52,34,34,0,0,False
53,40800,0,35,1,60,15,0,0,53,34,35,0,0,False
54,44800,0,36,1,60,16,0,0,54,34,36,0,0,False
55,44800,0,37,1,60,17,0,0,55,34,37,0,0,False
56,49000,0,38,1,60,18,0,0,56,34,38,0,0,False
57,49000,0,39,1,60,19,0,0,57,34,39,0,0,False
58,52600,0,40,1,60,20,0,0,58,34,40,0,0,False
59,52600,0,41,1,60,21,0,0,59,34,41,0,0,False
60,54200,0,42,1,60,22,0,0,60,34,42,0,0,False
61,54200,0,43,1,60,23,0,0,61,34,43,0,0,False
62,55700,0,44,1,60,24,0,0,62,34,44,0,0,False
63,55700,0,45,1,60,25,0,0,63,34,45,0,0,False
64,61900,0,46,1,60,26,0,0,64,34,46,0,0,False
65,61900,0,47,1,60,27,0,0,65,34,47,0,0,False
66,66400,0,48,1,60,28,0,0,66,34,48,0,0,False
