#,Name,Impression,Description,Level,MinLevel,PlaceName,IconList,IconDiscovered,IconUndiscovered,Emote,MinTime,MaxTime,MaxLevel,IsInitial
2162688,Barrakuda-Pier,Zu Füßen dieses Händlers liegen drei Kriegsschiffe. Mit ihren leuchtend roten Segeln verkörpern sie die geballte Kampfkraft der Meeresmetropole.,"So stolze Schiffe wie die *Triumph*, Flaggschiff der Kriegsflotte des Mahlstroms und Stolz von Limsa Lominsa, liegen hier vor Anker. Nicht für jedermann zugänglich, aber umso malerischer.",4876856,0,27,81501,81001,81451,22,800,1159,0,True
2162689,Die *Astalicia*,Frei wie ein Freibeuter! Mit einem kräftigen Schluck gestärkt ist auch der ungebärdigste Kontrahent auf See nur ein kleines Blättchen im Ozean - doch Hochmut kommt vor dem Fall. Vielleicht schon am nächsten Morgen.,"Die Galeone der berüchtigten „Henkershorde“. Obgleich als Handelsschiff von Übersee getarnt, ist es ein offenes Geheimnis, dass dies Hyllfyrs Hauptquartier und Treffpunkt von Piraten aller Lager ist. ",4876859,0,27,81502,81002,81451,22,1800,459,0,True
2162690,Monument in der Klagegrotte,"Das tägliche Ritual des Fischers vor der ersten Ausfahrt im kühlen Dämmerlicht der Höhle - ein stilles Gedenken an die verunglückten Kameraden, die begleitet vom Widerhall der Wassertropfen in das Requiem der Seeleute einzustimmen scheinen.","Ich bin die Welle, die mich auf dem Rücken trägt, ich bin der Wind, der Gischt auf alle Wellen schlägt. Ich bin die tausend Sterne hoch am Firmament, das Morgenrot, dem Meer geboren, bis es mich im Tod umfängt.",4876905,0,30,81503,81003,81451,58,500,759,0,True
2162691,Himmelszug,"Das Verladen der Waren ist Knochenarbeit. In einer kleinen Pause lässt der Arbeiter gerne die Gedanken schweifen - in die Ferne, vorbei an den Lastenballons im blauen Himmel, bis an den Horizont und weiter, immer weiter.",Der durch die Siebte Katastrophe aufgebrochene „Abstieg“ teilt La Noscea quer von Norden nach Süden. Ohne den Lastenheber des Himmelszugs wäre die gigantische Felswand für schwere Lasten kaum zu überwinden.,4876907,0,30,81504,81004,81451,22,1200,1659,0,True
2162692,La Thagran-Landstraße,"Ein Wachsoldat in einem kurzen Moment der Muße. Gerade wenn der graue Himmel aufs Gemüt drückt, soll man sich hohe Ziele für den Tag stecken. Der Blick auf die alte Straße ruft die enorme Leistung der Pioniere in Erinnerung, die diese Route einst erschlossen.","Diese Fernstraße vom zentralen ins östliche La Noscea ist nach dem früheren Seefahrer Guy La Thagran benannt, der in der Siedlerzeit gemeinsam mit seinem Kameraden Jean De Nevelle Vylbrand erforschte und vermaß.",4876912,0,30,81505,81005,81451,22,800,1159,0,True
2162693,Salzstrand,"Ein Fischer hat unter dem Schutz Oschons, des Wanderers, noch immer seine Leine ausgeworfen. Zu seinen Füßen erstreckt sich die bizarre Salzwüste, die an die große Tragödie vor fünf Jahren gemahnt.","Dalamud-Fragmente durchtrennten hier beim Einschlag große Äther-Adern, wodurch denaturierte Kristalle entstanden, die mit dem Meerwasser reagierten und mannigfaltige Salzformationen entstehen ließen.",4876920,0,31,81508,81008,81451,22,1800,459,0,True
2162694,Felder der Gockelburg,"Der frühe Morgen ist des Feldarbeiters Mittag. Von oberhalb des Tores die geheimnisvoll verschleierten Felder zu überblicken, erfrischt den Geist und die Glieder wie nichts anderes.","Die Gockelburg ist ein Versuchsbauernhof, der sich der Veredelung von Feldfrüchten und der Dodo- und Schafzucht verschrieben hat. Der Name stammt von den Hahnenkämpfen, die wie Ritterturniere aufgezogen wurden.",4876921,0,31,81509,81009,81451,22,500,759,0,True
2162695,Leuchtturm Braubake,"Azurblauer Himmel, tiefblaues Meer: Das ist die majestätische Kulisse, die sich dem Wärter darbietet, sobald die Arbeit getan und das Leuchtfeuer gelöscht ist. Sind die Schiffe sicher vorüber, gibt es nichts Schöneres als ein Bier vor diesem atemberaubenden Ausblick.","Braubake - der Name deutet die Zugehörigkeit zu Bierhafen an - wurde nach dem Einsturz des Tölpelturms errichtet. Von hoch oben blickt man auf die Wellenbrecher, die die Küste vor Flutwellen schützen.",4876926,0,33,81513,81013,81451,22,500,759,0,True
2162696,Gerbergilde,"Von diesem hohen Beobachtungsposten aus hatte der Gerber als Kind das Tun in der Werkstatt bestens im Blick. Besonders stimmungsvoll fand er es hier, wenn sich draußen der Himmel mit Wolken zuzog.","Die gridanischen Gerber verarbeiten mit hoher Kunst­fer­tig­keit die Materialien, die der Wald ihnen bietet, und verkaufen ihre Waren im Atelier Fen-Yll. Für die beliebtesten Stücke gibt es Wartelisten, so groß ist der Andrang.",4868036,0,39,81527,81027,81452,22,1200,1659,0,True
2162697,Apkallu-Fälle,"Manchmal, wenn er eigentlich im Bett sein müsste, stiehlt sich der Dreikäsehoch aus dem Haus, rennt den geheimen Weg entlang und betrachtet den Wasserfall von oben, wo kein Erwachsener sich je hinaufbegeben würde.","Der beschauliche Wasserfall hat seinen Namen von den ersten Siedlern, die hier Apkallu-Vögel züchteten. Der Ort ist dafür bekannt, dass der Weise Louisoix sich gerne zum Nachdenken hierher zurückzog.",4876928,0,39,81528,81028,81452,22,1800,459,0,True
2162698,Gut Zwieselgrund,"Die Züchterin, mit der ich mich unterhielt, macht es richtig: Wenn die Sonne auf den Mogry-Ballon scheint, setzt sie sich an diesen einladenden Ort und genießt ihre Mittagspause.",In dem überregional bekannten Gestüt „Mogry-Stolz“ zieht ein aus Ishgard stammender Züchter zuverlässige Arbeits-Chocobos groß. Markenzeichen des Guts ist der auffällige Mogry-Ballon.,4877070,0,54,81530,81030,81452,50,1200,1659,0,True
2162699,Dom der Einkehr,"Wenn sich das strahlende Sonnenlicht im Wasser spiegelt, weiß die Gärtnerin, warum sie diesen Beruf gewählt hat: Nirgends fühlt sie sich wohler als in ihrem Blumengarten. Dafür dankt sie den Göttern.","Nach dem Zeitalter des langen Eises baute die von Hunger geplagte Bevölkerung diesen Dom, um die Zwölf um Beistand zu bitten. Auch nach der Siebten Katastrophe beten die Gläubigen hier zu ihren Göttern.",4877071,0,55,81535,81035,81452,58,800,1159,0,True
2162700,Sylphen-Zuflucht,"Hoch oben auf der Wipfelplattform fühlt sich der Forscher fast wie eine fliegende Sylphe. Besonders hübsch ist es hier am Abend, wenn die Lichter der Hütten den Wald erhellen.","Hier ließen sich die Sylphen nieder, die sich der Beschwörung des Primae Ramuh widersetzen. Mit ihrer Magie verwandeln sie die Pflanzen des Waldes zu sehenswerten hängenden Behausungen.",4877072,0,55,81536,81036,81452,22,1800,459,0,True
2162701,Herrscherpromenade,"Nach ihrer anstrengenden Nachtschicht stellen die Palastwachen sich auf eine der drei silbernen Platten, grüßen ihre Ablösung mit einem Salut, erhaschen über sich noch einen Blick auf den morgenroten Himmel und eilen dann zu ihren Zimmern in der Herberge.","Der Zugang zu Ul'dahs Regierungsviertel wird von der Palastwache streng bewacht. Einst warteten die treuen Anhänger des Sultanats hier geduldig auf Audienz, heute flaniert der Geldadel über die Promenade.",4877073,0,51,81546,81046,81453,31,500,759,0,True
2162702,Platz der Sultana,"Wer den geizigen Ul'dahnern als Straßenkünstler ein paar Gil entlocken möchte, muss auffallen. Auf dem Podest vor der östlichen Laterne an diesem kühlen Platz haben Publikum und Künstler sich immer gut im Blick.",Die kühlen Mauern und der Springbrunnen dieses Treppenaufgangs im Herzen Ul'dahs laden besonders in der Mittagshitze zum Verweilen ein. Zur Blütezeit des Sultanats wurden hier höfische Tänze aufgeführt.,4877074,0,51,81547,81047,81453,22,1200,1659,0,True
