#,Name,FCAuthorityCategory,Unknown0
0,Gesellschaftsprofil bearbeiten,1,1
1,Rekrutierung,0,0
2,Ränge und Rechte ändern,1,2
3,Wappen ändern,1,3
4,Einstellungen der Truhe ändern,0,0
5,Neue Mitglieder einladen,2,1
6,Beitrittsgesuche annehmen,2,4
7,Mitglieder entlassen,2,2
8,Rang eines Mitglieds ändern,2,3
9,Anschlagbrett bearbeiten,3,1
10,Chat,0,0
11,Memos schreiben,3,2
12,Gesellschaftstaler ausgeben,4,1
13,Kommandos aktivieren,4,2
14,Kommandos deaktivieren,4,3
15,,5,0
16,,5,0
17,,5,0
18,,5,0
19,,5,0
20,,5,0
21,,5,0
22,,5,0
23,,5,0
24,,5,0
25,,5,0
26,,5,0
27,,5,0
28,,5,0
29,,5,0
30,,5,0
31,,5,0
32,,5,0
33,,5,0
34,,5,0
35,,5,0
36,,5,0
37,,5,0
38,,5,0
39,,5,0
40,,5,0
41,,5,0
42,,5,0
43,Unterkunft betreten,6,1
44,Gebäudenamen ändern,6,2
45,Grußwort ändern,6,3
46,Grundstück kaufen/zurückgeben,7,1
47,Gebäude errichten/entfernen,7,2
48,Bauelemente ändern,8,1
49,Keine Rechte bezüglich Ausstattung,8,3
50,Ausstattung platzieren,8,4
51,Ausstattung platzieren/entfernen,8,5
52,Ausstattung/Elemente färben,8,2
53,Zutrittsrechte/Zweck ändern,6,4
54,Diarium verwalten,15,1
55,Pflanzen aussäen,9,1
56,Pflanzen abernten,9,2
57,Pflanzen vernichten,9,3
58,Eigenen Chocobo unterbringen,10,1
59,Fremden Chocobo trainieren,10,2
60,Ätherrad bedienen,8,7
61,Gehilfen platzieren/entfernen,8,6
62,Werkstätte einrichten/entfernen,11,1
63,Projekte beginnen/abbrechen,12,1
64,Material für Projekte abliefern,12,2
65,Arbeitsschritte ausführen,12,3
66,Ergebnisse entgegennehmen,12,4
67,Prototyp herstellen,12,5
68,Fahrzeug registrieren/demontieren,13,1
69,Bauteile ändern,13,2
70,Bauteile färben,13,3
71,Namen ändern,13,4
72,Erkundungen beginnen/abbrechen,13,5
73,Erkundungen abschließen,13,6
74,Expeditionen beginnen,0,0
75,Orchestrion bedienen,14,1
