#,Name,Icon,JournalCategory,Unknown0
0,,0,0,False
1,A Realm Reborn,61412,1,True
2,7. Ära des Lichts,61412,2,True
3,Heavensward,61412,3,True
4,Drachenkrieg,61412,4,True
5,Nach dem Drachenkrieg,61412,5,True
6,Stormblood,61412,6,True
7,Nach dem Befreiungskampf,61412,7,True
8,Shadowbringers,61412,8,True
9,Die Heimreise der Exegeten,61412,9,True
10,Geflüster des Untergangs,61412,10,True
11,Endwalker,61412,11,True
12,Neu entdecktes Abenteuer,61412,12,True
13,Dawntrail,61412,13,True
14,Dawntrail (Epilog),61412,14,True
15,Ränke der Winterer,61412,15,True
16,Primae (A Realm Reborn),61411,16,True
17,Bahamut,61411,17,True
18,Kristallturm,61411,18,True
19,Alexander,61411,19,True
20,Primae (Heavensward),61411,20,True
21,Schatten von Mhach,61411,21,True
22,Omega,61411,22,True
23,Omega (Epilog),61411,22,True
24,Rückkehr nach Ivalice,61411,23,True
25,Die vier Tierheiligen,61411,24,True
26,Eden,61411,25,True
27,YoRHa: Dark Apocalypse,61411,26,True
28,Abwehrwaffen der Allager,61411,27,True
29,Pandæmonium,61411,28,True
30,Pandæmonium (Epilog),61411,28,True
31,Mythen Eorzeas,61411,29,True
32,Das Arkadion,61411,30,True
33,Echos aus Vana'diel,61411,31,True
34,Hauptaufträge,61411,32,True
35,Nebenaufträge,61411,32,True
36,Hauptaufträge,61411,33,True
37,Nebenaufträge,61411,33,True
38,Hauptaufträge,61411,34,True
39,Nebenaufträge,61411,34,True
40,Hauptaufträge,61411,36,True
41,Nebenaufträge,61411,36,True
42,Hauptaufträge,61411,37,True
43,Nebenaufträge,61411,37,True
44,Hauptaufträge,61411,38,True
45,Nebenaufträge,61411,38,True
46,Hauptaufträge,61411,39,True
47,Nebenaufträge,61411,39,True
48,Hauptaufträge,61411,40,True
49,Nebenaufträge,61411,40,True
50,Hauptaufträge,61411,41,True
51,Nebenaufträge,61411,41,True
52,Hauptaufträge,61411,42,True
53,Nebenaufträge,61411,42,True
54,Hauptaufträge,61411,43,True
55,Nebenaufträge,61411,43,True
56,Hauptaufträge,61411,44,True
57,Nebenaufträge,61411,44,True
58,Hauptaufträge,61411,45,True
59,Nebenaufträge,61411,45,True
60,Hauptaufträge,61411,46,True
61,Nebenaufträge,61411,46,True
62,Hauptaufträge,61411,47,True
63,Nebenaufträge,61411,47,True
64,Hauptaufträge,61411,48,True
65,Nebenaufträge,61411,48,True
66,Hauptaufträge,61411,49,True
67,Nebenaufträge,61411,49,True
68,Hauptaufträge,61411,50,True
69,Nebenaufträge,61411,50,True
70,Hauptaufträge,61411,51,True
71,Nebenaufträge,61411,51,True
72,Hauptaufträge,61411,52,True
73,Nebenaufträge,61411,52,True
74,Freundesvölker (A Realm Reborn),61411,53,True
75,Freundesvölker (Heavensward),61411,53,True
76,Freundesvölker (Stormblood),61411,53,True
77,Freundesvölker (Endwalker),61411,53,True
78,Drachenkrieg (Epilog),61411,54,True
79,Die Heimkehr der Exegeten (Epilog),61411,54,True
80,Neu entdecktes Abenteuer (Epilog),61411,54,True
81,Hildibrands Fälle,61411,55,True
82,Hildibrands Fälle (Heavensward),61411,55,True
83,Hildibrands Fälle (Stormblood),61411,55,True
84,Hildibrands Rückkehr,61411,55,True
85,Manderville-Waffen,61411,55,True
86,Hildibrands Rückkehr (Dawntrail),61411,55,True
87,Zodiak-Waffen,61411,56,True
88,Anima-Waffen,61411,56,True
89,Das Verbotene Land Eureka,61411,56,True
90,Königinnenwache,61411,56,True
91,Phantomwaffen,61411,56,True
92,Annalen der Siebten Katastrophe,61411,58,True
93,Mogry-Post,61411,58,True
94,Sankt Endalim-Theologikum,61411,58,True
95,Das Schicksal des Nichts,61411,58,True
96,Tatarus Wohlstandsmanufaktur,61411,58,True
97,Abenteurer von Doma,61411,57,True
98,Wiederaufbau der Enklave,61411,57,True
99,Hauptaufträge Wiederaufbau Ishgards,61411,57,True
100,Nebenaufträge Wiederaufbau Ishgards,61411,57,True
101,Mowen-Werkzeuge,61411,57,True
102,Palast der Toten,61411,57,True
103,Himmelssäule,61411,57,True
104,Eureka Orthos,61411,57,True
105,Pilgers Pfad,61411,57,True
106,Das Inselparadies,61411,57,True
107,Unstete Gewölbe,61411,57,True
108,Hauptaufträge Kosmo-Erkundung,61411,57,True
109,Nebenaufträge Kosmo-Erkundung,61411,57,True
110,Kreszentia ,61411,57,True
111,Nebenaufträge La Noscea,61411,59,True
112,Nebenaufträge Finsterwald,61411,60,True
113,Nebenaufträge Thanalan,61411,61,True
114,Nebenaufträge Coerthas,61411,62,True
115,Nebenaufträge Mor Dhona,61411,63,True
116,Nebenaufträge Ishgard,61411,64,True
117,Nebenaufträge Abalathia,61411,65,True
118,Nebenaufträge Dravanisches Vorland,61411,66,True
119,Nebenaufträge Dravanisches Hinterland,61411,66,True
120,Nebenaufträge Wallende Nebel,61411,66,True
121,Nebenaufträge Frohehalde,61411,66,True
122,Nebenaufträge Azys Lla,61411,67,True
123,Nebenaufträge Rhalgrs Wacht,61411,68,True
124,Nebenaufträge Grenzland,61411,68,True
125,Nebenaufträge Zinnen,61411,68,True
126,Nebenaufträge Fenn,61411,68,True
127,Nebenaufträge Kugane,61411,70,True
128,Nebenaufträge Rubinsee,61411,69,True
129,Nebenaufträge Yanxia,61411,69,True
