#,Name,Description,NameJP,Quest,Unknown0,Icon,Image,Number,Unknown1,Link,Rarity
0,,,,0,0,0,0,0,0,0,0
1,Bajsaljen Ulgasch,"Volk: Hrothgar
Alter: 54
Herkunft: Bozja

Bajsaljen ist gebürtiger Bozianer und Anführer des bozianischen Widerstands. Er kämpft für die Befreiung seiner Heimat von der Herrschaft des Garleischen Kaiserreichs und die Errichtung eines unabhängigen bozianischen Staates. Er wurde als Student der Medizin in die garleische Armee eingezogen und diente als Sanitäter. Als Anerkennung seiner Verdienste erlangte er schließlich die garleische Staatsbürgerschaft. Kurz nach seiner Rückkehr nach Bozja gründete Bajsaljen eine Familie, doch schon bald wurde er wieder an die Front zurückberufen: zur Niederschlagung der schwelenden Aufstände. In seiner Abwesenheit ereignete sich in der Zitadelle der tragische Bozja-Zwischenfall und seither gelten seine Frau und sein Kind als vermisst. In der Hoffnung, dass sie noch leben, entfernte Bajsaljen sich unerlaubt von seiner Truppe und suchte nach seiner Familie: erfolglos. Bajsaljen wurde der Fahnenflucht angeklagt und eingekerkert.
Nach seiner Freilassung schloss er sich desillusioniert dem bozianischen Widerstand an. Der kriegserfahrene und weise Hrothgar gilt als einer der entschlossensten Widerstandskämpfer gegen das Kaiserreich. Als Gelehrter ist sich Bajsaljen bewusst, dass auf Hass kein neuer Staat gegründet werden kann. Um den Widerstand zu einen und die IV. Legion aus Bozja zu vertreiben, ließ er daher die Leibgarde der Königin wieder ins Leben rufen und plant nun die Wiederherstellung der Waffen der Königinnenwache - ein legendäres Symbol für das vergangene Bozja.",バイシャーエン・ウルガッシュ,69478,0,72556,72501,1,0,0,1
2,Marsak Apella,"Volk: Hrothgar
Alter: 42
Herkunft: Bozja

Marsak ist Mitglied des bozianischen Widerstands. Er dient als rechte Hand von Bajsaljen Ulgasch. Wie viele andere junge Hrothgar wurde auch er von der Armee des Kaiserreichs zum Kriegsdienst gezwungen. Er überlebte den Bozja-Zwischenfall nur, weil er zu jener Zeit Frontdienst leistete, verlor jedoch seine Mutter und Brüder durch die Katastrophe. Das Unglück veränderte sein Leben grundlegend und er beschloss, sich dem bozianischen Widerstand anzuschließen. Seither dient er als Verbindungsoffizier zwischen dem bozianischen Widerstand und den Verbündeten in Doma sowie der Ostaldenard-Handelsgesellschaft. Er ist es auch, der Material und Nachschub für den Widerstand besorgt und die Rekrutierung und Ausbildung neuer Widerstandskämpfer organisiert. Als geschickter Unterhändler genießt er ein hohes Ansehen.
Auch wenn Marsak einen tiefen Groll gegen das Kaiserreich hegt, so ist ihm als ehemaliger Bürger des Reiches auch bewusst, dass nicht alle Garlear der Inbegriff des Bösen sind. Gerade weil er von Natur aus auf Ausgleich besinnt ist und stets mit ruhiger und bestimmter Stimme spricht, schafft er es immer wieder, Kritiker von seinen Positionen zu überzeugen.
Marsak ist nicht nur geschickt im Umgang mit Worten, er weiß auch im Kampf seine Revolver­klinge mit großer Gewandtheit zu führen und seine Kameraden in der Schlacht zu beschützen.",マルシャーク・アペッラ,69478,0,72557,72502,2,0,0,1
3,Xeven Svanasch,"Volk: Hrothgar
Alter: 47
Herkunft: Vermutlich Bozja

Xeven ist Mitglied des bozianischen Widerstands und der neu aufgestellten Königinnenwache. Der genaue Geburtsort des Generals ist unbekannt. Es wird zwar vermutet, dass er Bozianer ist, doch keiner weiß Genaueres über seine Ver­gangen­heit. Darauf angesprochen gibt der verschwiegene Hrothgar lediglich preis, dass er das südlich gelegene Thavnair, das im Fernen Osten liegende Hingashi und Garlemald samt seiner Hauptstadt im kalten Norden bereist habe, um seine magischen Talente zu per­fek­tio­nie­ren.
Die Kunst der Magie selbst erlernte er zum ersten Mal auf seiner Reise nach Eorzea, wo er gemeinsam mit seinem Vater eine Heilung für die mysteriöse Krankheit seiner Mutter in Gridania zu finden hoffte. Doch seine Mutter verstarb, noch bevor sie den Stadt­staat erreichten. Xeven war davon überzeugt, dass diese unerklärliche Krankheit etwas mit der Invasion der Garlear zu tun hatte, und so verwandelte sich seine Trauer allmählich in Wut auf die Besatzer.
Mit dem selbst erlernten Wissen über Magie, das er auf seinen Reisen gewonnen hatte, schloss er sich dem Widerstand an. Bald schon erlangte er unter den Soldaten einen Ruf als gefürchteter Kampfmagier. Manche verglichen ihn gar mit einem Kriegsgott und hofften, von ihm zu lernen, doch er weigerte sich stets, sein Wissen mit anderen zu teilen, da er befürchtete, dass es in den falschen Händen eine fürchterliche Waffe wäre.
Xeven fürchtet den Tod nicht. Im Gegenteil, er sehnt ihn förmlich herbei. Es heißt, er verdanke seine Unerschrockenheit der Prophezeiung eines Wahrsagers, den er einst in einer verlassenen Ruine in Dalmasca traf. Auch wenn er die fremden Worte des Sehers kaum verstehen konnte, wusste er um ihre Bedeutung: Sein Untergang sei besiegelt, wenn die Flammen des Aufstands in Bozja entfacht würden.
Und so schreitet er als stolzes Mitglied der Königinnenwache furchtlos über das Schlachtfeld von Bozja, einen Pfad der Verwüstung hinter sich lassend. Eines Tages - so ist er sich gewiss - wird ihn sein Schicksal ereilen und er wird es mit einem Lächeln begrüßen.",ゼヴェン・スヴァナシュ,69478,0,72558,72503,3,0,0,1
4,Isolde Covey,"Volk: Wiesländer
Alter: 26
Herkunft: Lea Monde, Dalmasca

Isolde ist Mitglied des bozianischen Widerstands und der neu aufgestellten Königinnenwache. Ihre Eltern sind Adelige, die einst vor dem Kaiserreich aus Bozja nach Dalmasca flohen. Doch nachdem auch Dalmasca eine Provinz des Kaiserreichs geworden war und alle bozianischen Flüchtlinge zur Rückkehr gezwungen werden sollten, ließen sie sich stattdessen in Lea Monde nieder, das als sichere Heimstatt für Flüchtlinge galt. Dort wurde Isolde als Bürgerin des Kaiserreiches geboren und genoss eine entsprechend gute Bildung. Schnell entwickelte sie ein Interesse für die Lieder und Balladen der Heimat ihrer Eltern, Bozja.
 Bozianische Musik zeichnet sich durch den Wechsel schneller und langsamer rhythmischer Passagen aus und die Lieder besingen die Schönheit der Natur und das Leben der einfachen Leute. Isolde ging voll und ganz in dieser Musik auf. Zum Klang von Saiten- und Schlaginstrumenten erlernte sie das Tanzen und wurde alsbald bekannt für ihre wilden Tanzschritte und ihren lieblichen Gesang. Sie galt als ein außer­ordent­liches Talent unter den Tänzern Dalmascas. Eine weitere Besonderheit dieser traditionellen Kunst ist die Verwendung von Jagdbögen als Musikinstrument. Und genauso beeindruckend wie Isoldes Tanz und Gesang ist ihr Umgang mit dem Bogen, den sie perfekt beherrscht. Damit ehrt sie eine uralte Kunst, die schon von ihren Vorfahren in Bozja praktiziert wurde, denn jeder bozianische Tänzer war auch ein geschickter Jäger.
Nach ihrer Rückkehr nach Bozja schloss Isolde sich umgehend dem Widerstand an. Auch wenn sie nie in Bozja gelebt hat, empfindet sie eine tiefe Verbundenheit mit der Natur und dem einfachen Volk der Heimat ihrer Eltern. Sie hegt zwar keinen Hass gegen die Garlear, ist aber überzeugt, dass ein Sieg des Widerstands der schnellste Weg zum Frieden ist: für Bozja und für das Kaiserreich.",イソルデ・コヴィー,69478,0,72559,72504,4,0,0,2
5,Stanik Alubov,"Volk: Hrothgar
Alter: 36
Herkunft: Bozja

Stanik ist Mitglied des bozianischen Widerstands und der neu aufgestellten Königinnenwache. Er träumte schon als junger Hrothgar davon, ein Held zu werden. Wie viele Bozianer litt seine Familie unter der Herrschaft des Kaiserreichs Not, und für seine Eltern, die einen kleinen Laden betrieben, bedeutete ein Tag mit wenig Kundschaft ein Tag ohne Brot auf dem Tisch. An eine ordentliche Schulbildung war nicht zu denken, denn auch hierfür fehlten die Gil. Ein Los, das er mit vielen seiner Altersgenossen teilte. Er tat, was er konnte, um für die Familie ein kleines Zubrot zu verdienen, sei es, indem er auf andere Kinder aufpasste oder indem er die Schuhe der Edelleute putzte. Nie kam ihm die Idee, von anderen zu stehlen oder anderweitig der Kriminalität zu verfallen, denn seine aufrichtigen und stets würdevollen Eltern hatten ihn gelehrt, dass Armut keine Ausrede dafür sei, Unrecht zu tun.
Stanik war gerade fünfzehn Jahre alt geworden, da stellte er sich einem Rekrutierer der Kaiserlichen Armee vor und wurde Soldat. Er tat dies nicht, um Ruhm auf dem Schlachtfeld zu erwerben oder seinen Traum vom Heldentum zu erfüllen, sondern einzig, damit er seinen Eltern nicht mehr zur Last fallen würde. Was er an Sold verdiente, schickte er an seine Eltern, um ihnen das Leben ein wenig zu erleichtern. Es war nicht viel, aber es gab ihm wenigstens das Gefühl, etwas Gutes zu tun und er hoffte, dass seine Eltern auf ihn stolz sein würden. Die Briefe, die er von seinen Eltern erhielt, halfen ihm, die Härten des Soldatenlebens zu ertragen und gaben ihm die Gewissheit, dass seine Eltern noch lebten.
Eines Tages, als Stanik mit seiner Einheit in einer weit entfernten Provinz seinen Dienst verrichtete, erreichte ihn ein letzter Brief von seinen Eltern. Er war genau einen Tag vor dem Bozja-Vorfall, der seine Heimatstadt verwüstete, abgeschickt worden.",スタニック・アルボフ,69478,0,72560,72505,5,0,0,1
6,Blaz Azetina,"Volk: Hrothgar
Alter: 25
Herkunft: Doma

Blaz ist Mitglied des bozianischen Widerstands und der neu aufgestellten Königinnenwache. Er ist ein begnadeter Samurai, der als ein Schüler der berühmten Kampfschule „Der Grüne Pfad“ zahlreiche Kampftechniken beherrscht, vom unbewaffneten Kampf über Speerkampf bis hin zum Schwertkampf. Eigentlich war es Absolventen des Grünen Pfades verboten, sich dem Widerstand anzuschließen, denn die Philosophie der Kampfschule war es, den Geist zu schärfen und nicht das Blutvergießen zu per­fek­tio­nie­ren. Doch als der Aufstand in Bozja entflammte, überkam viele Schüler die Wut gegen das Kaiserreich und einige schlossen sich den Mahnungen ihrer Meister zum Trotz dem Widerstand an. Der Grüne Pfad verstieß die Hitzköpfe, entsagte sich dem Konflikt und konnte so die Neutralität gegenüber den Garlearn bewahren.
Blaz' Vater war selbst direkter Nachfahre des Gründers des Grünen Pfades, doch auch sein Zorn gegen das Kaiserreich war groß und er schloss sich, der Konsequenzen voll bewusst, dem Widerstand an. Der Aufstand wurde jedoch vom Kaiserreich blutig nieder­ge­schlagen und seinem Vater blieb keine andere Wahl, als nach Doma zu fliehen. Dort fand er nicht nur Unterschlupf, sondern auch seine Liebe, mit der er schließlich eine Familie gründete.
Blaz stieg in die Fußstapfen seines Vaters und erlangte schnell Meis­ter­schaft unter den Samurai, was seinen Vater mit Stolz erfüllte. Als Hien schließlich aus dem Exil nach Doma zurückkehrte und die Rebellion gegen das Kaiserreich anführte, zögerte er nicht und schloss sich den Rebellen an, um seine Schuld gegenüber Doma zu begleichen. Nachdem das Kaiserreich besiegt war, wollte Blaz eigentlich auf Reisen gehen, doch als er von der Eorzäischen Allianz und dem Widerstand in Bozja erfuhr, war ihm klar, dass er in die Heimat seines Vaters zurückkehren musste.
Wie es das Schicksal wollte, hatte der Grüne Pfad seine lang gepflegte Zurückhaltung aufgegeben und sich offiziell dem Widerstand angeschlossen, als Blaz nach Bozja zurückkehrte. Man bot ihm umgehend an, in den Reihen des Grünen Pfades die Kunst der Samurai zu lehren, doch Blaz lehnte die Ehre ab, denn er war fest entschlossen, dem Widerstand als Mitglied der jüngst wiedererschaffenen Königinnenwache beizutreten. Sein Vater war derweil dahingeschieden, doch Blaz hatte sich geschworen, sein Andenken zu ehren, indem er helfen würde, die Freiheit Bozjas wiederzugewinnen.",ブラズ・アゼティナ,69478,0,72561,72506,6,0,0,3
7,Velibor Azetina,"Volk: Hrothgar
Alter: 24
Herkunft: Zetina, Bozja

Velibor ist Mitglied des bozianischen Widerstands und der neu aufgestellten Königinnenwache. Er ist Cousin zweiten Grades von Blaz und ebenfalls ein direkter Abkömmling des Gründers des Grünen Pfades, einer berühmten bozianischen Kampfkunstschule, die eine Vielzahl an Kampfkünsten lehrt, begonnen mit dem waffenlosen Kampf über den Kampf mit dem Speer, bis hin zum Schwertkampf.
Der Grüne Pfad ist eine traditionsreiche Institution, die auf eine stolze Geschichte von mehr als zweihundert Jahren zurückblicken kann. Als das Kaiserreich das kleine Bozja überfiel, erhoben sich viele Schüler des Grünen Pfades gegen die Invasoren, doch der geballten Macht des Kaiserreiches hatten sie nur wenig entgegenzusetzen. Der Legat der IV. Legion, Basch van Gabranth, hielt es für eine ehrbare, aber unnütze Verschwendung von Talent und versprach dem Anführer eine Amnestie für die Mitglieder des Grünen Pfades, sollten sie sich dem Kaiserreich unterwerfen. Der Meister der Schule akzeptierte das Angebot und ergab sich im Gegenzug den Henkern des Kaiserreichs, um ein Blutbad unter seinen Schülern zu verhindern.
Velibors Mutter übernahm daraufhin die Leitung der Schule von ihrem Mann und bewahrte die Vereinbarung, die dieser mit dem Kaiserreich getroffen hatte. Dem ersten Aufruhr folgten weitere gegen das Kaiserreich und immer wieder schlossen sich Schüler den Widerständlern an, doch Velibors Mutter hielt sich strikt an die selbstauferlegte Neutralität und verbannte aufständische Schüler ohne Ausnahme aus den Reihen des Grünen Pfades. Lange bewahrte sie so die Kampfschule vor der eisernen Faust der Garlear, bis zu ihrem letzten Lebtag. An ihrem Todesbett ließ sie ihren Sohn wissen: „Ich habe den Pakt mit Gabranth stets bewahrt, so wie es der Wunsch deines Vaters war. Er opferte sich aus Liebe zu seinen Schülern. Aber du sollst dich nicht daran gebunden fühlen. Eine neue Zeit ist angebrochen ... “
Als Blaz in Bozja eintraf, deckten sich die Ziele des Grünen Pfads mit denen des Heimkehrers und Velibor erkannte in seinem Cousin das gleiche Feuer, das auch in seiner eigenen Brust brannte. Velibor sah Blaz eher wie einen Bruder, und bald entwickelte sich eine Art freundschaftlicher Rivalität zwischen den beiden, aus der neue Kampftechniken hervorgingen. Während sie sich gegenseitig zu neuen Höhen anspornten, schloss sich der Grüne Pfad offiziell dem Widerstand gegen das Kaiserreich an. Velibor schwingt heute sein Großschwert in der Schlacht, fest in dem Glauben, dass jeder Hieb ihn ein Stück näher an sein Ziel bringt: ein freies Bozja.",ヴェリボル・アゼティナ,69478,0,72562,72507,7,0,0,3
8,Aggie Glover,"Volk: Wiesländer
Alter: 17
Herkunft: Martarvest, Bozja

Aggie ist Mitglied des bozianischen Widerstands und der neu aufgestellten Königinnenwache. Als Schülerin der berühmten Kampfschule „Der Grüne Pfad“ beherrscht sie zahlreiche Kampftechniken: unbewaffneten Kampf, Speerkampf und Schwertkampf.
Sie kennt weder ihre Eltern noch ihren wahren Namen. Der Rufname „Aggie“ wurde ihr von einem der kaiserlichen Schreiber ihrer Geburtsstadt Martarvest verliehen, der sie an einem eisigen Wintermorgen vor dem Erfrierungstod in einer Seitengasse der Stadt bewahrte. Die alte bozianische Hafenstadt war das Zuhause von etwa zweihunderttausend Seelen und zog Arbeiter überall aus der Umgebung an. Trotz ihres relativen Wohlstands waren die Straßen gefüllt mit Landstreichern und Waisenkindern, die ihr bitteres Schicksal dem Krieg, Krankheit oder der harten Hand des Kaiserreichs zu verdanken hatten. Viele von ihnen suchten Zuflucht unter den Brücken oder in den Abwasserkanälen der Stadt. Aggie war eines dieser zahlreichen „Kanalkinder“, wie die Waisen oft genannt wurden. Ihr fehlt jegliche Erinnerung an die Zeit, bevor sie von den Behörden der Stadt in Obhut genommen wurde und damit auch an ihre eigenen Eltern. Zu jener Zeit war sie so von den erlebten Härten gezeichnet, dass sie nicht einmal sprechen konnte.
Das Schicksal hatte jedoch ein Erbarmen und so kam es, dass man sie in die Obhut des Grünen Pfades übergab, wo sie als Schülerin eine wundersame Ver­wand­lung durchmachte. Das einst leblos wirkende, verstummte Kind lernte Lesen und Schreiben und blühte regelrecht unter ihren neuen Geschwistern auf.
Besonders Blaz und Velibor hatte sie ins Herz geschlossen und gab alles, um ihren Brüdern in nichts nachzustehen. Sie war ein talentiertes Kind, doch ihr wahres Genie offenbarte sich, als sie bereits mit 16 Jahren zur Meisterin des Faustkampfes ernannt wurde. Als sich Blaz und Velibor dem Widerstand anschlossen, zögerte sie nicht und folgte ihrem Beispiel. Ihr Frohmut und ihre Lebensfreude brachten den Sonnenschein auf die schlammigen Schlachtfelder und sie war beliebt bei allen Kameraden.
An dem Tag, als sie zur Königinnenwache berufen wurde, war die Freude ihrer Brüder überschwänglich, aber insgeheim vermutete sie, dass die Entscheidung Bajsaljens womöglich politische Gründe hatte. Doch sie zerbrach sich nicht lange den Kopf darüber, sondern tat, was sie am besten konnte: Sie setzte ihre vortrefflichen Kampfkünste für etwas Gutes ein und war dabei ein strahlendes Vorbild für ihre Kameraden.",アギー・グローヴァー,69478,0,72563,72508,8,0,0,1
9,Hernais pyr Longus,"Volk: Hochländer
Alter: 24
Herkunft: Monfalcone, ehemalige Republik Landis

Hernais ist Hauptmann des Bestientrupps der IV. Kaiserlichen Legion. Schon als er sich als junger Mann der Kaiserlichen Armee anschloss, hegte er eine gewisse Bewunderung für Lyon rem Helsos. Der Bestienkönig war berüchtigt für seine un­kon­ven­tio­nel­len Taktiken und sein Talent, sich den schnell ändernden Gegebenheiten des Schlachtfeldes anzupassen: sicherlich nichts, was man an einer kaiserlichen Militärakademie lehren würde. Sein grobschlächtiges Äußeres und seine ungehobelten Manieren taten ihr Übriges zu seinem zweifelhaften Ruf. Und so war es nicht verwunderlich, dass ihn die anderen Kommandanten der Legion als einen ungehobelten Barbaren verachteten.
Hernais dachte am Anfang ähnlich über den Bestienkönig, doch seine Meinung änderte sich schlagartig, als er vor vier Jahren mit der IV. Legion zur Bekämpfung des Aufstands nach Dalmasca versetzt wurde. Auch wenn der Außenseiter unter den Kommandanten der Legion tatsächlich wie ein Hinterwäldler daherredete, kannte er doch jeden einzelnen seiner Untergebenen Soldaten beim Namen und wusste um jede seiner Stärken und Schwächen. In der Schlacht hielt er sich nicht wie andere Kommandanten von der Gefahr fern, sondern führte seine Soldaten unerschrocken an vorderster Front. Sein Motto „Nur die Starken überleben“ leuchtete Hernais schnell ein, denn bald erkannte er, dass es tatsächlich die Unfähigen und Mutlosen waren, die im Kampf als Erstes fielen. Lyon zögerte auch nie, seine geliebten Kreaturen in den Kampf zu schicken, um das Leben seiner Untergebenen zu schonen. Und so lernte er auch Lyons Obsession mit wilden Tieren zu verstehen: Lyon behandelte sie wie seine eigenen Kinder, die den nächsten Morgen nicht erleben würden und war offensichtlich ob ihrer brutalen Eleganz und ihrem Tanz auf Messers Schneide fasziniert. Überzeugt von Lyons weniger offensichtlichen Qualitäten, zögerte Hernais nicht länger und beantragte die Versetzung in Lyon rem Helsos' Einheit, um fortan als Bote seines neuen Meisters zu dienen. 
Folgende Worte wurden bei einer Unterredung mit dem Tageblatt „Neugierde“ aus Monfalcone aufgezeichnet:
Schreiber: „Eure Kameraden in der Legion bezeichnen Euch als „den Hund“ wegen Eurer geradezu blinden Loyalität zu Eurem Kommandanten. Kratzt das nicht an Eurem Ehrgefühl?“
Hernais: „Nicht im Geringsten. Das ist nichts als neiderfülltes Gerede.“
Schreiber: „Warum glaubt Ihr, dass man Euch beneidet?“
Hernais: „Der Ehrgeiz zerreißt diese Narren innerlich. Sie beugen sich den Befehlen ihrer Vorgesetzten mit falschem Lächeln, aber in Wahrheit können sie es kaum ertragen, Befehle zu befolgen.“
Schreiber: „Sicher, es liegt in der Natur des Soldaten, Befehle zu befolgen. Aber ist es nicht auch natürlich, seine Befehle von Zeit zu Zeit in Zweifel zu ziehen?“
Hernais: „Nein, niemals. Ich folge dem Bestienkönig blind. Der Spott der Neider kann mir und meiner Loyalität nichts anhaben.“
Schreiber: „... Danke. Und was haltet Ihr davon, Kommandant Lyon?“
Lyon: „Hm? Was? Ach, der Junge? Hatte ihn ganz vergessen. Pah, der Bastard ist wie ein beißwütiger Welpe. Gebleckte Zähne und ein höllisches Knurren in der Kehle. Hmpf. Zu schade, dass die kleinen Beißer selten lang genug leben, um zu großen Bestien heranzuwachsen.“
Schreiber: „Äh ... Vielen Dank für Eure Zeit.“",エルネイス・ピル・ロングス,69478,0,72565,72510,10,0,0,3
