#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Type
0,,,,,,0,0,0,1,0,0,0,0,0
1,Gürtel[p] der Vitalität,Gürtel[p] der Vitalität,Gürtel der Vitalität,Maximal-LP + 20 %,Erhöht die Maximal-LP.,4,2,0,1,0,0,243001,98,1
2,Opferring,Opferringe,Opferring,"Belebt dich bei Kampfunfähigkeit wieder und opfert dafür die gerufene Bestie. Wirkt nur, wenn eine Bestie gerufen ist.","Opfert die Bestie, um den Bestienbändiger wiederzubeleben.",4,2,0,1,0,0,243002,35,1
3,Ring[p] der Heilung,Ringe[p] der Heilung,Ring der Heilung,Regeneriert nach Kämpfen 25 % der Maximal-LP.,Regeneriert nach Kämpfen LP.,4,2,0,1,0,0,243003,175,1
4,Arzneibeutel,Arzneibeutel,Arzneibeutel,Gewährt beim Rasten im Zelt einen zufälligen Bestien-Heiltrank.,Gewährt beim Rasten einen Bestien-Heiltrank.,4,2,0,1,0,0,243004,35,1
5,verhext[a] Hut,verhext[a] Hüte,Verhexter Hut,Magische Verwundbarkeit - 10 %,Verringert erlittenen magischen Schaden.,4,2,0,1,0,0,243005,56,1
6,Stahlrüstung,Stahlrüstungen,Stahlrüstung,Physische Verwundbarkeit - 15 %,Verringert erlittenen physischen Schaden.,3,1,0,1,1,0,243006,63,1
7,Krone[p] der Wildheit,Krone[p] der Wildheit,Krone der Wildheit,"Ausgeteilter physischer Schaden + 10 %
Kritische Trefferrate + 3 %
※ Effekt wirkt auch auf die gerufene Bestie.",Erhöht den ausgeteilten physischen Schaden und die kritische Trefferrate (auch bei der Bestie).,3,1,0,1,1,0,243007,190,1
8,Stab[p] der Weisheit,Stäbe[p] der Weisheit,Stab der Weisheit,"Ausgeteilter magischer Schaden + 20 %
※ Effekt wirkt auch auf die gerufene Bestie.",Erhöht den ausgeteilten magischen Schaden (auch bei der Bestie).,4,2,0,1,0,0,243008,190,1
9,Kraftreif,Kraftreife,Kraftreif,"Ausgeteilter physischer Schaden + 12 %
Ausweichrate + 3 %",Erhöht den ausgeteilten physischen Schaden und die Ausweichrate.,4,2,0,1,0,0,243009,174,1
