#,Name0,Name1,Name2,PlaceName,Location,SortKey
0,Deaktiviert,無効,無効,0,0,0
1,Welt,world,welt,0,0,1
2,Limsa Lominsa,Limsa Lominsa,lims,500,1,2
3,La Noscea,La Noscea,nosc,502,1,3
4,Die Wolfshöhle,The Wolves' Den,wolf,501,1,4
5,Gridania,Gridania,grid,506,2,5
6,Finsterwald,The Black Shroud,fins,507,2,6
7,Ul'dah,Ul'dah,ulda,504,3,7
8,Thanalan,Thanalan,than,505,3,8
9,Gold Saucer,The Gold Saucer,gold,503,3,9
10,Ishgard,Ishgard,ishg,512,4,10
11,Coerthas,Coerthas,coer,508,4,11
12,Abalathisches Wolkenmeer,Abalathia's Spine,abal,510,4,12
13,Frohehalde,Idyllshire,froh,4136,4,13
14,Dravania,Dravania,drav,511,4,14
15,Rhalgrs Wacht,Rhalgr's Reach,ralg,4137,5,15
16,Gyr Abania,Gyr Abania,gyra,514,5,16
17,Kugane,Kugane,kuga,513,6,17
18,Othard,Othard,otha,515,6,18
19,Radz-at-Han,Radz-at-Han,radz,3745,7,19
20,Thavnair,Thavnair,thav,3741,7,20
21,Garlemald,Garlemald,garl,4138,7,21
22,Crystarium,The Crystarium,crys,516,8,22
23,Eulmore,Eulmore,eulm,517,8,23
24,Norvrandt,Norvrandt,norv,518,8,24
25,Mor Dhona,Mor Dhona,mord,509,9,25
26,Alt-Sharlayan,Old Sharlayan,alts,3744,11,26
27,Labyrinthos,Labyrinthos,laby,3740,11,27
28,Kosmos,The Sea of Stars,kosm,3742,9,28
29,Unzersplitterte Welt,The World Unsundered,Unzersplitterte Welt,3743,9,29
30,Andere Orte,Elsewhere,andort,519,9,35
31,Tuliyollal,Tuliyollal,tuli,4515,10,30
32,Yok Tural,Yok Tural,yokt,4511,10,31
33,Xak Tural,Xak Tural,xakt,4512,10,32
34,Lösung Neun,Solution Nine,lösu,4514,10,33
35,Unverlorene Welt,Unlost World,Unverlorene Welt,4513,9,34
