#,Name,Question,PopRange,ConditionSuccessEvent,ConditionFailEvent,ConfirmEvent,TerritoryType,WarpCondition,WarpLogic,StartCutscene,EndCutscene,CanSkipCutscene
131072,,,0,0,0,0,0,1,1,0,0,False
131073,,,2040811,0,0,0,148,2,2,0,0,False
131074,,Ins Kommandozimmer von Nophicas Schar eintreten?,3884000,590352,590353,0,204,3,1,0,0,False
131075,,Das Kommandozimmer verlassen?,3884182,0,0,0,132,1,1,0,0,False
131076,,Den Wasserrosentisch verlassen?,3878860,0,0,0,133,1,1,0,0,False
131077,Zum Honigblumen-Steg,An Bord gehen?,1381039,590354,590355,0,152,4,1,0,0,False
131078,,An Bord gehen?,1381038,590356,590259,0,133,4,1,0,0,False
131079,,,4124796,0,0,0,177,5,3,0,0,False
131080,,,1359058,0,0,0,179,5,4,0,0,False
131081,,,4124801,0,0,0,178,5,5,0,0,False
131082,,Das Zimmer verlassen?,4125264,0,0,0,128,1,1,0,0,False
131083,,Das Zimmer verlassen?,2232680,0,0,0,132,1,1,0,0,False
131084,,Das Zimmer verlassen?,4125288,0,0,0,130,1,1,0,0,False
131085,,Die Silberhalle verlassen?,4107979,0,0,0,131,1,1,0,0,False
131086,,Für 40 Gil zur Mondsichel-Bucht übersetzen?,4143657,590441,590620,590448,140,6,1,0,0,False
131087,,Für 40 Gil zum Silberbasar übersetzen?,4143677,590442,590621,590449,140,6,1,0,0,False
131088,,Den Sonnenwind betreten?,4107477,0,590450,0,212,7,1,0,0,False
131089,,Den Sonnenwind verlassen?,4132388,0,0,0,140,1,1,0,0,False
131090,,Den Saal der Morgenröte betreten?,4148347,0,590564,0,212,21,1,0,0,False
131091,,Den Saal der Morgenröte verlassen?,4148350,0,0,0,212,1,1,0,0,False
131092,Zum Luftschiff-Landeplatz (3. OG),Zum Luftschiff-Landeplatz (3. OG) fahren?,4158063,0,0,0,128,1,1,0,0,False
131093,Zur Aben­teurer­gilde in der Ertränkten Sorge (1. OG),Zur Aben­teurer­gilde in der Ertränkten Sorge (1. OG) fahren?,4158069,0,0,0,128,1,1,0,0,False
131094,Zur Bollwerkhalle (EG),Zur Bollwerkhalle (EG) fahren?,4161445,0,0,0,129,1,1,0,0,False
131095,Zum Luftschiff-Landeplatz (3. OG),Zum Luftschiff-Landeplatz (3. OG) fahren?,4164411,0,0,0,130,1,1,0,0,False
131096,Zur Ebene der Redner (1. OG),Zur Ebene der Redner (1. OG) fahren?,4164414,0,0,0,131,1,1,0,0,False
131097,Zum Rubinstraßenmarkt (EG),Zum Rubinstraßenmarkt (EG) fahren?,4164413,0,0,0,130,1,1,0,0,False
131098,,Die Silberhalle betreten?,4087066,590451,590452,0,210,8,1,0,0,False
131099,,Den Bereich betreten?,4165046,590611,0,0,146,1,1,0,0,False
131100,,Diesen Bereich verlassen?,4165037,590610,0,0,145,1,1,0,0,False
131101,Nach Gridania,Für 120 Gil nach Gridania reisen?,4103382,0,590530,590453,132,9,1,227,232,True
131102,Nach Limsa Lominsa,Für 120 Gil nach Limsa Lominsa reisen?,4103399,0,590530,590453,128,9,1,227,230,True
131103,Nach Ul'dah,Für 120 Gil nach Ul'dah reisen?,4103339,0,589916,590454,130,9,1,231,228,True
131104,Nach Limsa Lominsa,Für 120 Gil nach Limsa Lominsa reisen?,4103399,0,589916,590454,128,9,1,231,230,True
131105,Nach Ul'dah,Für 120 Gil nach Ul'dah reisen?,4103339,0,590531,590455,130,9,1,229,228,True
131106,Nach Gridania,Für 120 Gil nach Gridania reisen?,4103382,0,590531,590455,132,9,1,229,232,True
131107,,Für 80 Gil nach Limsa Lominsa reisen?,4165398,0,591076,590456,129,10,1,235,234,True
131108,,Für 80 Gil zur Bucht des Abendsterns reisen?,4165376,0,591077,590457,140,10,1,233,236,True
131109,Zum Bierhafen,Für 40 Gil zum Bierhafen reisen?,4165794,590514,590515,590622,138,11,1,0,0,False
131110,Nach Limsa Lominsa,Für 40 Gil nach Limsa Lominsa reisen?,4165749,590516,590517,590623,129,11,1,0,0,False
131111,Zur Sonnenküste,Für 40 Gil zur Sonnenküste reisen?,4165755,590518,590519,590624,137,12,1,0,0,False
131112,Nach Limsa Lominsa,Für 40 Gil nach Limsa Lominsa reisen?,4165749,590520,590521,590625,129,12,1,0,0,False
131113,Zu Jijiroons Handelsposten,Für 40 Gil zu Jijiroons Handelsposten reisen?,4165801,590510,0,590511,139,13,1,0,0,False
131114,Zu Memeroons Handelsposten,Für 40 Gil zu Memeroons Handelsposten reisen?,4165797,590512,0,590513,139,13,1,0,0,False
131115,Zum Bierhafen,Für 40 Gil zum Bierhafen reisen?,4165794,590522,590626,590628,138,14,1,0,0,False
131116,Zum Kerzenwacht-Kai,Für 40 Gil zum Kerzenwacht-Kai reisen?,4165877,590523,590627,590629,135,14,1,0,0,False
131117,Zum Tiefen Wald,Die Weißwolf-Pforte durchschreiten?,1317627,590524,590525,0,148,15,1,0,0,False
131118,,Gridania betreten?,1317561,590529,590526,0,132,15,1,0,0,False
131119,Zur Regenfänger-Rinne,Für 40 Gil zur Regenfänger-Rinne reisen?,4165759,590527,0,590630,137,16,1,0,0,False
131120,Zum Verborgenen Wasserfall,Für 40 Gil zum Verborgenen Wasserfall reisen?,4165758,590528,0,590631,137,16,1,0,0,False
131121,Zum Wasserrosentisch,Zum Wasserrosentisch weitergehen?,3877982,590535,590536,0,205,19,1,0,0,False
131122,Zur Admiralsbrücke,Die Admiralsbrücke betreten?,4146949,590563,0,0,198,20,1,0,0,False
131123,,Die Admiralsbrücke verlassen?,4169071,0,0,0,129,1,1,0,0,False
131124,,,4190590,0,0,0,134,2,2,0,0,False
131125,,,4189532,0,0,0,141,2,2,0,0,False
131126,,Zum Minotauren-Malm reisen?,4165939,590603,0,0,146,1,1,0,0,False
131127,,Zu Nalds Besinnung reisen?,4165935,590604,0,0,146,1,1,0,0,False
131128,,Vom Landebereich in den Wartebereich zurückgehen?,4103339,590607,0,0,130,1,1,0,0,False
131129,,Vom Landebereich in den Wartebereich zurückgehen?,4103382,590608,0,0,132,1,1,0,0,False
131130,,Vom Landebereich in den Wartebereich zurückgehen?,4103399,590609,0,0,128,1,1,0,0,False
131131,Zur Wolfshöhle,Zur Wolfshöhle übersetzen?,4264415,590632,0,0,250,1,1,0,0,False
131132,Zu den Moraby-Trockendocks,Zu den Moraby-Trockendocks übersetzen?,4264426,590633,0,0,135,1,1,0,0,False
131133,Zum Bierhafen,Zum Bierhafen reisen?,4165794,590634,0,0,138,1,1,0,0,False
131134,Zu den Phantominseln,Für 40 Gil zu den Phantominseln reisen?,4264587,590635,590636,590637,138,22,1,0,0,False
131135,Zum Bierhafen,Zum Bierhafen reisen?,4165794,0,0,0,138,1,1,0,0,False
131136,Zum Schlangennest,Für 40 Gil zum Schlangennest reisen?,4264605,590638,590639,590640,138,23,1,0,0,False
131137,,Cids Werkstatt verlassen?,4321669,0,0,0,156,1,1,0,0,False
131138,,Nach Gridania reisen?,4102803,590843,0,0,132,1,1,0,0,False
131139,,Die Verschlungenen Schatten von Bahamut verlassen?,4332112,0,0,0,137,1,1,0,0,False
131140,,Die Verschlungenen Schatten von Bahamut verlassen?,4332121,0,0,0,147,1,1,0,390,False
131141,,Den Lift aktivieren?,4331241,0,0,0,247,1,1,389,0,False
131142,,Den Saal der Morgenröte betreten?,4498658,0,0,0,351,1,1,0,0,False
131143,,Den Saal der Morgenröte verlassen?,4498656,0,0,0,351,1,1,0,0,False
131144,,Den Sonnenstein betreten?,4498659,0,0,0,351,1,1,0,0,False
131145,,Den Sonnenstein verlassen?,4498857,0,0,0,156,1,1,0,0,False
131146,,Vor die Acht Wächter treten?,4506602,0,0,0,156,1,1,0,0,False
131147,,Die Acht Wächter verlassen?,4506605,0,0,0,156,1,1,0,0,False
131148,,Das Gebäude betreten?,0,0,0,0,0,1,6,0,0,False
131149,,Das Gebäude verlassen?,0,0,0,0,0,1,7,0,0,False
131150,,,4549235,591149,0,0,340,1,1,0,0,False
131151,,,4549391,591150,0,0,148,1,1,0,0,False
131152,,Das Alchemielabor des 13. Ordens verlassen?,4618997,0,0,0,180,1,1,0,0,False
131153,,Zu Novvs Aufzucht zurückkehren?,4629135,0,0,0,138,1,1,0,0,False
131154,,Zu Novvs Aufzucht zurückkehren?,4629135,0,0,0,138,1,1,0,0,False
131155,,Zu Novvs Aufzucht zurückkehren?,4629135,0,0,0,138,1,1,0,0,False
131156,,Zu Novvs Aufzucht zurückkehren?,4629135,0,0,0,138,1,1,0,0,False
131157,,Zu Novvs Aufzucht zurückkehren?,4629135,0,0,0,138,1,1,0,0,False
131158,Zu den Lavendelbeeten,Die Lavendelbeete betreten?,4549235,591254,591260,0,340,24,1,0,0,False
131159,,,1381038,591255,591261,0,133,24,1,0,0,False
131160,Zum Dorf des Nebels,Das Dorf des Nebels betreten?,4664433,591256,591262,0,339,25,1,0,0,False
131161,,,4165749,591257,591263,0,129,25,1,0,0,False
131162,,,4656744,591258,591264,0,341,26,1,0,0,False
131163,,,4660251,591259,591265,0,131,26,1,0,0,False
131164,,Das Tiefste Innere verlassen?,4678209,0,0,0,154,1,1,0,0,False
131165,,Die Verschlungenen Schatten verlassen?,4332121,0,0,0,147,1,1,0,0,False
131166,,Das Empfangszimmer betreten?,5036036,591750,0,0,395,1,1,0,0,False
131167,,Das Empfangszimmer verlassen?,5036025,0,0,0,155,1,1,0,0,False
131168,,Die Elfenbein-Kapelle verlassen?,5038695,0,0,0,152,1,1,0,0,False
131169,Zum Großen Schoner,Zum Großen Schoner übersetzen?,5049372,590097,0,0,137,1,1,0,0,False
131170,Zur Sonnenküste,Zur Sonnenküste zurückkehren?,4165755,590098,0,0,137,1,1,0,0,False
131171,,Die Schurkengilde verlassen?,5341046,0,0,0,129,1,1,0,0,False
131172,Zur Schurkengilde,Die Schurkengilde betreten?,5341051,591865,0,0,129,27,1,0,0,False
131173,,Das alte Bootshaus verlassen?,5341521,0,0,0,137,1,1,0,0,False
131174,Zum alten Bootshaus,Das alte Bootshaus betreten?,5341524,591889,591888,0,137,28,1,0,0,False
131175,,Das Tiefste Innere verlassen?,5404445,0,0,0,147,1,1,0,0,False
131176,,Die Elfenbein-Kapelle betreten?,5038252,0,0,0,392,1,8,0,0,False
131177,,Zum Chocobo-Platz fahren?,5448900,591975,0,0,388,1,1,0,0,False
131178,,Zum Foyer fahren?,5448873,591981,0,0,144,1,1,0,0,False
131179,Zum Gold Saucer,Zum Gold Saucer reisen?,5649379,0,591990,0,144,29,1,0,0,False
131180,Zum Gold Saucer,Zum Gold Saucer reisen?,5649379,0,591990,0,144,29,1,0,0,False
131181,Zum Gold Saucer,Zum Gold Saucer reisen?,5649379,0,591990,0,144,29,1,0,0,False
131182,Nach Limsa Lominsa,Für 120 Gil nach Limsa Lominsa reisen?,4103399,0,0,592264,128,30,1,0,0,False
131183,Nach Ul'dah,Nach Ul'dah reisen?,4103339,0,0,0,130,1,1,0,0,False
131184,Nach Gridania,Für 120 Gil nach Gridania reisen?,4103382,0,0,592264,132,30,1,0,0,False
131185,,Dem Schicksalsweg zum Bogen des Würdigen folgen?,5827477,592249,0,0,418,1,1,0,0,False
131186,,Zum Tor des Urteils gehen?,5835896,592250,0,0,155,1,1,0,0,False
131187,Zur Leichtfeder-Arena,Die Leichtfeder-Arena betreten?,5822019,592251,0,0,439,1,1,0,0,False
131188,Nach Camp Wolkenwipfel,Nach Camp Wolkenwipfel reisen?,5835987,0,0,0,401,1,1,0,0,False
131189,,Zum Himmelblauen Fenster reisen?,5836049,592253,0,0,401,1,1,0,0,False
131190,Nach Azys Lla,Nach Azys Lla reisen?,5836085,592254,0,0,402,1,1,0,0,False
131191,,Das Sankt Endalim-Theologikum betreten?,5821242,592255,0,0,427,1,1,0,0,False
131192,,Das Anwesen der Fortemps betreten?,5822004,592256,0,0,433,1,1,0,0,False
131193,,Das Sankt Endalim-Theologikum verlassen?,5827748,0,0,0,419,1,1,0,0,False
131194,,Die Kommandantur des Großmeisters verlassen?,5827491,0,0,0,418,1,1,0,0,False
131195,,Das Anwesen der Fortemps verlassen?,5827750,0,0,0,419,1,1,0,0,False
131196,,Die Leichtfeder-Arena verlassen?,5827495,0,0,0,418,1,1,0,0,False
131197,,Nach Ishgard reisen?,5835975,592257,0,0,419,1,1,0,0,False
131198,,Nach Ishgard reisen?,5835975,0,0,0,419,1,1,0,0,False
131199,,Zu den Wallenden Nebeln begeben?,5836077,592259,0,0,400,1,1,0,0,False
131200,,Zum Dravanischen Vorland begeben?,5836076,0,0,0,398,1,1,0,0,False
131201,,Matoyas Höhle betreten?,5851087,0,0,0,463,1,1,0,0,False
131202,,Matoyas Höhle verlassen?,5822097,0,0,0,399,1,1,0,0,False
131203,,Nach Ishgard reisen?,5835975,0,0,0,419,1,1,0,0,False
131204,,,5878288,0,0,0,429,5,9,0,0,False
131205,,Das Zimmer verlassen?,5878405,0,0,0,418,1,1,0,0,False
131206,,Die Opferkammer verlassen?,5857271,0,0,0,398,1,1,0,0,False
