#,Name,Description,UnlockLink,Image,Unknown4,Unknown5,Unknown6
0,,,0,0,0,0,0
1,Ketenramm Blaufystsyn,"Der berühmte Seefahrer aus Limsa Lominsa war keine zwanzig Sommer alt, als er im Jahr 1497 der Sechsten Ära des Lichts in See stach, um einen westlichen Kurs nach Hingashi zu finden. Nach endlos langer Reise verschlug es ihn jedoch nicht in den Fernen Osten, sondern auf den Kontinent Tural, den er selbstverständlich auf eigene Faust erkundete. Dort traf er in Mamook auf den König der Mamool Ja und die beiden jungen Heißblüter schlossen sofort Freundschaft. Gemeinsam bestritten Ketenramm und Gulool Ja Ja ein Abenteuer nach dem nächsten - und dieser Abenteurergeist ist dem Seefahrer auch auf seine alten Tage nicht abhandengekommen. Es ist eben dieser, der ihn die waghalsige Expedition mitten ins gefürchtete Dreieck des Todes antreten ließ.",521,70615,0,3,2
2,Die Trugstadt,"Eine kleine Stadt, die sich an Kreszentias östliche Hügel schmiegt. Bis auf das sanfte Plätschern des zentralen Brunnens liegt sie totenstill dar. Ihre steinernen Gebäude sind zwar überwuchert und zweifelsohne alt, nicht aber verfallen. Dies lässt darauf schließen, dass irgendjemand um den Zustand der Stadt bemüht ist, doch ist weit und breit kein Anwohner zu sehen. Nur im Hafen zeugen die verlassenen Wracks flüchtender Schiffe vom schaurigen Ruf des Dreiecks des Todes, das unter Seefahrern schon seit jeher Angst und Schrecken verbreitet hat.",507,70601,11606900,2,1
3,Archiv,"Ein kurioses Wesen, das einem ebenso kuriosen Sarkophag entstieg. Äußerlich gleicht Archiv einem Tomberry - messerbestückte Schauergestalten der Mythen und Legenden - wirkt selbst aber keineswegs mörderisch. Viel eher ist er ein freundlicher, cleverer Geselle, dessen angeblich enormer Wissensschatz gerade nicht für ihn zugänglich ist. Es könnte an seinem langen Schlaf liegen oder doch eher an dem magischen Siegel, das ihm den Zugriff verwehrt. Nichtsdestotrotz hat Archiv seine Mithilfe beim Erkunden der Insel angeboten und brennt ebenfalls darauf, die Geheimnisse Kreszentias zu lüften.",522,70616,0,3,2
4,Iris,"Iris, ein feenartiges Familiar, erschien kurz nach Archivs ominösen Erwachen und enthüllte, dass sein Wissen hinter einem Siegel verschlossen bleibt. Einzig die Dinge, die du selbst siehst und erlebst, werden sich ihm enthüllen. Sie selbst weiß wenig über die Mission, die sie auf Kreszentia zu erfüllen hat und antwortet auf die meisten Fragen diesbezüglich mit kaum mehr als einem verbalen Schulterzucken. Zumindest konnte Archiv erspüren, dass sie aus demselben Äther geschaffen ist, der die Insel selbst umgibt, womit klar scheint, dass ihr Schöpfer auch gleichzeitig der Herr der Insel sein muss.",523,70617,0,3,2
5,Das Basislager der Expedition,"Der Spähtrupp der Expedition hat sich die größte Mühe gegeben, die perfekte Stelle für das Basislager zu finden, das als Stützpunkt zur Erkundung des südlichen Kreszentias dienen soll. Die noch übrigen Mauern, Tore und Türme zeugen davon, dass dieser Ort wohl auch in der Vergangenheit einer ähnlichen Rolle gedient haben muss. Er bietet damit optimalen Schutz vor der aggressiven Fauna. Auch erweist sich der noch intakte Ätheryt als ein wahrer Segen für die gesamte Unternehmung. Es ist interessant hervorzuheben, dass sich der architektonische Stil der Ruinen maßgeblich von Trugstadt unterscheidet. Auch über die jeweiligen Erbauer ist wenig bekannt. Aber sicherlich wird dieser Ort doch einst bevölkert gewesen sein?",508,70602,11606902,2,1
6,Phantomjobs,"Kreszentia birgt uralte Zauber und Kampftechniken, die sich in kleinen Kristallen namens „Seelensplittern“ wiederfinden. Auf irgendeine Art und Weise stehen diese Splitter mit der magischen Barriere in Verbindung, die die ganze Insel umgibt, denn ihr wertvolles Wissen bleibt verborgen, sobald man Kreszentia verlässt. Sind sie aber intakt, entfesseln sich die Erinnerungen alter Meister auf spektakuläre Art und Weise. Besonders Archiv zeigt sich begeistert von dieser Entdeckung und empfiehlt mit Nachdruck, diese alten Techniken aufs Äußerste zu nutzen.",536,70630,0,5,4
7,Die Verlorene Festung,"Diese riesige Festung, die über dem südlichen Teil der Insel thront, besticht durch ihre einzigartige Architektur. Zusammengesetzt aus unzähligen Steinen unterschiedlichster Größe schlendert doch kein Bewohner durch ihre imposanten Gänge, und niemand betrachtet die liebevoll gestalteten Rautenmuster und hohen Kuppeln. Es besteht kein Zweifel daran, dass dieses alte Gemäuer dem Stil des alten Amdapors entspricht, das im Tiefen Wald teilweise freigelegt worden ist. Auch seine Wächter, die belebten Steinstatuen, sind eine Charakteristik dieser vergangenen Zivilisation.",509,70603,11606904,2,1
8,Die Münzkröte,"Dieses Familiar ist eine Variante einer großen Landschildkröte, hat aber ansonsten wenig mit ihr gemein. Auf magische Art und Weise scheint die Kreatur der Sprache mächtig zu sein und besitzt, woher auch immer, einen ausgeprägten Sinn fürs Geschäftliche. Hartnäckig versucht sie, ihren Tand zu verkaufen, der zu allem Überfluss auch noch verflucht ist. Weshalb irgendjemand ein solch lästiges Familiar ersinnen sollte, ist fraglich, aber zumindest lässt die ganze Fluchthematik, die diese Schildkröte umgibt, eine Sache vermuten: Sie könnte in Verbindung zu Skalla stehen, eben jener Hochkultur, die einst in Gyr Abania erblühte.",530,70624,0,4,3
9,Trughalde,"Von diesem Strand aus hat man einen traumhaften Blick über den südlichen Teil der Insel. An klaren Tagen ragt gar der gegabelte Turm, einer schemenhaften Fata Morgana gleich, über Kreszentias Horizont. Den Strand selbst zieren kreisrunde Ruinen, deren kegelartige Säulen sich scharf gegen das blaue Meer absetzen. Sie ähneln Trugstadt in ihrer Gestalt und erinnern stark an die Küstenstadt Nym, die während der Fünften Ära des Lichts auf der Insel Vylbrand thronte. Während Trugstadt den Anschein einer ordinären Stadt hat, scheinen diese Bauten eher religiösen Ursprungs zu sein.",510,70604,11606906,2,1
