#,Unknown0,Unknown1,Unknown2,Unknown3
0,,,,
1,"Als du den Fledermausfisch fängst, spürst noch etwas in der Nähe lauern.","Als du den Fledermausfisch fängst, spürst du wieder etwas in der Nähe lauern.","Als du den Fledermausfisch fängst, spürst du ganz deutlich etwas in der Nähe!",In der Nähe ist ein seltenes Seetier aufgetaucht!
2,"Als du den Ichthyosaurus fängst, spürst du noch etwas in der Nähe lauern.","Als du den Ichthyosaurus fängst, spürst du wieder etwas in der Nähe lauern.","Als du den Ichthyosaurus fängst, spürst du ganz deutlich etwas in der Nähe!",In der Nähe ist ein seltenes Seetier aufgetaucht!
3,"Als du den Dorschbarsch fängst, spürst du noch etwas in der Nähe lauern.","Als du den Dorschbarsch fängst, spürst du wieder etwas in der Nähe lauern.","Als du den Dorschbarsch fängst, spürst du ganz deutlich etwas in der Nähe!",In der Nähe ist ein seltenes Seetier aufgetaucht!
4,"Als du die Söldnerkrabbe fängst, spürst du noch etwas in der Nähe lauern.","Als du die Söldnerkrabbe fängst, spürst du wieder etwas in der Nähe lauern.","Als du die Söldnerkrabbe fängst, spürst du ganz deutlich etwas in der Nähe!",In der Nähe ist ein seltenes Seetier aufgetaucht!
5,"Als du den Ichimonji fängst, spürst du noch etwas in der Nähe lauern.","Als du den Ichimonji fängst, spürst du wieder etwas in der Nähe lauern.","Als du den Ichimonji fängst, spürst du ganz deutlich etwas in der Nähe!",In der Nähe ist ein seltenes Seetier aufgetaucht!
6,"Als du den Adelsflosser fängst, spürst noch etwas in der Nähe lauern.","Als du den Adelsflosser fängst, spürst du wieder etwas in der Nähe lauern.","Als du den Adelsflosser fängst, spürst du ganz deutlich etwas in der Nähe!",In der Nähe ist ein seltenes Seetier aufgetaucht!
7,"Als du Sauldias Rubin fängst, spürst noch etwas in der Nähe lauern.","Als du Sauldias Rubin fängst, spürst du wieder etwas in der Nähe lauern.","Als du Sauldias Rubin fängst, spürst du ganz deutlich etwas in der Nähe!",In der Nähe ist ein seltenes Seetier aufgetaucht!
8,"Als du die Tausendjahrschuppe fängst, spürst noch etwas in der Nähe lauern.","Als du die Tausendjahrschuppe fängst, spürst du wieder etwas in der Nähe lauern.","Als du die Tausendjahrschuppe fängst, spürst du ganz deutlich etwas in der Nähe!",In der Nähe ist ein seltenes Seetier aufgetaucht!
9,"Als du den Wolken-Katzenhai fängst, spürst du noch etwas in der Nähe lauern.","Als du den Wolken-Katzenhai fängst, spürst du wieder etwas in der Nähe lauern.","Als du den Wolken-Katzenhai fängst, spürst du ganz deutlich etwas in der Nähe!",In der Nähe ist ein seltenes Seetier aufgetaucht!
10,"Als du den Hedonfisch fängst, spürst du noch etwas in der Nähe lauern.","Als du den Hedonfisch fängst, spürst du wieder etwas in der Nähe lauern.","Als du den Hedonfisch fängst, spürst du ganz deutlich etwas in der Nähe!",In der Nähe ist ein seltenes Seetier aufgetaucht!
11,"Als du die Ligaka-Blüte fängst, spürst du noch etwas in der Nähe lauern.","Als du die Ligaka-Blüte fängst, spürst du wieder etwas in der Nähe lauern.","Als du die Ligaka-Blüte fängst, spürst du ganz deutlich etwas in der Nähe!",In der Nähe ist ein seltenes Seetier aufgetaucht!
12,"Als du den goldenen Diskusfisch fängst, spürst du noch etwas in der Nähe lauern.","Als du den goldenen Diskusfisch fängst, spürst du wieder etwas in der Nähe lauern.","Als du den goldenen Diskusfisch fängst, spürst du ganz deutlich etwas in der Nähe!",In der Nähe ist ein seltenes Seetier aufgetaucht!
