#,Name,ENPC,Unknown0,Unknown1
0,,0,0,0
1,,0,0,0
2,"Alle notwendigen Materialien wurden gesammelt und die geplanten Wieder­aufbauarbeiten können durchgeführt werden. Am Schwarzen Brett der Himmelsstadt könnt ihr entnehmen, wann die Arbeiten durchgeführt werden.",0,0,8
3,Mit dem nächsten Arbeitsschritt werden wir die erste Phase abschließen! Der genaue Zeitplan ist dem Schwarzen Brett zu entnehmen!,1032493,3,8
4,Gute Arbeit! Die erste Phase ist abgeschlossen! Zur Vorbereitung der zweiten Bauphase benötigen wir Material. Alles gesammelte Material ist bei den Materialverwaltern abzugeben!,1032493,3,8
5,"Alle notwendigen Materialien wurden gesammelt und die geplanten Wieder­aufbauarbeiten können durchgeführt werden. Am Schwarzen Brett der Himmelsstadt könnt ihr entnehmen, wann die Arbeiten durchgeführt werden.",0,0,8
6,Mit dem nächsten Arbeitsschritt werden wir die zweite Phase abschließen! Der genaue Zeitplan ist dem Schwarzen Brett zu entnehmen!,1032493,3,8
7,Saubere Arbeit! Die zweite Phase ist abgeschlossen! Zur Vorbereitung der dritten Bauphase benötigen wir Material. Alles gesammelte Material ist bei den Materialverwaltern abzugeben!,1032493,3,8
8,"Alle notwendigen Materialien wurden gesammelt und die geplanten Wieder­aufbauarbeiten können durchgeführt werden. Am Schwarzen Brett der Himmelsstadt könnt ihr entnehmen, wann die Arbeiten durchgeführt werden.",0,0,8
9,Mit dem nächsten Arbeitsschritt werden wir die dritte Phase abschließen! Der genaue Zeitplan ist dem Schwarzen Brett zu entnehmen!,1032493,3,8
10,"Heldinnen und Helden der Arbeit, es ist vollbracht! Der Platz der Habenichtse erstrahlt in neuer Pracht! Ishgard steht in eurer Schuld!",1032493,8,8
11,,0,0,0
12,"Alle notwendigen Materialien wurden gesammelt und das geplante Wieder­aufbauprojekt kann beginnen. Am Schwarzen Brett der Himmelsstadt ist ausgeschrieben, wann die Arbeiten durchgeführt werden.",0,0,10
13,"Saubere Arbeit! Die erste Phase des Kreuzkarst-Spaliers ist abgeschlossen! Zur Vorbereitung der zweiten Bauphase wird weiteres Material benötigt, das bei den Materialverwaltern abzugeben ist!",1032493,3,10
14,"Alle notwendigen Materialien wurden gesammelt und das geplante Wieder­aufbauprojekt kann beginnen. Am Schwarzen Brett der Himmelsstadt ist ausgeschrieben, wann die Arbeiten durchgeführt werden.",0,0,10
15,"Saubere Arbeit! Die zweite Phase des Kreuzkarst-Spaliers ist abgeschlossen! Zur Vorbereitung der dritten Bauphase wird weiteres Material benötigt, das bei den Materialverwaltern abzugeben ist!",1032493,3,10
16,"Alle notwendigen Materialien wurden gesammelt und das geplante Wieder­aufbauprojekt kann beginnen. Am Schwarzen Brett der Himmelsstadt ist ausgeschrieben, wann die Arbeiten durchgeführt werden.",0,0,10
17,Mit dem nächsten Arbeitsschritt werden wir die dritte Phase des Kreuzkarst-Spaliers abschließen! Der genaue Zeitplan ist dem Schwarzen Brett zu entnehmen.,1032493,3,10
18,"Saubere Arbeit! Die dritte Phase des Kreuzkarst-Spaliers ist abgeschlossen! Zur Vorbereitung der vierten Bauphase wird weiteres Material benötigt, das bei den Materialverwaltern abzugeben ist!",1032493,3,10
19,"Alle notwendigen Materialien wurden gesammelt und das geplante Wieder­aufbauprojekt kann beginnen. Am Schwarzen Brett der Himmelsstadt ist ausgeschrieben, wann die Arbeiten durchgeführt werden.",0,0,10
20,Mit dem nächsten Arbeitsschritt werden wir die vierte Phase des Kreuzkarst-Spaliers abschließen! Der genaue Zeitplan ist dem Schwarzen Brett zu entnehmen.,1032493,3,10
