#,Name,Description,Icon
0,,,0
1,Ebeneneffekt: Blind,Präzision aller Gruppenmitglieder ist verringert.,216801
2,Ebeneneffekt: LP-Malus,Maximal-LP aller Gruppenmitglieder sind verringert.,216802
3,Ebeneneffekt: Schadensmalus,Ausgeteilter Schaden aller Gruppenmitglieder ist verringert.,216803
4,Ebeneneffekt: Fertigkeiten unwirksam,Gruppenmitglieder können keine Fertigkeiten einsetzen.,216804
5,Ebeneneffekt: Hast,Intervalle zwischen Auto-Attacken und Reaktivierungszeiten von Waffenfertigkeiten sind für alle Gruppenmitglieder verkürzt.,216805
6,Ebeneneffekt: LP-/MP-Bonus,Maximal-LP und -MP aller Gruppenmitglieder sind erhöht.,216806
7,Ebeneneffekt: Gegenstände verboten,Gruppenmitglieder können Gegenstände und manche Spezialgegenstände nicht einsetzen.,216807
8,Ebeneneffekt: Sprint unmöglich,Gruppenmitglieder können Sprint nicht einsetzen.,216808
9,Ebeneneffekt: Rückstoß unwirksam,Gruppenmitglieder und Gegner werden nicht von Rückstoß- und Heranzieheffekten beeinflusst.,216809
10,Ebeneneffekt: LP-Regeneration unwirksam,Gruppenmitglieder können nicht automatisch LP regenerieren.,216810
11,Ebeneneffekt: Nichtsnebel,"Von Nichtsnebel umhüllt. Ausgeteilter Schaden und Bewegungsgeschwindigkeit aller Gegner ist erhöht, ihr erlittener Schaden verringert.",216811
12,Ebeneneffekt: Sprint,Bewegungsgeschwindigkeit aller Gruppenmitglieder ist erhöht.,216812
13,Ebeneneffekt: Zaubersteine verboten,Gruppenmitglieder können Zaubersteine nicht einsetzen.,216813
14,Ebeneneffekt: Demiklone blockiert,Gruppenmitglieder können Demiklone nicht einsetzen.,216814
15,Ebeneneffekt: Weihrauch unwirksam,Gruppenmitglieder können keinen Weihrauch einsetzen.,216815
