#,Unknown0,Unknown1,Unknown2
0,,0,False
1,Stufe 1: Einführung,349,False
2,Stufe 2: Federn lassen,349,False
3,Stufe 3: Angriff der Ungeziefer,349,False
4,Stufe 4: Riesenbaby-Goobbue,350,True
5,Stufe 5: Aufstand der Wilden,349,False
6,Stufe 6: Gedankenspiele,351,True
7,Stufe 7: Vierbeinige Feinde,349,False
8,Stufe 8: Das Bündchen der Morgenröte,349,False
9,Stufe 9: Auf den Schleim gegangen,352,True
10,Stufe 10: Mandragora-Salat,349,False
11,Stufe 11: Die trabantäische Allianz,349,False
12,Stufe 12: Alea iacta est,353,True
13,Stufe 13: Luftadmiral Garlond,349,False
14,Stufe 14: Eins auf die Nuss,349,False
15,Stufe 15: Der Dunkle Reiter,354,True
16,Stufe 16: Chocobo-Mania,349,False
17,Stufe 17: Jenseits des Schneekleids,349,False
18,Stufe 18: Die Trabanten-Jagd,349,False
19,Stufe 19: Gilgameschs Hühnerstall,355,True
20,Stufe 20: Trabanten des Lichts,349,False
21,Stufe 21: Die Leveilleurs,349,False
22,Stufe 22: Kleine Welt der Dunkelheit,349,False
23,Stufe 23: In die Verschlungenen Schatten,356,True
24,"Stufe 24: Bahamut, der Aufzieh-Primae",357,True
25,,349,False
26,,349,False
27,,349,False
28,,349,False
29,,349,False
30,,349,False
31,,349,False
32,,349,False
33,,349,False
