#,Name,Description,Unknown0,Unknown1,Unknown2,Unknown3,Icon
0,,,,,,,0
1,Klar,klar,,,,,60201
2,Heiter,heiter,,,,,60202
3,Wolkig,wolkig,,,,,60203
4,Neblig,nebelig,,,,,60204
5,Windig,windig,,,,,60205
6,Stürmisch,stürmisch,,,,,60206
7,Regnerisch,regnerisch,,,,,60207
8,Wolkenbruch,wolkenbruchartig,,,,,60208
9,Gewittrig,gewittrig,,,,,60209
10,Gewitter,gewittrig,,,,,60210
11,Staubig,staubig,,,,,60211
12,Sandsturm,sandstürmisch,,,,,60212
13,Heiß,heiß,,,,,60213
14,Gluthitze,glutheiß,,,,,60214
15,Schnee,verschneit,,,,,60215
16,Schneesturm,schneestürmisch,,,,,60216
17,Unheimlich,unheimlich,,,,,60218
18,Aurora,aurorenhaft,,,,,60217
19,Dunkel,dunkel,,,,,60251
20,Düsternis,düster,,,,,60255
21,Wolkig,wolkig,,,,,60203
22,Wetterleuchten,wetterleuchtend,,,,,60259
23,Tosend,tosend,,,,,60258
24,Tosend,tosend,,,,,60258
25,Finster,finster,,,,,60257
26,Gluthitze,glutheiß,,,,,60252
27,Unheimlich,unheimlich,,,,,60256
28,Stürmisch,stürmisch,,,,,60253
29,Rauchschwaden,rauchig,,,,,60254
30,Heiter,heiter,,,,,60202
31,Heiter,heiter,,,,,60202
32,Heiter,heiter,,,,,60202
33,Heiter,heiter,,,,,60202
34,Heiter,heiter,,,,,60202
35,Blendend,blendend,,,,,60260
36,Kernstrahlung,radioaktiv,,,,,60261
37,Kernstrahlung,radioaktiv,,,,,60261
38,Kernstrahlung,radioaktiv,,,,,60261
39,Kernstrahlung,radioaktiv,,,,,60261
40,Wolkenschleier,unnatürlich wolkig,,,,,60262
41,Wolkenschleier,unnatürlich wolkig,,,,,60262
42,Wolkenschleier,unnatürlich wolkig,,,,,60262
43,Wolkenschleier,unnatürlich wolkig,,,,,60262
44,Bedrückend,bedrückend,,,,,60264
45,Bedrückend,bedrückend,,,,,60264
46,Bedrückend,bedrückend,,,,,60264
47,Bedrückend,bedrückend,,,,,60264
48,Bedrückend,bedrückend,,,,,60264
49,Schattenwind,schattenwindig,,,,,60219
50,Schattengewitter,schattengewittrig,,,,,60220
51,Qualm,qualmig,,,,,60263
52,Heiter,heiter,,,,,60202
53,Königsgewitter,königlich gewittrig,,,,,60226
54,Hochspannung,hochspannend,,,,,60227
55,Königsgewitter,königlich gewittrig,,,,,60226
56,Numinos,numinos,,,,,60264
57,Gewittrig,gewittrig,,,,,60209
58,Gewittrig,gewittrig,,,,,60209
59,,,,,,,0
60,Mystisch,mystisch,,,,,60265
61,Mystisch,mystisch,,,,,60265
62,Regnerisch,regnerisch,,,,,60207
63,Heiter,heiter,,,,,60202
64,Regnerisch,regnerisch,,,,,60207
65,Heiter,heiter,,,,,60202
66,Hass,hasserfüllt,,,,,60266
67,Hass,hasserfüllt,,,,,60266
68,Unterirdisch,unterirdisch,,,,,60202
69,Gerechtigkeit,gerecht,,,,,60267
70,Gerechtigkeit,gerecht,,,,,60267
71,Zeitfluss,zeitlich ablaufend,,,,,60268
72,Zeitfluss,zeitlich ablaufend,,,,,60268
73,Zeitfluss,zeitlich ablaufend,,,,,60268
74,Dämonisch unendlich,dämonisch unendlich,,,,,60269
75,Dämonisch unendlich,dämonisch unendlich,,,,,60269
76,Dämonisch unendlich,dämonisch unendlich,,,,,60269
77,Dimensionsspaltend,dimensionsspaltend,,,,,60274
78,Dimensionsspaltend,dimensionsspaltend,,,,,60274
79,Dimensionsspaltend,dimensionsspaltend,,,,,60274
80,Feiersturm,feierlich stürmisch,,,,,60271
81,Feiersturm,feierlich stürmisch,,,,,60271
82,Ewigschön,ewigschön,,,,,60270
83,Ewigschön,ewigschön,,,,,60270
84,Drachensturm,drachenstürmisch,,,,,60272
85,Drachensturm,drachenstürmisch,,,,,60272
86,Feiersturm,feierlich stürmisch,,,,,60271
87,Blitzsturm,blitzend stürmisch,,,,,60273
88,Gewittrig,gewittrig,,,,,60209
89,Dimensionsspaltend,dimensionsspaltend,,,,,60274
90,Heiter,heiter,,,,,60202
91,Klar,klar,,,,,60201
92,Weißer Zyklon,zyklonisch,,,,,60275
93,Weißer Zyklon,zyklonisch,,,,,60275
94,Weißer Zyklon,zyklonisch,,,,,60275
95,Ultimativ,ultimativ,,,,,60277
96,Weißer Zyklon,zyklonisch,,,,,60275
97,Dunkle Mondnacht,dunkelmondisch,,,,,60276
98,Dunkle Mondnacht,dunkelmondisch,,,,,60276
99,Dunkle Mondnacht,dunkelmondisch,,,,,60276
100,Dunkle Mondnacht,dunkelmondisch,,,,,60276
101,Roter Mond,rotmondisch,,,,,60293
102,Rotlodernd,rotlodernd,,,,,60278
103,Rotlodernd,rotlodernd,,,,,60278
104,Rotlodernd,rotlodernd,,,,,60278
105,Heiter,heiter,,,,,60202
106,Heiter,heiter,,,,,60202
107,Heiter,heiter,,,,,60202
108,Heiter,heiter,,,,,60202
109,Feuer,feurig,,,,,60279
110,Tsunami,nass,,,,,60280
111,Tornado,stürmisch,,,,,60281
112,Erdbeben,bebend,,,,,60282
113,Blauschimmernd,blauschimmernd,,,,,60283
114,Blauschimmernd,blauschimmernd,,,,,60283
115,Blauschimmernd,blauschimmernd,,,,,60283
116,Astrale Turbulenzen,astral-turbulent,,,,,60284
117,Blauschimmernd,blauschimmernd,,,,,60283
118,Ewiges Licht,wie immer von Licht bedeckt,,,,,60221
119,Stürmisch,stürmisch,,,,,60253
120,Apokalyptisch,apokalyptisch,,,,,60287
121,Apokalyptisch,apokalyptisch,,,,,60287
122,Feenträume,träumerisch,,,,,60285
123,Feenträume,träumerisch,,,,,60285
124,Feenträume,träumerisch,,,,,60285
125,Strahlende Glanzhaftigkeit,makellos strahlend,,,,,60286
126,Strahlende Glanzhaftigkeit,makellos strahlend,,,,,60286
127,Apokalyptisch,apokalyptisch,,,,,60287
128,Apokalyptisch,apokalyptisch,,,,,60287
129,Ewiges Licht,wie immer von Licht bedeckt,,,,,60221
130,Rauchschwaden,rauchig,,,,,60254
131,Apokalyptisch,apokalyptisch,,,,,60287
132,Heiter,heiter,,,,,60202
133,Feuerseelenwinde,von Feuerseelenwinden umtost,,,,,60288
134,Erdseelenwinde,von Erdseelenwinden umtost,,,,,60289
135,Donnerseelenwinde,von Donnerseelenwinden umtost,,,,,60290
136,Sturmseelenwinde,von Sturmseelenwinden umtost,,,,,60291
137,Sternenregen,sterneregnend,,,,,60296
138,Erinnerungsturbulenzen,erinnerungsturbulent,,,,,60294
139,Wolkig,wolkig,,,,,60203
140,Wolkig,wolkig,,,,,60203
141,Blendend,blendend,,,,,60260
142,Blendend,blendend,,,,,60260
143,Wetterleuchten,wetterleuchtend,,,,,60259
144,Flammensturm,flammenstürmend,,,,,60295
145,Phantomströmung,im Phantomstrom treibend,,,,,60292
146,,,,,,,0
147,Endzeitig,endzeitig,,,,,60297
148,Mondstaubig,mondstaubig,,,,,60222
149,Magnetsturm,magnetisch,,,,,60223
150,Apokalypse,apokalyptisch,,,,,60224
151,Polarisierend,polarisierend,,,,,60298
152,Polarisierend,polarisierend,,,,,60298
153,Polarisierend,polarisierend,,,,,60298
154,Polarisierend,polarisierend,,,,,60298
155,Polarisierend,polarisierend,,,,,60298
156,Imaginär,imaginär,,,,,60225
157,Pandæmonium,pandæmonisch,,,,,60228
158,Pandæmonium,pandæmonisch,,,,,60228
159,Pandæmonium,pandæmonisch,,,,,60228
160,Eschatologie,eschatologisch,,,,,60299
161,Verzweifelnd,verzweifelnd,,,,,60229
162,Götterwetter,göttlich,,,,,60230
163,Götterwetter,göttlich,,,,,60230
164,Götterwetter,göttlich,,,,,60230
165,Götterwetter,göttlich,,,,,60230
166,Götterwetter,göttlich,,,,,60230
167,Götterwetter,göttlich,,,,,60230
168,Götterwetter,göttlich,,,,,60230
169,Götterwetter,göttlich,,,,,60230
170,Hass,hasserfüllt,,,,,60266
171,Leere,leer,,,,,60231
172,Leere,leer,,,,,60231
173,Leere,leer,,,,,60231
174,Dimensionsspaltend,dimensionsspaltend,,,,,60274
175,Dimensionsspaltend,dimensionsspaltend,,,,,60274
176,Dimensionsspaltend,dimensionsspaltend,,,,,60274
