#,UnknownStruct[0].Unknown1,UnknownStruct[0].Unknown_70,UnknownStruct[0].Unknown2,UnknownStruct[1].Unknown1,UnknownStruct[1].Unknown_70,UnknownStruct[1].Unknown2,UnknownStruct[2].Unknown1,UnknownStruct[2].Unknown_70,UnknownStruct[2].Unknown2,UnknownStruct[3].Unknown1,UnknownStruct[3].Unknown_70,UnknownStruct[3].Unknown2,Unknown8,Unknown9,Unknown_70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
23,25,0,7,0,0,0,0,0,0,0,0,0,0,0,False
24,26,0,8,0,0,0,0,0,0,0,0,0,0,0,False
25,28,0,7,0,0,0,0,0,0,0,0,0,0,0,False
26,30,0,6,0,0,0,0,0,0,0,0,0,0,0,False
27,31,0,7,0,0,0,0,0,0,0,0,0,0,0,False
28,1,0,1,0,0,0,0,0,0,0,0,0,5426,5427,False
29,40,0,8,0,0,0,0,0,0,0,0,0,0,0,False
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
31,38,0,6,39,0,6,0,0,0,0,0,0,0,0,False
32,41,0,8,0,0,0,0,0,0,0,0,0,0,0,False
33,42,0,8,0,0,0,0,0,0,0,0,0,0,0,False
