#,Name,Icon,Category,Order,ClassJob,Unknown0
0,,0,0,0,0,False
1,Hauptwaffe,60102,0,0,0,False
2,Hauptwerkzeug,60113,0,0,0,False
3,Hauptwerkzeug,60120,0,0,0,False
4,Rüstung,60126,0,0,0,False
5,Accessoire,60135,0,0,0,False
6,Arznei,60136,0,0,0,False
7,Material,60137,0,0,0,False
8,Sonstige,60159,0,0,0,False
9,Faustkämpfer-Waffe,60101,1,6,2,False
10,Gladiatoren-Waffe,60102,1,0,1,False
11,Marodeur-Waffe,60103,1,1,3,False
12,Waldläufer-Waffe,60105,1,10,5,False
13,Pikenier-Waffe,60104,1,4,4,False
14,Thaumaturgen-Waffe,60108,1,13,7,False
15,Druiden-Waffe,60107,1,17,6,False
16,Hermetiker-Waffe,60109,1,14,26,False
17,Schild,60110,2,0,0,False
18,Wurfwaffe,60111,0,0,0,False
19,Zimmermannszeug,60112,1,21,8,False
20,Schmiedezeug,60113,1,22,9,False
21,Plattnerzeug,60114,1,23,10,False
22,Goldschmiedezeug,60115,1,24,11,False
23,Gerberzeug,60116,1,25,12,False
24,Weberzeug,60117,1,26,13,False
25,Alchemistenzeug,60118,1,27,14,False
26,Gourmetzeug,60119,1,28,15,False
27,Minenarbeiterzeug,60120,1,29,16,False
28,Gärtnerzeug,60121,1,30,17,False
29,Fischerzeug,60122,1,31,18,False
30,Angelköder,60123,1,32,18,False
31,Kopf,60124,2,1,0,False
32,Unterhemd,60125,0,0,0,False
33,Rumpf,60126,2,2,0,False
34,Unterwäsche,60127,0,0,0,False
35,Beine,60128,2,4,0,False
36,Hände,60129,2,3,0,False
37,Füße,60130,2,5,0,False
38,Taille,60131,0,0,0,False
39,Halskette,60132,2,7,0,False
40,Ohrring,60133,2,6,0,False
41,Armreif,60134,2,8,0,False
42,Ring,60135,2,9,0,False
43,Arznei,60136,3,0,0,False
44,Zutat,60137,3,1,0,False
45,Gericht,60146,3,2,0,False
46,Meeresfrüchte,60138,3,3,0,False
47,Baustein,60139,3,4,0,False
48,Metall,60140,3,5,0,False
49,Nutzholz,60141,3,6,0,False
50,Stoff,60142,3,7,0,False
51,Leder,60143,3,8,0,False
52,Knochen/Horn,60144,3,9,0,False
53,Reagenz,60145,3,10,0,False
54,Farbstoff,60147,3,11,0,False
55,Waffen-Einzelteil,60148,3,12,0,False
56,Mobiliar,60164,4,3,0,False
57,Materia,60150,3,13,0,False
58,Kristall,60151,3,14,0,False
59,Katalysator,60152,3,15,0,False
60,Verschiedenes,60153,3,16,0,False
61,Jobkristall,60157,0,0,0,False
62,Pfeil,60153,0,0,0,False
63,Auftragsgegenstand,60158,0,0,0,False
64,Sonstige,60159,0,0,0,False
65,Bauelement außen,60160,4,0,0,False
66,Bauelement innen,60161,4,1,0,False
67,Gartenausstattung,60168,4,2,0,False
68,Stuhl/Bett,60165,4,4,0,False
69,Tisch/Ablage,60162,4,5,0,False
70,Tischdekoration,60163,4,6,0,False
71,Wanddekoration,60166,4,7,0,False
72,Teppich,60167,4,8,0,False
73,Schurken-Waffe,60106,1,8,29,False
74,Saisonaler Gegenstand,60154,3,17,0,False
75,Begleiter,60155,3,19,0,True
76,Dunkelritter-Waffe,60170,1,2,32,False
77,Maschinisten-Waffe,60172,1,11,31,False
78,Astrologen-Waffe,60171,1,19,33,False
79,Luftschiff-/Tauchboot-Bauteil,60169,3,20,0,False
80,Orchestrion-Notenrollen,60173,3,21,0,True
81,Erde/Samen,60174,4,9,0,False
82,Gemälde,60175,4,10,0,False
83,Samurai-Waffe,60177,1,7,34,False
84,Rotmagier-Waffe,60176,1,15,35,False
85,Gelehrten-Waffe,60178,1,18,28,False
86,Revolverklingen-Waffe,60181,1,3,37,False
87,Tänzer-Waffe,60182,1,12,38,False
88,Schnitter-Waffe,60183,1,5,39,False
89,Weisen-Waffe,60184,1,20,40,False
90,Verschiedenes (Erlernbar),60185,3,18,0,True
91,Vipern-Waffe,60187,1,9,41,False
92,Piktomanten-Waffe,60188,1,16,42,False
93,,0,0,0,0,False
94,,0,0,0,0,False
95,,0,0,0,0,False
96,,0,0,0,0,False
97,,0,0,0,0,False
98,,0,0,0,0,False
99,,0,0,0,0,False
100,,0,0,0,0,False
