#,Id,DiscoveryFlag,MapMarkerRange,SizeFactor,PlaceNameRegion,PlaceName,PlaceNameSub,TerritoryType,OffsetX,OffsetY,DiscoveryIndex,MapCondition,PriorityCategoryUI,PriorityUI,MapType,Unknown2,MapReplace,MapIndex,DiscoveryArrayByte,IsEvent,Unknown1
0,,0,0,100,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,True,False,False
1,default/00,0,0,100,2405,21,0,1,0,0,-1,0,0,0,1,0,0,0,True,False,False
2,f1t1/00,0,3,200,23,52,0,132,0,0,-1,0,2,2,1,0,0,0,True,False,False
3,f1t2/00,0,4,200,23,53,0,133,0,0,-1,0,2,3,1,0,0,0,True,False,False
4,f1f1/00,16382,5,100,23,54,0,148,0,0,0,0,2,5,1,0,0,0,True,False,False
5,f1f2/00,1048574,6,100,23,55,0,152,0,0,0,0,2,6,1,0,0,0,False,False,False
6,f1f3/00,131070,7,100,23,56,0,153,0,0,1,0,2,7,1,0,0,0,False,False,False
7,f1f4/00,131070,8,100,23,57,0,154,0,0,2,0,2,8,1,0,0,0,False,False,False
8,f1d1/00,4094,10,300,23,58,0,1037,0,0,1,0,2,9,1,0,0,0,True,False,False
9,f1r1/00,16382,21,200,23,61,0,1039,0,0,2,0,2,10,1,0,0,0,True,False,False
10,default/00,0,0,100,2405,153,0,728,0,0,-1,0,0,0,1,0,0,0,True,True,False
11,s1t1/01,0,71,200,22,28,0,128,0,0,-1,0,1,2,1,0,0,0,True,False,False
12,s1t2/01,0,72,200,22,29,0,129,0,0,-1,0,1,3,1,0,0,0,True,False,False
13,w1t1/01,0,59,200,24,40,0,130,0,0,-1,0,3,2,1,0,0,0,True,False,False
14,w1t2/01,0,60,200,24,41,373,131,0,0,-1,0,3,3,1,0,0,1,True,False,False
15,s1f1/00,254,74,100,22,30,0,134,0,0,3,0,1,6,1,0,0,0,True,False,False
16,s1f2/00,2046,75,100,22,31,0,135,0,0,4,0,1,7,1,0,0,0,True,False,False
17,s1f3/01,32766,76,100,22,32,0,137,0,0,5,0,1,8,1,0,0,0,True,False,False
18,s1f4/00,1048574,77,100,22,33,0,138,0,0,3,0,1,9,1,0,0,0,False,False,False
19,s1f5/00,510,78,100,22,34,0,139,0,0,6,0,1,10,1,0,0,0,True,False,False
20,w1f1/00,8190,40,100,24,42,0,140,0,0,7,0,3,6,1,0,0,0,True,False,False
21,w1f2/00,16382,39,100,24,43,0,141,0,0,8,0,3,7,1,0,0,0,True,False,False
