#,NameAction,Icon,Addon,Unknown0,QuickChatTransient
0,(Entfernt),783,0,0,0
1,Hallo,9901,11030,1,1
2,Gutes Spiel,9902,11031,2,2
3,Danke,9903,11032,3,3
4,Gut gemacht,9904,11033,4,5
5,Ergänzendes PvP-Kommando 1,9927,11034,0,6
6,Limitrausch,9906,11035,6,23
7,Offensiv-Depot,9907,11036,0,10
8,Defensiv-Depot,9908,11037,0,11
9,Adrenalin-Depot,9909,11038,0,12
10,Wolfsherz-Depot,9910,11039,0,13
11,Verteidiger angreifen,9911,11040,0,14
12,Heiler angreifen,9912,11041,0,15
13,Nahkämpfer angreifen,9913,11042,0,16
14,Fernkämpfer angreifen,9914,11043,0,17
15,Verteidiger ausschalten,9915,11044,0,19
16,Heiler ausschalten,9916,11045,0,20
17,Nahkämpfer ausschalten,9917,11046,0,21
18,Fernkämpfer ausschalten,9918,11047,0,22
19,Medaillen aufsammeln,9919,11048,0,24
20,Medaillen holen lassen,9920,11049,0,25
21,Angriff,9921,11050,21,53
22,Rückzug,9922,11051,22,55
23,MP,9923,11052,23,22
24,TP,9924,11053,0,9
25,Ziel angreifen,9925,11054,25,50
26,Ziel aufhalten,9926,11055,26,51
27,Ergänzendes PvP-Kommando 2,9928,11056,0,7
28,Fokusangriff,9935,11057,0,28
29,Fokusangriff beenden,9936,11058,0,29
30,Entschuldigung,9965,11713,30,4
31,Vorrücken,9966,11714,31,40
32,Zurückfallen,9967,11715,32,41
33,Kristall eskortieren,9968,11716,33,56
34,Kristalleskorte anfordern,9969,11717,34,57
35,Ziel decken,9964,11718,35,52
36,Limitrausch ausführen,9970,14904,36,24
37,Versammeln,9971,14905,37,54
38,Purifikation,9905,11034,0,20
39,Wehr,9972,11034,39,21
