#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
1,100,100,100,0,0
2,50,50,50,1,0
3,50,50,50,3,0
4,50,50,50,1,0
5,16,35,16,10,1
6,40,40,40,1,0
7,200,650,200,10,0
8,30,30,30,0,0
9,50,50,50,8,0
10,45,28,16,1,1
11,50,8,8,1,1
12,130,60,30,1,1
13,80,40,15,1,1
14,200,100,140,2,1
15,75,75,75,3,0
16,20,20,20,3,0
17,40,20,40,10,1
18,130,60,115,10,1
19,15,15,15,10,0
20,40,40,22,11,1
21,70,70,70,0,0
22,15,15,15,10,0
23,50,50,50,10,0
24,100,150,180,3,1
25,500,800,800,0,0
26,1080,3200,2160,0,1
27,70,70,70,3,0
28,20,10,10,0,1
29,40,90,10,3,1
30,40,20,10,1,1
31,30,150,30,3,1
32,4000,2000,40,3,1
33,4000,2000,40,3,1
34,30,150,30,3,1
35,10,10,10,3,0
36,20,80,20,3,1
37,20,80,20,3,1
38,1500,1400,10,0,1
39,600,5000,10,0,1
40,1400,1200,10,0,1
41,70,70,70,0,0
42,80,80,80,1,0
43,70,70,70,1,0
44,70,70,70,1,0
45,70,70,70,1,0
46,500,500,500,0,0
47,730,730,730,0,0
48,60,800,2600,0,1
49,250,200,100,1,1
50,80,30,50,1,1
51,30,85,34,3,1
52,30,30,30,0,0
53,10,10,10,0,0
54,28,8,5,0,1
55,28,5,20,0,1
56,120,100,30,1,1
57,80,80,45,3,1
58,190,190,190,10,0
59,40,160,40,3,1
60,40,110,40,0,1
61,80,80,80,11,0
62,60,40,16,1,1
63,60,40,16,1,1
64,60,40,16,1,1
65,40,40,10,0,0
66,40,40,150,0,1
67,150,150,10,0,0
68,50,50,50,1,1
69,45,40,20,0,1
70,20,40,20,0,1
71,120,40,25,1,1
72,60,90,700,0,1
73,100,100,100,1,0
74,110,75,200,0,1
75,50,180,70,0,1
76,100,150,250,0,1
77,120,120,120,0,1
78,0,0,0,0,0
79,10,20,50,0,1
80,10,10,10,2,0
81,20,20,30,0,1
82,350,300,100,0,1
83,350,300,100,0,1
84,370,420,100,0,1
85,100,450,140,0,1
86,2000,900,100,0,1
87,100,75,75,1,1
88,125,100,75,1,1
89,150,300,50,2,1
90,100,75,200,1,1
