#,Name,Icon,IconDutyFinder,Unknown1,Unknown2
0,,0,0,0,0
1,Zufallsinhalt,61807,0,0,0
2,Dungeons,61801,60831,1,1
3,Gildengeheiße,61803,60833,2,2
4,Prüfungen,61804,60834,1,3
5,Raids,61802,60832,1,4
6,PvP,61806,60836,1,5
7,Auftragskämpfe,61805,60835,0,0
8,FATEs,61809,0,0,0
9,Schatzsuche,61808,60838,0,0
10,Freibriefe,61811,0,0,0
11,Staatliche Gesellschaft,61812,0,0,0
12,Mitstreiter,61813,0,0,0
13,Freundesvölker,61814,0,0,0
14,Agenda-Abschlusszahl,61810,0,0,0
15,Wertvollster Spieler,61817,0,0,0
16,Sammeln,61815,60859,0,0
17,Synthese,61816,0,0,0
18,Unternehmungen,61818,0,0,0
19,Gold Saucer,61820,60848,1,0
20,,61823,60846,0,0
21,Tiefe Gewölbe,61824,60847,0,0
22,,61801,60831,0,0
23,,61821,61821,2,0
24,Abenteueralbum,61825,0,0,0
25,Wunschlieferungen,61827,0,0,0
26,Eureka,61833,60851,0,0
27,Große Maskerade,61836,60853,0,0
28,Fatale Raids,61832,60855,1,6
29,Königinnenwache,61838,61838,0,0
30,Gewölbesuche,61846,61846,1,0
31,Auf großer Fahrt,61756,0,0,0
32,Triple Triad,61820,0,0,0
33,Hohe Jagd,61819,0,0,0
34,Fischen,61756,0,0,0
35,GATE,61820,0,0,0
36,Inselparadies,61847,0,0,0
37,Chaotische Allianz-Raids,61850,60807,1,7
38,Kreszentia,61851,60808,0,0
39,,61824,60847,0,0
40,,0,0,0,0
