#,WarpParams[0].Function,WarpParams[0].Argument,WarpParams[1].Function,WarpParams[1].Argument,WarpParams[2].Function,WarpParams[2].Argument,WarpParams[3].Function,WarpParams[3].Argument,WarpParams[4].Function,WarpParams[4].Argument,WarpParams[5].Function,WarpParams[5].Argument,WarpParams[6].Function,WarpParams[6].Argument,WarpParams[7].Function,WarpParams[7].Argument,WarpParams[8].Function,WarpParams[8].Argument,WarpParams[9].Function,WarpParams[9].Argument,Question,ResponseYes,ResponseNo,WarpName,Unknown0,CanSkipCutscene
0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,0,False
1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,Ja,Nein,,0,False
2,HOWTO_ABOUT_RENTAL_CHOCOBO,81,,0,,0,,0,,0,,0,,0,,0,,0,,0,Chocobo mieten,,,WarpRentalChocobo,0,True
3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,WarpInnLimsaLominsa,0,True
4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,WarpInnGridania,0,True
5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,WarpInnUldah,0,True
6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,Ja,Nein,WarpHousingEnterHouse,0,True
7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,Ja,Nein,WarpHousingExitHouse,0,True
8,QUEST_WEDDING,67114,ITEM_CHILD_TICKET,8699,,0,,0,,0,,0,,0,,0,,0,,0,,Ja,Nein,WarpWeddingPlaceDesk,0,False
9,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,WarpInnIshgard,0,True
10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,WarpInnKugane,0,True
11,QST_LUCKMA401,68836,QST_LUCKME114,69179,QST_LUCKMF111,69190,QST_SEQ_11,11,QST_SEQ_FINISH,255,QST_LUCKMI111,69317,,0,,0,,0,,0,,,,WarpInnCrystarium,0,True
12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,WarpSystemEnterTerritory,0,False
13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,WarpInnOldSharlayan,0,True
14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,Ja,Nein,WarpSEElpis,0,False
15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,Ja,Nein,WarpSEUltimaThule,0,False
16,QST_SEQ_1,1,QST_SEQ_FINISH,255,QST_KINGMD108,70455,QST_KINGME111,70478,QST_KINGMF114,70495,QST_SEQ_2,2,QST_KINGMB104,70419,,0,,0,,0,,,,WarpInnTuliyollal,0,False
