#,Name,Category,Unknown0,Description,DutyType,Unknown1,Image,Unknown2,Unknown3,Unknown6,ItemLevelRequired,ItemLevelSync,RewardTomeA,RewardTomeB,RewardTomeC,Unknown5,InstanceContent,RequiredExVersion,OpenRule,RequiredLevel,SyncedFromLevel,ContentRouletteRoleBonus,SortKey,ClassJobCategory,ContentMemberType,Unknown9,QueueMaxPlayers,ContentType,Unknown12,TimeLimit,TimeLimitMax,LootModeType,Unknown15,PenaltyTimestampArrayIndex,CompletionArrayIndex,IsGoldSaucer,IsInDutyFinder,IsPvP,AppliesHighestAverageDutyItemLevel,Unknown18,AllowConsumableItems,AllowPhoenixDown,AllowReplacement,RatedMatch,Rated,Unknown22,Unknown23,Unknown24,IsRegistrationAllowedFromAnyDataCenter
0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,-1,False,False,False,False,False,True,False,True,False,False,False,False,True,True
1,Zufallsinhalt: Stufensteigerung,Stufensteigerung,,"Aus den freigeschalteten Dungeons und Prüfungen für Leichte Trupps wird ein Inhalt zufällig ausgewählt. Bei erfolgreichem Abschluss winkt eine Sondervergütung.

※ Die Höhe der Routine- und Gil-Sondervergütung richtet sich nach der Klassen- bzw. Jobstufe und entschädigt für die Differenz, die man für einen der Stufe angemessenen Inhalt erhalten hätte.
※ Die Höhe des Staatstaler-Bonus richtet sich nach der Klassen- bzw. Jobstufe.
※ Die Sondervergütung für Zufallsinhalte kann einmal pro Tag erhalten werden. Dieser Status wird täglich um 0:00 Uhr zurückgesetzt.
※ Der Bonus für gefragte Rollen ist immer erhältlich und bezieht sich auf die Rolle, die zum Zeitpunkt der Registrierung gefragt ist.
※ Bei Teilnahme als bestehende Gruppe wird kein Bonus für gefragte Rollen gewährt.",Dungeons und Prüfungen für Leichte Trupps,0,112034,0,0,0,0,0,0,100,20,0,0,0,1,16,16,1,4,142,2,0,0,1,0,90,0,2,0,0,0,False,True,False,False,True,True,True,True,False,False,False,False,True,True
2,Zufallsinhalt: Hohe Stufen,Hohe Stufen,,"Aus den freigeschalteten Dungeons für Leichte Trupps für die Stufen 50, 60, 70, 80 und 90 wird einer zufällig ausgewählt. Bei erfolgreichem Abschluss winkt eine Sondervergütung.

※ Die Höhe der Routine- und Gil-Sondervergütung richtet sich nach der Klassen- bzw. Jobstufe und entschädigt für die Differenz, die man für einen der Stufe angemessenen Inhalt erhalten hätte.
※ Die Sondervergütung für Zufallsinhalte kann einmal pro Tag erhalten werden. Dieser Status wird täglich um 0:00 Uhr zurückgesetzt.
※ Der Bonus für gefragte Rollen ist immer erhältlich und bezieht sich auf die Rolle, die zum Zeitpunkt der Registrierung gefragt ist.
※ Bei Teilnahme als bestehende Gruppe wird kein Bonus für gefragte Rollen gewährt.",Dungeons (St. 50/60/70/80/90) für Leichte Trupps,0,112035,0,0,0,45,0,100,120,0,0,0,0,1,50,50,2,3,142,2,0,0,1,0,90,0,2,0,0,1,False,True,False,False,True,True,True,True,False,False,False,False,True,True
3,Zufallsinhalt: Hauptszenario,Hauptszenario,,"Aus den freigeschalteten Dungeons des Hauptszenarios wird einer zufällig ausgewählt. Bei erfolgreichem Abschluss winkt eine Sondervergütung.

※ Videosequenzen der Dungeons können nicht übersprungen werden.
※ Die Höhe der Routine- und Gil-Sondervergütung richtet sich nach der Klassen- bzw. Jobstufe und entschädigt für die Differenz, die man für einen der Stufe angemessenen Inhalt erhalten hätte.
※ Die Sondervergütung für Zufallsinhalte kann einmal pro Tag erhalten werden. Dieser Status wird täglich um 0:00 Uhr zurückgesetzt.
※ Der Bonus für gefragte Rollen ist immer erhältlich und bezieht sich auf die Rolle, die zum Zeitpunkt der Registrierung gefragt ist.
※ Bei Teilnahme als Teilgruppe wird kein Bonus für gefragte Rollen gewährt.",Dungeons für Volle Trupps,0,112036,0,0,0,42,0,350,100,50,0,0,0,1,50,50,3,6,142,2,0,0,1,0,60,120,2,0,0,2,False,True,False,False,True,True,True,True,False,False,False,False,True,True
4,Zufallsinhalt: Gildengeheiß,Gildengeheiß,,"Aus den freigeschalteten Gildengeheißen wird eines zufällig ausgewählt. Bei erfolgreichem Abschluss winkt eine Sondervergütung.

※ Die Höhe der Routine- und Gil-Sondervergütung richtet sich nach der Klassen- bzw. Jobstufe und entschädigt für die Differenz, die man für einen der Stufe angemessenen Inhalt erhalten hätte.
※ Die Höhe des Staatstaler-Bonus richtet sich nach der Klassen- bzw. Jobstufe.
※ Die Sondervergütung für Zufallsinhalte kann einmal pro Tag erhalten werden. Dieser Status wird täglich um 0:00 Uhr zurückgesetzt.
※ Der Bonus für gefragte Rollen ist immer erhältlich und bezieht sich auf die Rolle, die zum Zeitpunkt der Registrierung gefragt ist.
※ Bei Teilnahme als bestehende Gruppe wird kein Bonus für gefragte Rollen gewährt.
※ Für bereits vollständige Vierer-Gruppen werden nur Inhalte für Vierer-Gruppen ausgewählt. Hierbei ist jede Zusammensetzung erlaubt.
※ In manchen Inhalten können Phönixfedern nicht verwendet werden.",Gildengeheiße,0,112037,0,0,0,0,0,0,0,0,0,0,0,1,10,10,4,7,142,3,0,0,1,0,30,0,2,0,0,3,False,True,False,False,True,True,True,True,False,False,False,False,True,True
5,Zufallsinhalt: Experte,Experte,,"Aus den freigeschalteten Experten-Dungeons wird einer zufällig ausgewählt. Bei erfolgreichem Abschluss winkt eine Sondervergütung.

※ Die Höhe der Routine- und Gil-Sondervergütung richtet sich nach der Klassen- bzw. Jobstufe und entschädigt für die Differenz, die man für einen der Stufe angemessenen Inhalt erhalten hätte.
※ Die Sondervergütung für Zufallsinhalte kann einmal pro Tag erhalten werden. Dieser Status wird täglich um 0:00 Uhr zurückgesetzt.
※ Der Bonus für gefragte Rollen ist immer erhältlich und bezieht sich auf die Rolle, die zum Zeitpunkt der Registrierung gefragt ist.
※ Bei Teilnahme als bestehende Gruppe wird kein Bonus für gefragte Rollen gewährt.",Experten-Dungeons für Leichte Trupps,0,112057,0,0,0,735,0,0,60,40,0,0,5,2,100,100,5,1,142,2,0,0,1,0,90,0,2,0,0,4,False,True,False,False,True,True,True,True,False,False,False,False,True,True
6,Zufallsinhalt: Prüfung,Prüfung,,"Aus den freigeschalteten Prüfungen für Volle Trupps wird eine zufällig ausgewählt. Bei erfolgreichem Abschluss winkt eine Sondervergütung.

※ Die Sondervergütung für Zufallsinhalte kann einmal pro Tag erhalten werden. Dieser Status wird täglich um 0:00 Uhr zurückgesetzt.
※ Der Bonus für gefragte Rollen ist immer erhältlich und bezieht sich auf die Rolle, die zum Zeitpunkt der Registrierung gefragt ist.
※ Bei Teilnahme als bestehende Gruppe wird kein Bonus für gefragte Rollen gewährt.",Prüfungen für Volle Trupps,0,112056,0,0,0,90,0,0,60,15,0,0,0,1,50,50,6,5,142,3,0,0,1,0,60,0,2,0,0,5,False,True,False,False,True,True,False,True,False,False,False,False,True,True
7,Tagesherausforderung: PvP-Front,PvP-Front,,"Teilnahme am aktuellen PvP-Front-Tageskampf (aufgeführt unter **Information**). Bei erfolgreichem Abschluss winkt eine Sondervergütung.

※ Die Sondervergütung für Tagesherausforderungen kann einmal pro Tag erhalten werden. Dieser Status wird täglich um 0:00 Uhr zurückgesetzt.
",Onsal Hakair (Danshig Naadam),0,112083,1000,1500,0,0,0,0,50,20,1000,0,0,3,30,30,0,15,146,24,0,0,1,28,20,0,0,0,0,6,False,True,True,False,True,True,True,True,False,False,False,False,True,True
8,Zufallsinhalt: Höchststufe,Höchststufe,,"Aus den freigeschalteten Dungeons für Leichte Trupps für Stufe 100 wird einer zufällig ausgewählt. Bei erfolgreichem Abschluss winkt eine Sondervergütung.

※ Die Höhe der Routine- und Gil-Sondervergütung richtet sich nach der Klassen- bzw. Jobstufe und entschädigt für die Differenz, die man für einen der Stufe angemessenen Inhalt erhalten hätte.
※ Die Sondervergütung für Zufallsinhalte kann einmal pro Tag erhalten werden. Dieser Status wird täglich um 0:00 Uhr zurückgesetzt.
※ Der Bonus für gefragte Rollen ist immer erhältlich und bezieht sich auf die Rolle, die zum Zeitpunkt der Registrierung gefragt ist.
※ Bei Teilnahme als bestehende Gruppe wird kein Bonus für gefragte Rollen gewährt.",Dungeons (St. 100) für Leichte Trupps,0,112123,0,0,0,705,0,0,100,15,0,0,5,2,100,100,7,2,142,2,0,0,1,0,90,0,2,0,0,7,False,True,False,False,True,True,True,True,False,False,False,False,True,True
9,Zufallsinhalt: Mentor,Mentor,,"Aus den freigeschalteten Mentoren-Inhalten wird zufällig einer für Kampf-Mentoren ausgewählt. Bei erfolgreichem Abschluss winkt eine Sondervergütung.

※ Die Höhe der Routine- und Gil-Sondervergütung richtet sich nach der Klassen- bzw. Jobstufe und entschädigt für die Differenz, die man für einen der Stufe angemessenen Inhalt erhalten hätte.
※ Die Sondervergütung für Zufallsinhalte kann einmal pro Tag erhalten werden. Dieser Status wird täglich um 0:00 Uhr zurückgesetzt.
※ Der Bonus für gefragte Rollen ist immer erhältlich und bezieht sich auf die Rolle, die zum Zeitpunkt der Registrierung gefragt ist.
※ In manchen Inhalten können Phönixfedern nicht verwendet werden.",Mentoren-Inhalte,0,112144,0,0,0,745,0,0,30,10,0,0,5,2,100,100,8,10,142,1,0,0,1,0,30,120,2,0,0,8,False,True,False,False,True,True,True,True,False,False,False,False,True,True
