#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article
0,,,0,0,0,1,0,0
1,,,0,0,0,0,0,0
2,Ruinenrenner,Ruinenrenner,4,2,0,1,0,0
3,Antilopenkuh,Antilopenkühe,3,2,0,1,1,0
4,Antilopenbock,Antilopenböcke,4,2,0,1,0,0
5,Opo-Opo,Opo-Opos,4,1,0,1,0,0
6,Lori,Loris,4,1,0,1,0,0
7,Dämonenschnake,Dämonenschnaken,3,1,0,1,1,0
8,Dämonenfliege,Dämonenfliegen,3,1,0,1,1,0
9,Schattenmilbe,Schattenmilben,3,1,0,1,1,0
10,Schaudermilbe,Schaudermilben,3,1,0,1,1,0
11,Terrormilbe,Terrormilben,3,1,0,1,1,0
12,Kapgeier,Kapgeier,4,2,0,1,0,0
13,Baumkronen-Bussard,Baumkronen-Bussarde,4,2,0,1,0,0
14,Wildschweinchen,Wildschweinchen,4,1,0,1,2,0
15,Wildschwein,Wildschweine,4,2,0,1,2,0
16,wild[a] Keiler,wild[a] Keiler,4,2,0,1,0,0
17,Brandballon,Brandballons,4,1,0,1,0,0
18,Zombie,Zombies,4,1,0,1,0,0
19,Zombie-Zauberer,Zombie-Zauberer,4,2,0,1,0,0
20,verhext[a] Gerippe,verhext[a] Gerippe,4,2,0,1,2,0
21,Gauner-Imp,Gauner-Imps,4,1,0,1,0,0
22,Rösling,Röslinge,4,2,0,1,0,0
23,Dämonenfliegenfalle,Dämonenfliegenfallen,3,1,0,1,1,0
24,Baumschrat,Baumschrate,4,2,0,1,0,0
25,Dryade,Dryaden,3,1,0,1,1,0
26,Karpfenkröte,Karpfenkröten,3,1,0,1,1,0
27,Nöck,Nöcken,1,1,0,1,0,0
28,Coeurl-Jungtier,Coeurl-Jungtiere,4,2,0,1,2,0
29,Dullahan,Dullahan,3,1,0,1,0,0
30,Lehmgolem,Lehmgolems,4,1,0,1,0,0
31,Gedankenschinder,Gedankenschinder,4,2,0,1,0,0
32,Mikrochu,Mikrochus,4,1,0,1,2,0
33,Ochu,Ochus,4,1,0,1,2,0
34,Adaman-Taimai,Adaman-Taimai,3,1,0,1,0,0
35,Tomberry,Tomberrys,3,1,0,1,0,0
36,Rüsselkäfer,Rüsselkäfer,4,2,0,1,0,0
37,Baumhörnchen,Baumhörnchen,4,1,0,1,2,0
38,schwarz[a] Fledermaus,schwarz[a] Fledermäuse,3,2,0,1,1,0
39,Baumschnecke,Baumschnecken,3,1,0,1,1,0
40,Glitscher,Glitscher,4,2,0,1,0,0
41,Mistfliegenschwarm,Mistfliegenschwärme,4,2,0,1,0,0
42,Yarzon,Yarzons,4,1,0,1,0,0
