#,Name,Background,Frame,Decoration,SortKey
0,Benutzerdefiniert,0,0,0,0
1,Einfach,1,1,1,2
2,Modern,2,3,1,3
3,Klassisches Portrait,10,10,1,4
4,Eindrucksvolles Portrait,7,10,1,5
5,Prachtvoll,3,11,8,6
6,Äther,8,1,1,1
7,Archiv,7,7,1,7
8,Verteidiger,4,9,5,8
9,Heiler,6,9,7,9
10,Angreifer,5,9,6,10
11,Paladin (normal),52,12,12,2050
12,Krieger (normal),53,13,13,2051
13,Dunkelritter (normal),54,14,14,2052
14,Revolverklinge (normal),55,15,15,2053
15,Weißmagier (normal),56,16,16,2054
16,Gelehrter (normal),57,17,17,2055
17,Astrologe (normal),58,18,18,2056
18,Weiser (normal),59,19,19,2057
19,Mönch (normal),60,20,20,2058
20,Dragoon (normal),61,21,21,2059
21,Ninja (normal),62,22,22,2060
22,Samurai (normal),63,23,23,2061
23,Schnitter (normal),64,24,24,2062
24,Barde (normal),65,25,25,2064
25,Maschinist (normal),66,26,26,2065
26,Tänzer (normal),67,27,27,2066
27,Schwarzmagier (normal),68,28,28,2067
28,Beschwörer (normal),69,29,29,2068
29,Rotmagier (normal),70,30,30,2069
30,Paladin (dynamisch),11,12,12,2150
31,Krieger (dynamisch),12,13,13,2151
32,Dunkelritter (dynamisch),13,14,14,2152
33,Revolverklinge (dynamisch),14,15,15,2153
34,Weißmagier (dynamisch),15,16,16,2154
35,Gelehrter (dynamisch),16,17,17,2155
36,Astrologe (dynamisch),17,18,18,2156
37,Weiser (dynamisch),18,19,19,2157
38,Mönch (dynamisch),19,20,20,2158
39,Dragoon (dynamisch),20,21,21,2159
40,Ninja (dynamisch),21,22,22,2160
41,Samurai (dynamisch),22,23,23,2161
42,Schnitter (dynamisch),23,24,24,2162
43,Barde (dynamisch),24,25,25,2164
44,Maschinist (dynamisch),25,26,26,2165
45,Tänzer (dynamisch),26,27,27,2166
46,Schwarzmagier (dynamisch),27,28,28,2167
47,Beschwörer (dynamisch),28,29,29,2168
48,Rotmagier (dynamisch),29,30,30,2169
49,Team Astra,30,31,31,3000
50,Team Umbra,31,32,32,3001
51,Companion-App 1,41,42,42,4000
52,Companion-App 2,42,43,43,4001
53,Endlose Schatten von Bahamut (fatal),86,44,44,2500
54,Heldenlied von Ultima (fatal),87,45,45,2501
55,Alexander (fatal),88,46,46,2502
56,Drachenkrieg (fatal),89,47,47,2503
57,Kristallkönig (1. Saison),32,33,33,3200
58,Kristallfürst (1. Saison),33,34,34,3201
59,Kristallkämpfer (1. Saison),34,35,35,3202
60,Crystalline Conflict: Bronze (1. Saison),35,36,36,3208
61,Crystalline Conflict: Silber (1. Saison),36,37,37,3207
62,Crystalline Conflict: Gold (1. Saison),37,38,38,3206
63,Crystalline Conflict: Platin (1. Saison),38,39,39,3205
64,Crystalline Conflict: Diamant (1. Saison),39,40,40,3204
65,Crystalline Conflict: Kristall (1. Saison),40,41,41,3203
66,Kristallkönig (2. Saison),90,48,48,3209
67,Kristallfürst (2. Saison),91,49,49,3210
68,Kristallkämpfer (2. Saison),92,50,50,3211
69,Crystalline Conflict: Bronze (2. Saison),93,51,51,3217
70,Crystalline Conflict: Silber (2. Saison),94,52,52,3216
71,Crystalline Conflict: Gold (2. Saison),95,53,53,3215
