#,Description,Unknown1,RewardItem,RewardAmount,Unknown4,Category
0,Eine Stellarmission abschließen.,1,0,50,0,1
1,Drei verschiedene Arten von Stellarmissionen abschließen.,3,0,75,1,1
2,Eine Goldwertung erzielen.,1,0,75,2,1
3,Eine Notfallmission abschließen.,1,0,50,3,1
4,Einen Mecha-Einsatz abschließen.,1,0,100,4,1
5,Sich am Kosmo-Glück versuchen.,1,0,50,5,1
6,10 Stellarmissionen auf dem Mond abschließen.,10,1,300,6,2
7,50 Stellarmissionen auf dem Mond abschließen.,50,1,450,7,2
8,100 Stellarmissionen auf dem Mond abschließen.,100,1,900,8,2
9,500 Stellarmissionen auf dem Mond abschließen.,500,1,1500,9,2
10,10 verschiedene Arten von Stellarmissionen auf dem Mond abschließen.,10,1,300,10,2
11,50 verschiedene Arten von Stellarmissionen auf dem Mond abschließen.,50,1,900,11,2
12,100 verschiedene Arten von Stellarmissionen auf dem Mond abschließen.,100,1,2400,12,2
13,In 10 verschiedenen Arten von Stellarmissionen auf dem Mond eine Goldwertung erzielen.,10,1,300,13,2
14,In 50 verschiedenen Arten von Stellarmissionen auf dem Mond eine Goldwertung erzielen.,50,1,900,14,2
15,In 100 verschiedenen Arten von Stellarmissionen auf dem Mond eine Goldwertung erzielen.,100,1,2400,15,2
16,Eine Notfallmission auf dem Mond abschließen.,1,2,500,16,2
17,10 Notfallmissionen auf dem Mond abschließen.,10,2,1000,17,2
18,30 Notfallmissionen auf dem Mond abschließen.,30,2,3000,18,2
19,Als Pilot einen Mecha-Einsatz auf dem Mond abschließen.,1,1,1500,22,2
20,Als Pilot 5 Mecha-Einsätze auf dem Mond abschließen.,5,1,3000,23,2
21,Als Pilot 10 Mecha-Einsätze auf dem Mond abschließen.,10,1,4500,24,2
22,Als Bodenunterstützung 5 Mecha-Einsätze auf dem Mond abschließen.,5,1,300,25,2
23,Als Bodenunterstützung 20 Mecha-Einsätze auf dem Mond abschließen.,20,1,900,26,2
24,Als Bodenunterstützung 50 Mecha-Einsätze auf dem Mond abschließen.,50,1,2100,27,2
25,Auf dem Mond 3 verschiedene Klasse D-Stellarmissionen für Zimmerer abschließen.,3,3,50,28,2
26,Auf dem Mond 4 verschiedene Klasse C-Stellarmissionen für Zimmerer abschließen.,4,3,100,29,2
27,Auf dem Mond 3 verschiedene Klasse B-Stellarmissionen für Zimmerer mit Goldwertung abschließen.,3,3,200,30,2
28,Auf dem Mond 3 verschiedene Klasse D-Stellarmissionen für Grobschmiede abschließen.,3,7,50,31,2
29,Auf dem Mond 4 verschiedene Klasse C-Stellarmissionen für Grobschmiede abschließen.,4,7,100,32,2
30,Auf dem Mond 3 verschiedene Klasse B-Stellarmissionen für Grobschmiede mit Goldwertung abschließen.,3,7,200,33,2
31,Auf dem Mond 3 verschiedene Klasse D-Stellarmissionen für Plattner abschließen.,3,11,50,34,2
32,Auf dem Mond 4 verschiedene Klasse C-Stellarmissionen für Plattner abschließen.,4,11,100,35,2
33,Auf dem Mond 3 verschiedene Klasse B-Stellarmissionen für Plattner mit Goldwertung abschließen.,3,11,200,36,2
34,Auf dem Mond 3 verschiedene Klasse D-Stellarmissionen für Goldschmiede abschließen.,3,15,50,37,2
35,Auf dem Mond 4 verschiedene Klasse C-Stellarmissionen für Goldschmiede abschließen.,4,15,100,38,2
36,Auf dem Mond 3 verschiedene Klasse B-Stellarmissionen für Goldschmiede mit Goldwertung abschließen.,3,15,200,39,2
37,Auf dem Mond 3 verschiedene Klasse D-Stellarmissionen für Gerber abschließen.,3,19,50,40,2
38,Auf dem Mond 4 verschiedene Klasse C-Stellarmissionen für Gerber abschließen.,4,19,100,41,2
39,Auf dem Mond 3 verschiedene Klasse B-Stellarmissionen für Gerber mit Goldwertung abschließen.,3,19,200,42,2
40,Auf dem Mond 3 verschiedene Klasse D-Stellarmissionen für Weber abschließen.,3,23,50,43,2
41,Auf dem Mond 4 verschiedene Klasse C-Stellarmissionen für Weber abschließen.,4,23,100,44,2
42,Auf dem Mond 3 verschiedene Klasse B-Stellarmissionen für Weber mit Goldwertung abschließen.,3,23,200,45,2
43,Auf dem Mond 3 verschiedene Klasse D-Stellarmissionen für Alchemisten abschließen.,3,27,50,46,2
44,Auf dem Mond 4 verschiedene Klasse C-Stellarmissionen für Alchemisten abschließen.,4,27,100,47,2
45,Auf dem Mond 3 verschiedene Klasse B-Stellarmissionen für Alchemisten mit Goldwertung abschließen.,3,27,200,48,2
